Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
George Hill,UTA,$6100,11,$6000,10,$21,11,$12500,8,$11900,10
Raulzinho Neto,UTA,$3500,19,$3000,21,$10,15,$5000,22,$6000,21
Jeff Teague,IND,$6600,9,$5900,11,$26,9,$12600,7,$11600,11
Aaron Brooks,IND,$3500,19,$3000,21,$10,15,$5000,22,$6000,21
T.J. McConnell,PHI,$5400,13,$5200,13,$18,13,$9750,14,$10200,13
Sergio Rodriguez,PHI,$3700,18,$3300,19,$10,15,$8000,17,$6400,19
Elfrid Payton,ORL,$7300,7,$7500,7,$27,8,$12050,10,$13800,7
D.J. Augustin,ORL,$3500,19,$3000,21,$10,15,$7100,18,$6000,21
Dennis Schroder,ATL,$7200,8,$7100,8,$29,7,$12400,9,$13400,8
Jose Calderon,ATL,$3500,19,$3000,21,$10,15,$5000,22,$6000,21
Kemba Walker,CHA,$8000,6,$7900,6,$45,5,$16550,6,$14600,6
Brian Roberts,CHA,$3500,19,$3000,21,$10,15,$5000,22,$6000,21
John Wall,WAS,$10200,2,$9600,2,$50,3,$17900,3,$17700,2
Brandon Jennings,WAS,$4300,15,$4000,15,$10,15,$8300,16,$7800,15
Isaiah Thomas,BOS,$8700,4,$8200,5,$48,4,$17600,4,$15100,5
Terry Rozier,BOS,$4000,16,$3600,16,$10,15,$5450,20,$7100,16
Jameer Nelson,DEN,$5500,12,$5500,12,$16,14,$10000,13,$10800,12
Emmanuel Mudiay,DEN,$3900,17,$3300,19,$10,15,$9350,15,$6400,19
Patrick Beverley,HOU,$4900,14,$5100,14,$19,12,$11550,12,$10100,14
Bobby Brown,HOU,$3500,19,$3000,21,$10,15,$5000,22,$6000,21
Stephen Curry,GSW,$9900,3,$9400,3,$53,2,$19850,2,$17300,3
Shaun Livingston,GSW,$3500,19,$3400,17,$10,15,$5200,21,$6700,17
Russell Westbrook,OKC,$13400,1,$13300,1,$64,1,$25000,1,$23900,1
Norris Cole,OKC,$3500,19,$3000,21,$10,15,$5000,22,$6000,21
Derrick Rose,NYK,$6200,10,$6100,9,$26,9,$11600,11,$12000,9
Chasson Randle,NYK,$3500,19,$3000,21,$10,15,$5000,22,$6000,21
Chris Paul,LAC,$8400,5,$8400,4,$44,6,$17050,5,$15600,4
Raymond Felton,LAC,$3500,19,$3400,17,$10,15,$6900,19,$6700,17
