Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
John Wall,WAS,$9,400,2,$8,200,3,$49,1,$17,400,2,$15,100,3
Trey Burke,WAS,$3,800,10,$3,000,13,$10,12,$5,000,12,$6,000,13
Dennis Schroder,ATL,$6,500,6,$6,500,5,$21,6,$13,400,5,$12,300,5
Malcolm Delaney,ATL,$3,500,13,$3,000,13,$10,12,$5,850,9,,
Isaiah Thomas,BOS,$8,000,4,$7,200,4,$43,4,$15,300,4,$13,600,4
Terry Rozier,BOS,$3,500,13,$3,300,10,$11,11,$5,000,12,$6,400,10
Rajon Rondo,CHI,$7,500,5,$6,200,6,$33,5,$11,350,6,$12,200,6
Jerian Grant,CHI,$3,700,12,$3,000,13,$10,12,$5,100,11,$6,000,13
Tony Parker,SAS,$4,700,8,$4,400,8,$18,7,$9,200,7,$8,700,8
Patty Mills,SAS,$4,100,9,$3,900,9,$12,9,$8,050,8,$7,700,9
Ty Lawson,SAC,$5,100,7,$5,600,7,$15,8,$5,500,10,$11,200,7
Garrett Temple,SAC,$3,800,10,$3,200,11,$10,12,$5,000,12,$6,300,11
Chris Paul,LAC,$9,500,1,$8,800,2,$47,2,$17,650,1,$16,300,2
Raymond Felton,LAC,$3,500,13,$3,200,11,$12,9,$5,000,12,$6,300,11
Damian Lillard,POR,$9,100,3,$9,200,1,$46,3,$16,300,3,$16,900,1
Shabazz Napier,POR,$3,500,13,$3,000,13,$10,12,$5,000,12,$6,000,13
