Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Dennis Schroder,ATL,$6800,6,$6600,7,$27,6,$13450,7,$12300,8
Malcolm Delaney,ATL,$3500,19,$3000,22,$10,17,$5000,22,$6000,22
D.J. Augustin,ORL,$3500,19,$3300,20,$10,17,$7000,15,$6400,20
C.J. Watson,ORL,$3500,19,$3000,22,$10,17,$5000,22,$6000,22
Russell Westbrook,OKC,$11800,1,$12600,1,$62,1,$23350,1,$22600,1
Semaj Christon,OKC,$3500,19,$3000,22,$10,17,$5000,22,$6000,22
Kemba Walker,CHA,$8400,3,$8200,3,$36,4,$16150,4,$15100,3
Ramon Sessions,CHA,$3500,19,$3400,19,$10,17,$5650,18,$6700,19
Malcolm Brogdon,MIL,$4400,14,$5300,11,$12,13,$6150,17,$10500,11
Jason Terry,MIL,$3500,19,$3000,22,$10,17,$5000,22,$6000,22
Derrick Rose,NYK,$6600,8,$6400,8,$24,8,$11150,10,$12700,6
Brandon Jennings,NYK,$4500,12,$4300,16,$13,12,$9300,11,$8400,16
Michael Carter-Williams,CHI,$4700,11,$4500,14,$12,13,$6450,16,$8800,14
Rajon Rondo,CHI,$5000,10,$5500,10,$21,10,$11850,8,$10800,10
Kyrie Irving,CLE,$8600,2,$7800,4,$37,3,$16550,3,$14300,4
Kay Felder,CLE,$3800,18,$3200,21,$10,17,$5150,21,$6300,21
Tim Quarterman,POR,$3500,19,$3000,22,$10,17,$5000,22,$6000,22
Shabazz Napier,POR,$3500,19,$3000,22,$10,17,$5000,22,$6000,22
Stephen Curry,GSW,$8200,4,$8300,2,$42,2,$18850,2,$15200,2
Shaun Livingston,GSW,$3500,19,$3600,18,$10,17,$5350,20,$7000,18
Goran Dragic,MIA,$7000,5,$6900,5,$34,5,$15400,5,$13000,5
Tyler Johnson,MIA,$5900,9,$5600,9,$23,9,$11300,9,$11100,9
Darren Collison,SAC,$4500,12,$4500,14,$16,11,$9100,12,$8800,14
Ty Lawson,SAC,$4200,16,$4000,17,$11,16,$7650,13,$7800,17
Mike Conley,MEM,$6800,6,$6700,6,$27,6,$13800,6,$12600,7
Wade Baldwin,MEM,$3500,19,$3000,22,$10,17,$5000,22,$6000,22
Raymond Felton,LAC,$4400,14,$4600,13,$10,17,$5400,19,$9100,13
Austin Rivers,LAC,$4200,16,$4900,12,$12,13,$7200,14,$9700,12
