Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Ricky Rubio,MIN,$5500,7,$4900,9,$21,8,$11200,8,$9800,9
Tyus Jones,MIN,$3500,18,$3000,18,$10,15,$5000,18,$6000,18
Kyle Lowry,TOR,$8600,4,$8200,4,$38,4,$17500,4,$15100,4
Cory Joseph,TOR,$4000,15,$3600,16,$10,15,$7150,16,$7100,16
Emmanuel Mudiay,DEN,$5200,8,$4900,9,$20,9,$11400,7,$9700,11
Jameer Nelson,DEN,$4400,11,$4700,12,$10,15,$8200,14,$9200,12
John Wall,WAS,$9800,1,$9500,1,$44,2,$19650,1,$17600,1
Trey Burke,WAS,$3500,18,$3000,18,$10,15,$5000,18,$6000,18
Damian Lillard,POR,$9600,2,$8300,3,$43,3,$18300,2,$15300,3
Shabazz Napier,POR,$3500,18,$3000,18,$10,15,$5000,18,$6000,18
Andrew Harrison,MEM,$4200,13,$4900,9,$15,12,$8200,14,$9800,9
Toney Douglas,MEM,$3800,16,$3000,18,$10,15,$5000,18,$6000,18
Sergio Rodriguez,PHI,$4900,9,$5100,8,$17,11,$10200,10,$10100,8
Jerryd Bayless,PHI,$3700,17,$4000,14,$18,10,$8850,11,$7800,14
Jrue Holiday,NOP,$7000,5,$6200,5,$28,5,$14500,5,$12200,5
Tim Frazier,NOP,$4900,9,$5600,7,$22,7,$10850,9,$11200,6
Stephen Curry,GSW,$9100,3,$8400,2,$48,1,$18100,3,$15600,2
Shaun Livingston,GSW,$3500,18,$3200,17,$10,15,$5000,18,$6300,17
Dante Exum,UTA,$3500,18,$3000,18,$10,15,$6750,17,$6000,18
Raulzinho Neto,UTA,$3500,18,$3000,18,$10,15,$5000,18,$6000,18
Tony Parker,SAS,$4200,13,$4000,14,$11,14,$8300,13,$7800,14
Patty Mills,SAS,$4300,12,$4700,12,$13,13,$8550,12,$9200,12
Rajon Rondo,CHI,$6000,6,$5700,6,$27,6,$11750,6,$11200,6
Isaiah Canaan,CHI,$3500,18,$3000,18,$10,15,$5000,18,$6000,18
