Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Austin Rivers,LAC,$5700,11,$5300,14,$19,11,$9500,14,,
Raymond Felton,LAC,$4600,16,$4800,16,$15,16,$8150,18,,
Kemba Walker,CHA,$7300,8,$7500,6,$39,5,$15500,7,,
Ray McCallum,CHA,$3500,26,$3000,24,$10,18,$5000,26,,
Matthew Dellavedova,MIL,$4200,18,$3800,20,$10,18,$8400,16,$7400,17
Jason Terry,MIL,$3500,26,$3000,24,$10,18,$5000,26,$6000,21
Jeff Teague,IND,$7700,7,$7300,7,$36,7,$14400,8,$13700,6
Aaron Brooks,IND,$3500,26,$3000,24,$10,18,$5000,26,$6000,21
Jameer Nelson,DEN,$4400,17,$4400,17,$13,17,$7650,19,$8800,14
Jamal Murray,DEN,$4000,21,$3800,20,$10,18,$7050,21,$7400,17
Kyrie Irving,CLE,$8300,4,$8400,4,$40,4,$18050,3,$15600,4
Kay Felder,CLE,$3500,26,$3000,24,$10,18,$5000,26,$6000,21
Goran Dragic,MIA,$8100,6,$7900,5,$34,8,$15950,6,$14600,5
Tyler Johnson,MIA,$5600,13,$5500,11,$19,11,$10750,12,$10900,10
T.J. McConnell,PHI,$5400,14,$5000,15,$16,15,$8900,15,$9800,13
Sergio Rodriguez,PHI,$3500,26,$3300,23,$10,18,$7100,20,$6400,20
Stephen Curry,GSW,$9500,3,$9600,2,$48,3,$21500,2,$17700,2
Shaun Livingston,GSW,$4200,18,$3700,22,$10,18,$5550,24,$7400,17
Russell Westbrook,OKC,$12500,1,$12600,1,$62,1,$25000,1,$22600,1
Cameron Payne,OKC,$3600,24,$3000,24,$10,18,$5900,23,$6000,21
D.J. Augustin,ORL,$3500,26,$3000,24,$10,18,$7000,22,$6000,21
Elfrid Payton,ORL,$5900,10,$5500,11,$22,10,$11450,9,$10800,11
Yogi Ferrell,DAL,$5700,11,$5400,13,$18,14,$10050,13,$10600,12
Devin Harris,DAL,$4100,20,$4300,18,$10,18,$5450,25,$8400,15
Eric Bledsoe,PHO,$8300,4,$7200,8,$39,5,$16200,5,$13700,6
Ronnie Price,PHO,$3700,22,$3000,24,$10,18,$5000,26,$6000,21
Patrick Beverley,HOU,$5400,14,$5600,10,$19,11,$11350,10,$11200,9
Tyler Ennis,HOU,$3500,26,$3000,24,$10,18,$5000,26,$6000,21
Isaiah Thomas,BOS,$9800,2,$9200,3,$50,2,$17500,4,$17000,3
Terry Rozier,BOS,$3600,24,$3000,24,$10,18,$5000,26,$6000,21
George Hill,UTA,$6100,9,$6000,9,$25,9,$11050,11,$11900,8
Shelvin Mack,UTA,$3700,22,$3900,19,$10,18,$8350,17,$7700,16
