Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Mike Conley,MEM,$6800,4,$6400,4,$27,4,$13250,4,$12600,4
Wade Baldwin,MEM,$3500,11,$3000,11,$10,10,$5000,11,$6000,12
Isaiah Thomas,BOS,$7900,2,$7900,2,$37,2,$15850,2,$14700,2
Terry Rozier,BOS,$3500,11,$3300,10,$10,10,$5500,10,$6400,11
Russell Westbrook,OKC,$13000,1,$12500,1,$62,1,$22200,1,$22400,1
Semaj Christon,OKC,$3500,11,$3000,11,$10,10,$5000,11,$6000,12
Goran Dragic,MIA,$7300,3,$7100,3,$36,3,$14950,3,$13400,3
Tyler Johnson,MIA,$5600,7,$5000,8,$21,6,$10750,8,$9800,8
Patrick Beverley,HOU,$5800,6,$5700,5,$20,8,$11100,7,$11200,5
Tyler Ennis,HOU,$3500,11,$3000,11,$10,10,$5000,11,$7900,10
Deron Williams,DAL,$6700,5,$5600,6,$21,6,$11850,5,$11200,5
Devin Harris,DAL,$3500,11,$3000,11,$10,10,$5000,11,$6000,12
Shelvin Mack,UTA,$4700,9,$5000,8,$13,9,$8350,9,$9800,8
Raulzinho Neto,UTA,$3500,11,$3000,11,$10,10,$5000,11,$6000,12
D'Angelo Russell,LAL,$5600,7,$5100,7,$22,5,$11750,6,$10100,7
Marcelo Huertas,LAL,$3600,10,$3000,11,$10,10,$5000,11,$6000,12
