Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Rajon Rondo,CHI,$5900,12,,,$23,9,$11750,12,,
Jerian Grant,CHI,$3500,30,,,$10,25,$5000,31,,
Jeff Teague,IND,$7600,5,,,$33,6,$13650,6,,
Aaron Brooks,IND,$3600,29,,,$10,25,$5000,31,,
Isaiah Whitehead,BKN,$3500,30,$3400,25,$10,25,$5000,31,$6700,25
Spencer Dinwiddie,BKN,$3800,27,$3000,29,$10,25,$5000,31,$6000,28
John Wall,WAS,$10000,1,$10300,1,$47,1,$20800,1,$18300,1
Trey Burke,WAS,$3500,30,$3000,29,$10,25,$5000,31,$6000,28
Goran Dragic,MIA,$7300,6,$7000,5,$34,5,$13500,7,$13300,5
Tyler Johnson,MIA,$5800,13,$5400,13,$21,10,$9700,19,$10600,13
Isaiah Thomas,BOS,$8400,4,$7700,4,$37,4,$14350,4,$14300,4
Marcus Smart,BOS,$4900,17,$4600,16,$16,19,$9400,20,$9100,16
Matthew Dellavedova,MIL,$3900,24,$3800,22,$11,23,$8900,21,$7400,22
Malcolm Brogdon,MIL,$3900,24,$3900,20,$10,25,$5950,28,$7700,20
Ricky Rubio,MIN,$6100,11,$5900,9,$20,13,$11800,11,$11600,9
Kris Dunn,MIN,$3500,30,$3000,29,$10,25,$5950,28,$6000,28
Austin Rivers,LAC,$4300,21,$5000,14,$10,25,$7350,25,$9800,14
Chris Paul,LAC,$9200,2,$9300,2,$46,2,$18300,2,$17200,2
Patrick Beverley,HOU,$5800,13,$5500,12,$20,13,$10900,14,$10900,12
Tyler Ennis,HOU,$3500,30,$3000,29,$10,25,$5000,31,$6000,28
Derrick Rose,NYK,$6700,9,$6300,7,$21,10,$11900,9,$12600,6
Brandon Jennings,NYK,$4600,19,$3900,20,$15,20,$9800,18,$7700,20
Jrue Holiday,NOP,$7000,7,$6300,7,$28,8,$14350,4,$12600,6
Tim Frazier,NOP,$4200,22,$4000,19,$18,15,$11450,13,$7800,19
Reggie Jackson,DET,$5500,15,$5700,11,$18,15,$10600,16,$11200,11
Ish Smith,DET,$4000,23,$3300,26,$12,22,$8300,23,$6400,26
Dennis Schroder,ATL,$6900,8,$6600,6,$31,7,$13450,8,$12300,8
Malcolm Delaney,ATL,$3500,30,$3000,29,$10,25,$5000,31,$6000,28
Tim Quarterman,POR,$3500,30,$3000,29,$10,25,$5000,31,$6000,28
Shabazz Napier,POR,$3500,30,$3000,29,$10,25,$5000,31,$6000,28
Tony Parker,SAS,$4400,20,$4500,18,$11,23,$8250,24,$8800,18
Patty Mills,SAS,$3900,24,$3800,22,$15,20,$8450,22,$7400,22
Sergio Rodriguez,PHI,$5000,16,$4900,15,$17,18,$10700,15,$9800,14
T.J. McConnell,PHI,$3800,27,$3300,26,$10,25,$6350,27,$6400,26
Emmanuel Mudiay,DEN,$4800,18,$4600,16,$18,15,$10250,17,$9100,16
Jamal Murray,DEN,$3500,30,$3100,28,$10,25,$7300,26,$6000,28
Deron Williams,DAL,$6400,10,$5900,9,$21,10,$11900,9,$11600,9
Devin Harris,DAL,$3500,30,$3000,29,$10,25,$5000,31,$6000,28
Stephen Curry,GSW,$8500,3,$8400,3,$42,3,$18200,3,$15500,3
Shaun Livingston,GSW,$3500,30,$3500,24,$10,25,$5100,30,$7000,24
