Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Isaiah Thomas,BOS,$8400,4,$8100,4,$31,5,$16100,4,$15000,4
Terry Rozier,BOS,$3500,16,$3300,14,$10,12,$5650,13,$6400,14
Derrick Rose,NYK,$6400,6,$6100,6,$19,8,$10550,9,$12000,6
Brandon Jennings,NYK,$4500,10,$3700,11,$15,10,$8850,10,$7300,11
Stephen Curry,GSW,$8600,3,$8500,3,$38,3,$18450,3,$15700,3
Shaun Livingston,GSW,$3500,16,$3000,15,$10,12,$5150,15,$6000,15
Kyrie Irving,CLE,$8000,5,$7700,5,$33,4,$15950,5,$14300,5
Kay Felder,CLE,$3700,13,$3000,15,$10,12,$5000,16,$6000,15
Rajon Rondo,CHI,$5400,9,$5700,8,$21,6,$11350,8,$11200,8
Isaiah Canaan,CHI,$3500,16,$3000,15,$10,12,$5000,16,$6000,15
Tony Parker,SAS,$4000,11,$3700,11,$10,12,$8150,12,$7300,11
Patty Mills,SAS,$3800,12,$3900,10,$12,11,$8500,11,$7700,10
Ricky Rubio,MIN,$5800,8,$5900,7,$18,9,$12250,6,$11600,7
Tyus Jones,MIN,$3500,16,$3000,15,$10,12,$5000,16,$6000,15
Russell Westbrook,OKC,$12600,1,$12500,1,$56,1,$25000,1,$22400,1
Semaj Christon,OKC,$3500,16,$3000,15,$10,12,$5000,16,$6000,15
Chris Paul,LAC,$9600,2,$9300,2,$41,2,$19850,2,$17200,2
Raymond Felton,LAC,$3600,15,$3500,13,$10,12,$5450,14,$6900,13
D'Angelo Russell,LAL,$6000,7,$5600,9,$20,7,$12150,7,$11200,8
Marcelo Huertas,LAL,$3700,13,$3000,15,$10,12,$5000,16,$6000,15
