Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Kemba Walker,CHA,$8100,5,$8300,4,$38,6,$16400,5,$15300,4
Brian Roberts,CHA,$3500,25,$3000,28,$10,22,$5000,28,$6000,28
T.J. McConnell,PHI,$5400,16,$5300,15,$14,19,$6200,24,$10500,15
Chasson Randle,PHI,$3500,25,$3000,28,$10,22,$5000,28,$6000,28
Isaiah Whitehead,BKN,$3500,25,$3400,25,$10,22,$5000,28,$6700,25
Spencer Dinwiddie,BKN,$4000,21,$3600,24,$10,22,$5000,28,$7100,24
Kyle Lowry,TOR,$9200,2,$8500,3,$40,4,$18300,2,$15600,3
Cory Joseph,TOR,$3700,23,$3400,25,$10,22,$7500,22,$6700,25
Mike Conley,MEM,$7900,7,$7100,7,$29,8,$14700,7,$13400,7
Wade Baldwin,MEM,$3500,25,$3000,28,$10,22,$5000,28,$6000,28
Patrick Beverley,HOU,$5200,18,$5100,18,$19,15,$11200,13,$10100,18
Bobby Brown,HOU,$3500,25,$3000,28,$10,22,$5000,28,$6000,28
Russell Westbrook,OKC,$12800,1,$12700,1,$62,1,$25000,1,$22700,1
Cameron Payne,OKC,$3500,25,$3000,28,$10,22,$5000,28,$6000,28
Ricky Rubio,MIN,$6200,11,$6100,12,$18,16,$12550,10,$12000,12
Tyus Jones,MIN,$3500,25,$3000,28,$10,22,$5000,28,$6000,28
Goran Dragic,MIA,$6700,9,$6700,9,$32,7,$14000,8,$12600,9
Tyler Johnson,MIA,$6000,13,$5300,15,$21,12,$10350,15,$10500,15
Malcolm Brogdon,MIL,$5300,17,$5700,14,$16,17,$5650,25,$11200,14
Matthew Dellavedova,MIL,$3800,22,$3700,22,$10,22,$7550,21,$7400,21
Marcus Smart,BOS,$5600,14,$6300,11,$20,14,$10250,16,$12600,9
Isaiah Thomas,BOS,$9000,3,$9000,2,$42,2,$15700,6,$16600,2
Dennis Schroder,ATL,$7000,8,$6800,8,$27,9,$12550,10,$12700,8
Malcolm Delaney,ATL,$3500,25,$3000,28,$10,22,$5050,27,$6000,28
Elfrid Payton,ORL,$5600,14,$5300,15,$21,12,$12350,12,$10500,15
D.J. Augustin,ORL,$3600,24,$3700,22,$10,22,$7500,22,$7300,23
Damian Lillard,POR,$8300,4,$8200,5,$41,3,$17900,3,$15100,5
Shabazz Napier,POR,$3500,25,$3000,28,$10,22,$5000,28,$6000,28
Kyrie Irving,CLE,$8000,6,$7700,6,$39,5,$16900,4,$14200,6
Kay Felder,CLE,$3500,25,$3000,28,$10,22,$5150,26,$6000,28
Darren Collison,SAC,$4400,19,$4300,19,$16,17,$10200,17,$8400,19
Ty Lawson,SAC,$4200,20,$4100,20,$13,20,$8550,18,$8000,20
Reggie Jackson,DET,$6500,10,$6400,10,$26,10,$10950,14,$12600,9
Ish Smith,DET,$3500,25,$3200,27,$10,22,$7850,20,$6300,27
George Hill,UTA,$6100,12,$6000,13,$25,11,$13000,9,$11900,13
Shelvin Mack,UTA,$3500,25,$3800,21,$11,21,$8350,19,$7400,21
