Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Rajon Rondo,CHI,$5900,17,$6000,14,$21,17,$11550,18,$11900,14
Isaiah Canaan,CHI,$3500,41,$3000,39,$10,32,$5000,42,$6000,39
Kemba Walker,CHA,$8000,8,$7700,8,$36,7,$16200,8,$14200,8
Brian Roberts,CHA,$3500,41,$3000,39,$10,32,$5000,42,$6000,39
D'Angelo Russell,LAL,$5900,17,$5600,19,$20,19,$12500,17,$11200,19
Jordan Clarkson,LAL,$5100,25,$5200,23,$15,27,$10450,26,$10200,23
D.J. Augustin,ORL,$3700,37,$3400,36,$10,32,$7950,34,$6600,36
C.J. Watson,ORL,$3500,41,$3000,39,$10,32,$5000,42,$6000,39
Russell Westbrook,OKC,$12800,1,$12700,1,$56,1,$22600,1,$22700,1
Semaj Christon,OKC,$3500,41,$3000,39,$10,32,$5000,42,$6000,39
Isaiah Thomas,BOS,$8200,6,$7900,6,$31,11,$16250,7,$14700,4
Marcus Smart,BOS,$4700,28,$4000,29,$14,28,$10550,25,$7800,29
Stephen Curry,GSW,$8700,5,$8000,4,$38,6,$18400,3,$14700,4
Shaun Livingston,GSW,$3500,41,$3000,39,$10,32,$5150,41,$6000,39
Reggie Jackson,DET,$5800,19,$5400,22,$22,16,$11000,22,$10600,22
Ish Smith,DET,$4400,30,$3200,38,$12,30,$8800,30,$6300,38
Isaiah Whitehead,BKN,$3600,39,$3000,39,$10,32,$5000,42,$6000,39
Jeremy Lin,BKN,$6400,15,$5800,17,$23,15,$12850,14,$11500,18
Kyrie Irving,CLE,$7500,10,$7800,7,$33,10,$16650,6,$14300,7
Kay Felder,CLE,$3700,37,$3000,39,$10,32,$5000,42,$6000,39
Goran Dragic,MIA,$7500,10,$7400,10,$36,7,$15100,11,$14000,9
Tyler Johnson,MIA,$5700,20,$5500,21,$19,22,$10900,23,$10800,21
Jrue Holiday,NOP,$7200,12,$6500,13,$28,13,$12800,15,$12300,13
Tim Frazier,NOP,$5500,23,$4900,26,$18,24,$10400,27,$9800,26
John Wall,WAS,$9900,2,$9100,3,$49,2,$18900,2,$16900,3
Trey Burke,WAS,$3500,41,$3000,39,$10,32,$5000,42,$6000,39
Matthew Dellavedova,MIL,$3800,36,$3800,34,$13,29,$8750,31,$7400,34
Jason Terry,MIL,$3500,41,$3000,39,$10,32,$5000,42,$6000,39
Patrick Beverley,HOU,$5700,20,$5800,17,$20,19,$11200,21,$11600,17
Tyler Ennis,HOU,$3500,41,$3000,39,$10,32,$5000,42,$6000,39
Mike Conley,MEM,$7200,12,$6000,14,$27,14,$14500,12,$11900,14
Wade Baldwin,MEM,$3500,41,$3000,39,$10,32,$5000,42,$6000,39
Darren Collison,SAC,$5500,23,$4700,27,$20,19,$10800,24,$9200,27
Ty Lawson,SAC,$4500,29,$3800,34,$10,32,$9000,29,$7400,34
Ricky Rubio,MIN,$5700,20,$6000,14,$18,24,$12700,16,$11900,14
Tyus Jones,MIN,$3500,41,$3000,39,$10,32,$5000,42,$6000,39
Sergio Rodriguez,PHI,$4900,26,$5200,23,$19,22,$11250,19,$10200,23
T.J. McConnell,PHI,$4000,34,$3900,30,$10,32,$6800,37,$7700,30
Eric Bledsoe,PHO,$8100,7,$7600,9,$35,9,$15950,9,$14000,9
Tyler Ulis,PHO,$3500,41,$3000,39,$10,32,$5000,42,$6000,39
Dennis Schroder,ATL,$7100,14,$7400,10,$29,12,$14050,13,$14000,9
Malcolm Delaney,ATL,$3500,41,$3000,39,$10,32,$5300,40,$6000,39
Emmanuel Mudiay,DEN,$4900,26,$5100,25,$18,24,$9650,28,$10100,25
Jamal Murray,DEN,$3600,39,$3300,37,$10,32,$7200,35,$6400,37
Kyle Lowry,TOR,$7900,9,$7400,10,$40,5,$15950,9,$14000,9
Cory Joseph,TOR,$4300,31,$3900,30,$10,32,$6700,38,$7700,30
Dante Exum,UTA,$3500,41,$3000,39,$10,32,$6100,39,$6000,39
Raulzinho Neto,UTA,$3500,41,$3000,39,$10,32,$5000,42,$6000,39
Tony Parker,SAS,$4200,32,$3900,30,$10,32,$8200,33,$7700,30
Patty Mills,SAS,$4200,32,$4300,28,$12,30,$8550,32,$8500,28
Damian Lillard,POR,$9000,4,$8000,4,$45,3,$17150,5,$14700,4
Shabazz Napier,POR,$3500,41,$3000,39,$10,32,$5000,42,$6000,39
Deron Williams,DAL,$6400,15,$5600,19,$21,17,$11250,19,$11200,19
Jonathan Gibson,DAL,$3500,41,$3000,39,$10,32,$5000,42,$6000,39
Austin Rivers,LAC,$4000,34,$3900,30,$10,32,$7000,36,$7700,30
Chris Paul,LAC,$9700,3,$9400,2,$41,4,$17850,4,$17300,2
