Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
E'Twaun Moore,NOP,$4400,6,$4100,8,$15,6,$7750,9,$8000,8
Buddy Hield,NOP,$4000,9,$3700,9,$10,8,$9000,6,$7300,10
Giannis Antetokounmpo,MIL,$9600,1,$9700,1,$51,1,$18700,1,$17900,1
Rashad Vaughn,MIL,$4000,9,$3000,12,$10,8,$7100,11,$6000,12
Dwyane Wade,CHI,$6700,2,$6500,2,$32,3,$10500,3,$12300,2
Denzel Valentine,CHI,$3500,12,$3000,12,$10,8,$5450,12,$6000,12
Dion Waiters,MIA,$4400,6,$4300,7,$16,4,$8400,7,$8400,7
Josh Richardson,MIA,$3500,12,$3700,9,$10,8,$8300,8,$7400,9
Klay Thompson,GSW,$5900,3,$6200,3,$33,2,$12650,2,$12300,2
Ian Clark,GSW,$3500,12,$3000,12,$10,8,$5000,14,$6000,12
Gary Harris,DEN,$4600,5,$4600,5,$15,6,$9600,4,$9100,5
Malik Beasley,DEN,$3500,12,$3000,12,$10,8,$5000,14,$6000,12
Nick Young,LAL,$4100,8,$4500,6,$10,8,$5000,14,$8800,6
Louis Williams,LAL,$4900,4,$5100,4,$16,4,$9600,4,$10100,4
Arron Afflalo,SAC,$3700,11,$3300,11,$10,8,$7400,10,$6400,11
Ben McLemore,SAC,$3500,12,$3000,12,$10,8,$5050,13,$6000,12
