Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Monta Ellis,IND,$4300,15,$4600,14,$12,14,$9450,11,$9100,14
Joseph Young,IND,$3500,24,$3000,23,$10,17,$5000,23,$6000,23
Timothe Luwawu-Cabarrot,PHI,$5500,10,$5900,8,$13,13,$5000,23,$11600,8
Nik Stauskas,PHI,$3700,21,$4100,18,$10,17,$6750,19,$8100,18
J.R. Smith,CLE,$3900,20,$4300,16,$11,16,$7800,14,$8400,16
James Jones,CLE,$3500,24,$3000,23,$10,17,$5000,23,$6000,23
Josh Richardson,MIA,$5000,11,$5500,9,$16,10,$7250,16,$10900,9
Wayne Ellington,MIA,$3500,24,$3000,23,$10,17,$6850,17,$6000,23
Randy Foye,BKN,$3500,24,$3000,23,$10,17,$5000,23,$6000,23
Caris LeVert,BKN,$4200,16,$4200,17,$10,17,$7300,15,$8400,16
Avery Bradley,BOS,$6400,8,$6100,7,$23,8,$12750,6,$12000,7
Gerald Green,BOS,$3500,24,$3000,23,$10,17,$5000,23,$6000,23
Bradley Beal,WAS,$7400,3,$6900,4,$32,5,$13800,4,$12900,4
Tomas Satoransky,WAS,$3500,24,$3000,23,$10,17,$5000,23,$6000,23
Reggie Bullock,DET,$3500,24,$3000,23,$10,17,$5000,23,$6000,23
Darrun Hilliard,DET,$3500,24,$3000,23,$10,17,$5000,23,$6000,23
Evan Fournier,ORL,$5600,9,$5500,9,$20,9,$11700,8,$10900,9
Jodie Meeks,ORL,$3600,23,$3700,21,$10,17,$6500,21,$7400,21
Dwyane Wade,CHI,$6500,7,$5500,9,$29,6,$12600,7,$10900,9
Anthony Morrow,CHI,$3500,24,$3000,23,$10,17,$5000,23,$6000,23
Nicolas Batum,CHA,$6600,6,$7100,3,$25,7,$14850,3,$13300,3
Jeremy Lamb,CHA,$4400,14,$4000,20,$10,17,$6700,20,$7800,20
Giannis Antetokounmpo,MIL,$10000,2,$10000,2,$51,2,$20150,2,$18000,2
Gary Payton,MIL,,,,,,,,,,
Bryn Forbes,SAS,$4100,17,$3000,23,$10,17,$5000,23,$6000,23
C.J. McCollum,POR,$6700,5,$6900,4,$33,4,$12950,5,$12900,4
Allen Crabbe,POR,$4000,18,$4100,18,$10,17,$6800,18,$8100,18
James Harden,HOU,$12100,1,$12300,1,$62,1,$23750,1,$22000,1
Eric Gordon,HOU,$4500,13,$5000,12,$16,10,$9250,12,$9800,12
J.J. Redick,LAC,$4700,12,$4900,13,$12,14,$9200,13,$9700,13
Alan Anderson,LAC,$3500,24,$3000,23,$10,17,$5000,23,$6000,23
Rodney Hood,UTA,$4000,18,$4400,15,$15,12,$10100,10,$8700,15
Alec Burks,UTA,$3500,24,$3000,23,$10,17,$5100,22,$6000,23
Klay Thompson,GSW,$7000,4,$6700,6,$34,3,$11450,9,$12600,6
Ian Clark,GSW,$3700,21,$3500,22,$10,17,$5000,23,$7000,22
