Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Dwyane Wade,CHI,$6600,5,$5500,10,$29,5,$13400,4,,
Anthony Morrow,CHI,$3500,19,$3000,21,$10,15,$5000,20,,
Randy Foye,BKN,$3500,19,$3000,21,$10,15,$5000,20,,
Caris LeVert,BKN,$4100,14,$3900,16,$10,15,$7200,16,,
Avery Bradley,BOS,$6000,7,$6000,6,$23,7,$11550,7,,
Gerald Green,BOS,$3500,19,$3000,21,$10,15,$5000,20,,
Nicolas Batum,CHA,$6400,6,$6900,3,$25,6,$14650,2,,
Jeremy Lamb,CHA,$4300,13,$3400,20,$10,15,$6650,17,,
Monta Ellis,IND,$4500,12,$4400,13,$12,12,$9050,10,,
Joseph Young,IND,$3500,19,$3000,21,$10,15,$5000,20,,
Evan Fournier,ORL,$5600,8,$5600,9,$20,8,$10650,8,,
Jodie Meeks,ORL,$3700,17,$3900,16,$10,15,$6350,18,,
Josh Richardson,MIA,$4900,10,$5700,8,$14,10,$7900,11,$11200,6
Wayne Ellington,MIA,$3500,19,$3000,21,$10,15,$7500,15,$6000,13
Bradley Beal,WAS,$7500,2,$7000,2,$32,4,$13800,3,$13200,2
Tomas Satoransky,WAS,$3500,19,$3000,21,$10,15,$5000,20,$6000,13
Giannis Antetokounmpo,MIL,$10000,1,$9800,1,$51,1,$21400,1,$18200,1
Gary Payton,MIL,,,,,,,,,,
Timothe Luwawu-Cabarrot,PHI,$5500,9,$5900,7,$13,11,$5000,20,$11600,5
Nik Stauskas,PHI,$3800,16,$4400,13,$10,15,$7550,14,$8700,9
J.J. Redick,LAC,$4800,11,$4700,11,$12,12,$7850,12,$9200,7
Alan Anderson,LAC,$3500,19,$3000,21,$10,15,$5000,20,$6000,13
Bryn Forbes,SAS,$3500,19,$3000,21,$10,15,$5000,20,$6000,13
Rodney Hood,UTA,$4000,15,$4500,12,$15,9,$9200,9,$8800,8
Alec Burks,UTA,$3500,19,$3000,21,$10,15,$5150,19,$6000,13
C.J. McCollum,POR,$7000,4,$6400,5,$33,3,$12900,5,$12600,4
Pat Connaughton,POR,$3500,19,$3000,21,$10,15,$5000,20,$6000,13
Tim Frazier,NOP,$3500,19,$3600,18,$10,15,$7650,13,$7100,11
Jordan Crawford,NOP,$3600,18,$4100,15,$12,12,,,$8100,10
Klay Thompson,GSW,$7300,3,$6900,3,$34,2,$12750,6,$13000,3
Ian Clark,GSW,$3500,19,$3500,19,$10,15,$5000,20,$7000,12
