Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Tim Hardaway Jr.,ATL,$5600,6,$5600,8,$21,5,$9100,11,$11200,7
J.R. Smith,CLE,$3900,16,$4400,16,$10,14,$7850,14,$8700,16
James Jones,CLE,$3500,23,$3000,25,$10,14,$5000,26,$6000,24
Josh Richardson,MIA,$4900,8,$5700,7,$14,12,$7650,17,$11200,7
Wayne Ellington,MIA,$3500,23,$3000,25,$10,14,$7250,20,$6000,24
DeMar DeRozan,TOR,$8900,2,$7800,3,$42,2,$17000,2,$14400,3
Norman Powell,TOR,$3500,23,$3400,21,$10,14,$7600,18,$6700,21
Kentavious Caldwell-Pope,DET,$4300,12,$5000,10,$17,8,$10950,5,$9800,10
Darrun Hilliard,DET,$3500,23,$3000,25,$10,14,$5000,26,$6000,24
James Harden,HOU,$12100,1,$12100,1,$62,1,$24450,1,$21800,1
Eric Gordon,HOU,$4500,11,$5300,9,$16,9,$9550,9,$10500,9
Courtney Lee,NYK,$4600,9,$4800,11,$13,13,$9200,10,$9500,11
Sasha Vujacic,NYK,$3500,23,$3000,25,$10,14,$5000,26,$6000,24
Tony Allen,MEM,$4300,12,$4500,13,$10,14,$7900,13,$8800,13
Troy Daniels,MEM,$3500,23,$3900,17,$10,14,$5550,23,$7700,17
Bryn Forbes,SAS,$3500,23,$3000,25,$10,14,$5000,26,$6000,24
Manu Ginobili,SAS,$3500,23,$3600,19,$10,14,$6000,21,$7100,19
Wesley Matthews,DAL,$4600,9,$4600,12,$16,9,$8350,12,$9100,12
Nicolas Brussino,DAL,$3700,18,$3000,25,$10,14,$5000,26,$6000,24
Tim Frazier,NOP,$3500,23,$3600,19,$10,14,$7800,15,$7100,19
E'Twaun Moore,NOP,$3600,21,$3400,21,$10,14,$7750,16,$6600,22
Gary Harris,DEN,$6200,4,$5800,6,$21,5,$10550,6,$11600,5
Brandon Rush,MIN,$3500,23,$3000,25,$10,14,$5000,26,$6000,24
Kris Dunn,MIN,$4100,14,$3100,24,$10,14,$5450,24,$6000,24
Rodney Hood,UTA,$4000,15,$4500,13,$15,11,$10150,7,$8800,13
Alec Burks,UTA,$3500,23,$3000,25,$10,14,$5300,25,$6000,24
Victor Oladipo,OKC,$5800,5,$5900,5,$22,4,$13550,3,$11600,5
Devin Booker,PHO,$8100,3,$8000,2,$30,3,$12000,4,$14700,2
Leandro Barbosa,PHO,$3600,21,$3300,23,$10,14,$5000,26,$6400,23
Ben McLemore,SAC,$3700,18,$3800,18,$10,14,$5900,22,$7400,18
Buddy Hield,SAC,$5500,7,$6000,4,$18,7,$9900,8,$11900,4
David Nwaba,LAL,$3900,16,$4500,13,$10,14,,,$8800,13
Nick Young,LAL,$3700,18,$3000,25,$10,14,$7600,18,$6000,24
