Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
DeMar DeRozan,TOR,$8900,2,,,$41,2,$16050,2,,
Norman Powell,TOR,$3500,21,,,$10,13,$7150,14,,
Courtney Lee,NYK,$4800,8,,,$13,11,$9900,8,,
Sasha Vujacic,NYK,$3600,18,,,$10,13,$5000,20,,
J.R. Smith,CLE,$3900,13,$4300,10,$11,12,$7800,13,,
James Jones,CLE,$3500,21,$3000,16,$10,13,$5000,20,,
Tim Hardaway Jr.,ATL,$5800,5,$5800,4,$19,6,$9900,8,,
Victor Oladipo,OKC,$5800,5,$5800,4,$22,5,$12850,4,$11500,5
Gary Harris,DEN,$6200,4,$6100,3,$23,4,$10300,6,$12000,3
Malik Beasley,DEN,$3500,21,$3000,16,$10,13,$5000,20,$6000,13
Wesley Matthews,DAL,$4600,9,$5000,8,$16,9,$10050,7,$9800,7
Nicolas Brussino,DAL,$3700,16,$3000,16,$10,13,$5000,20,$6000,13
Devin Booker,PHO,$8100,3,$8000,2,$33,3,$12950,3,$14700,2
Leandro Barbosa,PHO,$3600,18,$3300,14,$10,13,$5150,19,$6400,12
James Harden,HOU,$12100,1,$12400,1,$62,1,$23750,1,$22100,1
Eric Gordon,HOU,$4500,10,$5100,7,$16,9,$9250,11,$10100,6
Buddy Hield,SAC,$5500,7,$5800,4,$18,7,$9850,10,$11600,4
Arron Afflalo,SAC,$3600,18,$3000,16,$10,13,$6900,16,$6000,13
Kentavious Caldwell-Pope,DET,$4300,11,$4600,9,$17,8,$10950,5,$9100,8
Reggie Bullock,DET,$3500,21,$3000,16,$10,13,$5000,20,$6000,13
Tony Allen,MEM,$4300,11,$4200,11,$10,13,$8000,12,$8300,9
Troy Daniels,MEM,$3500,21,$3600,13,$10,13,$5400,18,$7000,11
Brandon Rush,MIN,$3500,21,$3000,16,$10,13,$5000,20,$6000,13
Kris Dunn,MIN,$3800,15,$3100,15,$10,13,$5900,17,$6000,13
Nick Young,LAL,$3700,16,$3000,16,$10,13,$7150,14,$6000,13
David Nwaba,LAL,$3900,13,$4000,12,,,,,$7800,10
