Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
DeMar DeRozan,TOR,$9200,2,$8600,2,$42,2,$16550,2,$15900,2
Norman Powell,TOR,$3700,22,$3400,25,$10,15,$7400,18,$6700,25
Monta Ellis,IND,$4500,12,$4500,14,$12,13,$8500,13,$8800,14
Joseph Young,IND,$3500,25,$3000,31,$10,15,$5000,32,$6000,31
Nicolas Batum,CHA,$6300,6,$7000,4,$25,6,$14050,5,$13300,4
Jeremy Lamb,CHA,$4500,12,$3400,25,$10,15,$6350,22,$6600,27
Bradley Beal,WAS,$7500,3,$7200,3,$32,5,$14900,3,$13600,3
Tomas Satoransky,WAS,$3500,25,$3000,31,$10,15,$5000,32,$6000,31
Randy Foye,BKN,$3500,25,$3000,31,$10,15,$5000,32,$6000,31
Caris LeVert,BKN,$3900,20,$3800,21,$10,15,$7300,20,$7400,21
Timothe Luwawu-Cabarrot,PHI,$4200,16,$5100,11,$10,15,$5000,32,$10200,11
Nik Stauskas,PHI,$4400,14,$4600,13,$10,15,$7450,17,$9100,13
Evan Fournier,ORL,$5600,9,$5700,8,$20,9,$10350,9,$11200,8
Jodie Meeks,ORL,$3500,25,$3000,31,$10,15,$6350,22,$6000,31
J.R. Smith,CLE,$3600,24,$4100,17,$10,15,$7850,14,$8000,17
Iman Shumpert,CLE,$3500,25,$3500,24,$10,15,$6300,24,$7000,24
Gary Harris,DEN,$6100,7,$5400,10,$21,8,$10500,8,$10600,10
Malik Beasley,DEN,$3500,25,$3000,31,$10,15,$5000,32,$6000,31
Tim Frazier,NOP,$3500,25,$3700,23,$10,15,$7800,15,$7300,23
E'Twaun Moore,NOP,$3500,25,$3400,25,$10,15,$7700,16,$6700,25
Anthony Morrow,CHI,$3500,25,$3000,31,$10,15,$5000,32,$6000,31
Denzel Valentine,CHI,$4000,19,$3900,19,$10,15,$5750,28,$7700,19
Courtney Lee,NYK,$4600,11,$4900,12,$13,12,$9650,10,$9800,12
Justin Holiday,NYK,$3500,25,$3200,30,$10,15,$5900,27,$6300,30
Giannis Antetokounmpo,MIL,$10100,1,$9900,1,$51,1,$19450,1,$18300,1
Gary Payton,MIL,,,,,,,,,,
Victor Oladipo,OKC,$5900,8,$5900,7,$22,7,$11850,7,$11600,7
Alex Abrines,OKC,$3500,25,$3000,31,$10,15,$5000,32,$6000,31
Tony Allen,MEM,$4100,18,$4300,16,$11,14,$7000,21,$8400,16
Troy Daniels,MEM,$3500,25,$3900,19,$10,15,$5100,31,$7700,19
Manu Ginobili,SAS,$3700,22,$3300,28,$10,15,$6100,25,$6400,28
Bryn Forbes,SAS,$3500,25,$3000,31,$10,15,$5000,32,$6000,31
C.J. McCollum,POR,$7000,5,$6800,6,$35,3,$14450,4,$12700,6
Allen Crabbe,POR,$3900,20,$3800,21,$10,15,$7400,18,$7400,21
Rodney Hood,UTA,$4200,16,$4500,14,$15,11,$9200,11,$8800,14
Alec Burks,UTA,$3500,25,$3000,31,$10,15,$5150,30,$6000,31
Brandon Rush,MIN,$3500,25,$3000,31,$10,15,$5000,32,$6000,31
Kris Dunn,MIN,$4400,14,$4000,18,$10,15,$6000,26,$7800,18
Klay Thompson,GSW,$7500,3,$7000,4,$34,4,$12850,6,$13300,4
Patrick McCaw,GSW,$3500,25,$3000,31,$10,15,$5000,32,$6000,31
Nicolas Brussino,DAL,$3500,25,$3000,31,$10,15,$5000,32,$6000,31
Ben McLemore,SAC,$3500,25,$3300,28,$10,15,$5300,29,$6400,28
Buddy Hield,SAC,$5500,10,$5600,9,$16,10,$9000,12,$11200,8
