Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
C.J. McCollum,POR,$7200,2,$7100,2,$33,1,$14150,2,$13300,2
Pat Connaughton,POR,$3500,9,$3000,9,$10,8,$5000,9,$6000,9
Victor Oladipo,OKC,$6000,4,$5700,5,$24,4,$12600,4,$11300,5
Alex Abrines,OKC,$3500,9,$3400,8,$10,8,$5000,9,$6600,8
Nick Young,LAL,$4200,7,$4000,7,$12,7,$7050,8,$7800,7
David Nwaba,LAL,,,$3000,9,$10,8,,,$6000,9
Seth Curry,DAL,$6200,3,$6600,3,$23,5,$13400,3,$12300,4
Wesley Matthews,DAL,$5200,6,$5100,6,$22,6,$10750,6,$10100,6
Bradley Beal,WAS,$8000,1,$7800,1,$32,2,$15750,1,$14300,1
Tomas Satoransky,WAS,$3500,9,$3000,9,$10,8,$5000,9,$6000,9
Devin Booker,PHO,$6000,4,$6300,4,$28,3,$12150,5,$12500,3
Brandon Knight,PHO,$3600,8,$3000,9,$10,8,$8200,7,$6000,9
