Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
DeMar DeRozan,TOR,$9200,1,$8800,1,$43,1,,,$16300,1
Norman Powell,TOR,$4000,11,$3700,14,$10,13,,,$7400,14
J.R. Smith,CLE,$4300,8,$4300,10,$17,8,,,$8400,10
Iman Shumpert,CLE,$3900,14,$3900,13,$10,13,,,$7700,13
Kyle Korver,ATL,$3600,16,$3700,14,$13,10,,,$7300,15
Tim Hardaway Jr.,ATL,$3600,16,$3600,16,$10,13,,,$7000,16
Dion Waiters,MIA,$4300,8,$4200,11,$16,9,,,$8400,10
Josh Richardson,MIA,$4000,11,$4800,8,$10,13,,,$9500,8
Nicolas Batum,CHA,$6500,3,$6800,3,$29,4,,,$12700,3
Zach LaVine,MIN,$6200,5,$6200,5,$27,5,,,$12200,5
Dwyane Wade,CHI,$6400,4,$6400,4,$30,3,,,$12600,4
Denzel Valentine,CHI,$3500,18,$3000,17,$10,13,,,$6000,17
C.J. McCollum,POR,$7400,2,$7500,2,$32,2,,,$13800,2
Allen Crabbe,POR,$3700,15,$4000,12,$12,12,,,$7800,12
Sean Kilpatrick,BKN,$5500,6,$5800,6,$18,6,,,$11500,6
Randy Foye,BKN,$4000,11,$3000,17,$10,13,,,$6000,17
Nick Young,LAL,$4200,10,$4700,9,$13,10,,,$9200,9
Louis Williams,LAL,$5200,7,$5600,7,$18,6,,,$11200,7
