Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Arron Afflalo,SAC,$3700,11,$3700,8,$11,8,$6800,11,$7300,8
Malachi Richardson,SAC,$3500,13,$3000,13,$10,11,$5000,14,$6000,12
Kyle Korver,ATL,$3800,9,$3700,8,$11,8,$7300,9,$7300,8
Tim Hardaway Jr.,ATL,$3600,12,$3500,11,$10,11,$5150,13,$7000,10
Gary Harris,DEN,$4900,5,$4800,5,$17,7,$9750,6,$9400,5
Will Barton,DEN,$5300,4,$5700,4,$21,4,$11300,3,$11200,4
DeMar DeRozan,TOR,$7900,1,$7300,1,$37,1,$14300,1,$13700,1
Norman Powell,TOR,$3500,13,$3000,13,$10,11,$8250,7,$6000,12
Dwyane Wade,CHI,$6900,2,$6500,2,$34,2,$12150,2,$12300,2
Denzel Valentine,CHI,$3500,13,$3000,13,$10,11,$6950,10,$6000,12
Sean Kilpatrick,BKN,$4000,8,$3600,10,$10,11,$6300,12,$7000,10
Joe Harris,BKN,$3800,9,$3100,12,$11,8,$5000,14,$6000,12
Devin Booker,PHO,$6100,3,$6200,3,$31,3,$10600,4,$12300,2
Leandro Barbosa,PHO,$3500,13,$3000,13,$10,11,$5000,14,$6000,12
J.J. Redick,LAC,$4400,7,$4400,6,$19,5,$10000,5,$8700,6
Jamal Crawford,LAC,$4900,5,$4100,7,$19,5,$7400,8,$8000,7
