Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Kyle Korver,ATL,$3800,21,$3900,20,$13,17,$7250,20,$7700,20
Tim Hardaway Jr.,ATL,$3700,23,$3900,20,$10,21,$5750,25,$7700,20
Nicolas Batum,CHA,$6700,4,$6700,4,$29,4,$13700,4,$12600,4
Devin Booker,PHO,$6500,5,$6500,5,$29,4,$11350,8,$12300,5
Leandro Barbosa,PHO,$3500,27,$3000,27,$10,21,$5000,26,$6000,26
Monta Ellis,IND,$5600,7,$5300,8,$23,8,$11700,7,$10500,8
Joseph Young,IND,$3500,27,$3000,27,$10,21,$5000,26,$6000,26
Kentavious Caldwell-Pope,DET,$4900,10,$5300,8,$21,9,$9000,12,$10500,8
Reggie Bullock,DET,$3500,27,$3000,27,$10,21,$5000,26,$6000,26
J.R. Smith,CLE,$4300,15,$4300,16,$17,13,$8600,14,$8400,17
Iman Shumpert,CLE,$3600,25,$4000,19,$10,21,$6500,24,$7800,19
Klay Thompson,GSW,$5700,6,$6100,6,$29,4,$12900,5,$12000,6
Patrick McCaw,GSW,$3500,27,$3000,27,$10,21,$5000,26,$6000,26
Avery Bradley,BOS,$7000,3,$7000,3,$31,3,$12300,6,$13300,3
Gerald Green,BOS,$3500,27,$3000,27,$10,21,$5000,26,$6000,26
C.J. McCollum,POR,$7500,2,$7400,2,$34,2,$14350,2,$14000,2
Allen Crabbe,POR,$3800,21,$4200,18,$12,18,$8100,17,$8300,18
Buddy Hield,NOP,$3900,19,$3500,23,$10,21,$8450,15,$6900,24
E'Twaun Moore,NOP,$4500,13,$4400,15,$15,15,$8400,16,$8700,15
Sean Kilpatrick,BKN,$5200,9,$5300,8,$18,12,$7700,18,$10500,8
Randy Foye,BKN,$4000,17,$3000,27,$10,21,$5000,26,$6000,26
Victor Oladipo,OKC,$5500,8,$5900,7,$28,7,$14350,2,$11600,7
Alex Abrines,OKC,$3500,27,$3000,27,$10,21,$5000,26,$6000,26
Troy Daniels,MEM,$3500,27,$3000,27,$10,21,$5000,26,$6000,26
Wesley Matthews,DAL,$4700,11,$4900,12,$19,11,$9800,10,$9700,13
Seth Curry,DAL,$4100,16,$5200,11,$11,19,$6800,22,$10200,11
DeMar DeRozan,TOR,$9200,1,$8600,1,$43,1,$15750,1,$16000,1
Norman Powell,TOR,$3700,23,$3500,23,$10,21,$7350,19,$7000,23
Malik Beasley,DEN,$3500,27,$3000,27,$10,21,$5000,26,$6000,26
Danny Green,SAS,$4000,17,$3900,20,$11,19,$9400,11,$7700,20
Manu Ginobili,SAS,$3500,27,$3300,25,$10,21,$7100,21,$6400,25
Nick Young,LAL,$3900,19,$4300,16,$14,16,$5000,26,$8500,16
Louis Williams,LAL,$4700,11,$4900,12,$20,10,$8750,13,$9800,12
J.J. Redick,LAC,$4500,13,$4500,14,$17,13,$9900,9,$8800,14
Alan Anderson,LAC,$3500,27,$3000,27,$10,21,$5000,26,$6000,26
Arron Afflalo,SAC,$3600,25,$3100,26,$10,21,$6600,23,$6000,26
Ben McLemore,SAC,$3500,27,$3000,27,$10,21,$5000,26,$6000,26
