Date;GID;Pos;Name;Starter;FD Pts;FD Salary;Team;H/A;Oppt;Team Score;Oppt Score;Minutes;Stat line
20161106;4798;PF;Nance, Larry;;5.2;$4,100;lal;H;pho;119;108; 3.00;2pt 1rb 1st 2-2ft
20161106;4461;SF;Parsons, Chandler;1;3.6;$6,400;mem;H;por;94;100;21.55;0pt 3rb 1bl 2to 0-8fg
20161106;4509;PF;Robinson, Thomas;;3.2;$3,700;lal;H;pho;119;108; 5.02;0pt 1rb 1bl 0-1fg
20161106;4674;PF;Powell, Dwight;;2.6;$4,100;dal;H;mil;86;75;10.32;0pt 3rb 1to 0-1fg
20161106;3871;SF;Tucker, P.J.;;2.2;$3,600;pho;A;lal;108;119;19.78;0pt 1rb 1bl 1to 0-1fg
20161106;4761;PF;Vonleh, Noah;;1.2;$3,500;por;A;mem;100;94; 2.55;0pt 1rb
20161106;4209;PF;Casspi, Omri;;1.2;$3,900;sac;A;tor;96;91; 9.63;2pt 1rb 2to 1-1fg
20161106;4990;PF;Hernangomez, Juan;;0.2;$3,500;den;A;bos;123;107; 2.43;0pt 1rb 1to
20161106;4679;SF;Young, James;;0.2;$3,500;bos;H;den;107;123; 8.53;0pt 1rb 1to 0-1fg
20161106;4525;PF;Henson, John;;0.2;$3,500;mil;A;dal;75;86; 6.10;0pt 1rb 1to
20161106;4952;PF;Chriss, Marquese;;0;$3,500;pho;A;lal;108;119; 1.43;0pt
20161106;4701;SF;Ingles, Joe;;0;$3,500;uta;A;nyk;114;109; 3.70;0pt 0-1fg
20161106;4997;PF;Layman, Jake;;0;$3,600;por;A;mem;100;94;DNP;
20161106;3141;SF;Miller, Mike;;0;$3,500;den;A;bos;123;107;DNP;
20161106;4978;PF;Bolomboy, Joel;;0;$3,500;uta;A;nyk;114;109;DNP;
20161106;4913;PF;Bender, Dragan;;0;$3,500;pho;A;lal;108;119;DNP;
20161106;4080;PF;Arthur, Darrell;;0;$3,700;den;A;bos;123;107;DNP;
20161106;4708;SF;Caboclo, Bruno;;0;$3,500;tor;H;sac;91;96;DNP;
20161106;4496;PF;Acy, Quincy;;0;$3,500;dal;H;mil;86;75;DNP;
20161106;4935;PF;Maker, Thon;;0;$3,500;mil;A;dal;75;86;DNP;
20161106;4908;SF;Williams, Troy;;0;$3,700;mem;H;por;94;100;DNP;
20161106;4979;PF;Labissiere, Skal;;0;$3,500;sac;A;tor;96;91;DNP;
20161106;4928;PF;Davis, Deyonta;;0;$3,700;mem;H;por;94;100;DNP;
20161106;4817;PF;Cauley-Stein, Willie;;0;$3,600;sac;A;tor;96;91;DNP;
20161106;3527;PF;Diaw, Boris;;0;$3,500;uta;A;nyk;114;109;NA;
20161106;3001;SF;Peace, Metta World;;0;$3,500;lal;H;pho;119;108;NA;
20161106;4049;PF;Tolliver, Anthony;;0;$3,500;sac;A;tor;96;91;NA;
20161106;4861;PF;N'dour, Maurice;;0;$3,500;nyk;H;uta;109;114;NA;
20161106;4472;SF;Crowder, Jae;;0;$5,900;bos;H;den;107;123;NA;
20161106;3895;SF;Novak, Steve;;0;$3,500;mil;A;dal;75;86;NA;
20161106;2374;PF;Nowitzki, Dirk;;0;$6,500;dal;H;mil;86;75;NA;
20161106;4941;SF;Jones, Derrick;;0;$3,500;pho;A;lal;108;119;NA;
20161106;4723;PF;Stokes, Jarnell;;0;$3,500;den;A;bos;123;107;NA;
20161106;4274;C;Cousins, DeMarcus;1;52.8;$9,700;sac;A;tor;96;91;35.75;22pt 14rb 4as 1st 3bl 7-21fg 8-11ft
20161106;4620;C;Gobert, Rudy;1;32.1;$6,700;uta;A;nyk;114;109;33.38;13pt 8rb 1as 1st 3bl 5-6fg 3-4ft
20161106;4298;C;Monroe, Greg;;30.9;$5,900;mil;A;dal;75;86;28.92;14pt 12rb 1as 3st 5to 5-10fg 4-4ft
20161106;3990;C;Gasol, Marc;1;27.6;$7,200;mem;H;por;94;100;27.75;21pt 3rb 2as 1st 2to 1trey 7-14fg 6-8ft
20161106;3307;C;Chandler, Tyson;1;26.4;$4,700;pho;A;lal;108;119;29.92;9pt 12rb 3st 3to 4-4fg 1-2ft
20161106;3736;C;Bogut, Andrew;1;24.7;$4,200;dal;H;mil;86;75;34.27;2pt 16rb 3as 1st 3to 1-4fg
20161106;4299;C;Mozgov, Timofey;1;23.6;$3,800;lal;H;pho;119;108;21.82;14pt 8rb 2as 3to 6-9fg 2-3ft
20161106;4109;C;Koufos, Kosta;1;22.2;$3,600;sac;A;tor;96;91;25.33;13pt 6rb 1bl 6-8fg 1-2ft
20161106;4607;C;Plumlee, Mason;1;20.9;$5,300;por;A;mem;100;94;24.25;7pt 7rb 3as 2st 3to 2-3fg 3-6ft
20161106;4591;C;Len, Alex;;20.2;$4,800;pho;A;lal;108;119;18.08;5pt 11rb 1st 1bl 2to 2-4fg 1-2ft
20161106;4516;C;Zeller, Tyler;1;20;$4,100;bos;H;den;107;123;25.77;6pt 5rb 2as 1st 2bl 1to 3-7fg
20161106;4681;C;Nurkic, Jusuf;1;16.2;$6,000;den;A;bos;123;107;13.28;4pt 6rb 2as 1st 1bl 2to 1-5fg 2-4ft
20161106;4759;C;Nogueira, Lucas;;16;$3,500;tor;H;sac;91;96;21.48;7pt 5rb 1st 1bl 1to 3-3fg 1-2ft
20161106;4013;C;Noah, Joakim;1;15;$4,500;nyk;H;uta;109;114;20.03;4pt 5rb 2as 1st 1bl 2to 2-3fg
20161106;4691;C;Black, Tarik;;14.9;$3,500;lal;H;pho;119;108;16.80;4pt 7rb 1as 1st 1bl 3to 2-6fg
20161106;4858;C;Mejri, Salah;;14.7;$3,500;dal;H;mil;86;75;13.03;4pt 6rb 1as 1st 1bl 2to 2-4fg
20161106;5004;C;Poeltl, Jakob;1;13.8;$3,500;tor;H;sac;91;96;18.43;6pt 4rb 2as 3-4fg
20161106;4542;C;Plumlee, Miles;1;8.8;$3,500;mil;A;dal;75;86;17.98;4pt 4rb 1st 2to 2-3fg
20161106;4529;C;O'Quinn, Kyle;;7.2;$3,500;nyk;H;uta;109;114;12.67;4pt 1rb 1bl 1-4fg 2-2ft
