Date;GID;Pos;Name;Starter;FD Pts;FD Salary;Team;H/A;Oppt;Team Score;Oppt Score;Minutes;Stat line
20161114;4442;PF;Kanter, Enes;;17.1;$5,000;okc;A;det;88;104;16.78;10pt 3rb 1as 1bl 4-9fg 2-2ft
20161114;4705;SF;Gordon, Aaron;;16.1;$5,600;orl;A;ind;69;88;22.05;11pt 3rb 1as 1trey 5-11fg
20161114;4890;SF;Simmons, Jonathon;;15.8;$3,500;sas;H;mia;94;90;22.38;5pt 4rb 2as 1st 1bl 1to 1-5fg 3-4ft
20161114;4113;SF;Mbah a Moute, Luc;1;15.4;$3,700;lac;H;bkn;127;95;24.28;11pt 2rb 1st 5-5fg 1-1ft
20161114;4461;SF;Parsons, Chandler;1;14.3;$5,300;mem;A;uta;102;96;23.13;9pt 4rb 1as 1to 3-6fg 3-3ft
20161114;4932;SF;Finney-Smith, Dorian;1;13.8;$3,500;dal;A;nyk;77;93;21.02;4pt 4rb 2as 2st 2to 2-4fg
20161114;4860;SF;Anderson, Justin;;13.4;$3,900;dal;A;nyk;77;93;23.08;0pt 7rb 2as 1st 0-11fg
20161114;4267;PF;Booker, Trevor;1;12.6;$5,600;bkn;A;lac;95;127;22.43;4pt 3rb 2as 2st 2to 1-2fg 2-2ft
20161114;4007;PF;McRoberts, Josh;;12.1;$3,800;mia;A;sas;90;94;13.98;0pt 3rb 3as 2st 0-6fg
20161114;4674;PF;Powell, Dwight;;11.8;$4,100;dal;A;nyk;77;93;18.40;6pt 4rb 1st 1bl 3to 2-7fg 2-2ft
20161114;4838;SF;Johnson, Stanley;;11.7;$3,500;det;H;okc;104;88;14.47;3pt 1rb 1as 3bl 1trey 1-3fg
20161114;4280;PF;Favors, Derrick;1;11.4;$6,800;uta;H;mem;96;102;21.48;6pt 2rb 2st 1to 2-6fg 2-2ft
20161114;3733;PF;Bass, Brandon;;10.8;$3,500;lac;H;bkn;127;95;22.33;4pt 4rb 1bl 2-4fg
20161114;3527;PF;Diaw, Boris;;10.7;$3,500;uta;H;mem;96;102;20.50;6pt 1rb 1as 1st 3-4fg
20161114;4810;SF;Hollis-Jefferson, Rondae;1;9.9;$4,300;bkn;A;lac;95;127;20.95;8pt 2rb 1as 2to 2-3fg 4-4ft
20161114;4835;PF;Holmes, Richaun;;9.1;$3,800;phi;A;hou;88;115; 8.38;4pt 3rb 1as 2-4fg
20161114;4570;SF;Covington, Robert;1;8.2;$4,800;phi;A;hou;88;115;14.07;7pt 1rb 1trey 1-7fg 4-4ft
20161114;4559;SF;Roberson, Andre;1;7.8;$3,800;okc;A;det;88;104;28.90;4pt 4rb 1to 2-3fg 0-1ft
20161114;3975;SF;Brewer, Corey;;7.8;$3,500;hou;H;phi;115;88;14.18;4pt 4rb 1bl 3to 1-2fg 2-2ft
20161114;4824;PF;Mickey, Jordan;;7.3;$3,500;bos;A;nor;105;106; 9.38;1pt 4rb 1as 1st 2to 0-2fg 1-2ft
20161114;4416;PF;Williams, Derrick;1;7.2;$3,600;mia;A;sas;90;94;15.70;5pt 1rb 1st 1to 2-6fg 1-2ft
20161114;4928;PF;Davis, Deyonta;;6.6;$3,700;mem;A;uta;102;96;13.42;2pt 3rb 1st 1to 1-3fg 0-1ft
20161114;4187;PF;Jerebko, Jonas;;6.4;$3,500;bos;A;nor;105;106;19.02;4pt 2rb 2-6fg
20161114;4857;PF;Harrell, Montrezl;;5.9;$3,500;hou;H;phi;115;88; 6.25;2pt 2rb 1as 1st 2to 1-3fg 0-1ft
20161114;4736;SF;Anderson, Kyle;;5.9;$3,600;sas;H;mia;94;90; 5.60;0pt 2rb 1as 1bl 0-1fg
20161114;4861;PF;N'dour, Maurice;;5.8;$3,500;nyk;H;dal;93;77;13.02;2pt 4rb 1to 1-3fg
20161114;3304;SF;Johnson, Joe;;5.7;$3,900;uta;H;mem;96;102;15.32;1pt 1rb 1as 1st 0-4fg 1-2ft
20161114;4374;PF;Allen, Lavoy;;5.6;$3,500;ind;H;orl;88;69;15.67;2pt 3rb 1-2fg
20161114;3992;SF;Green, Jeff;1;5.4;$3,800;orl;A;ind;69;88;22.27;3pt 2rb 1-4fg 1-2ft
20161114;4226;SF;Cunningham, Dante;1;5.2;$3,500;nor;H;bos;106;105;23.42;5pt 1rb 1to 1trey 2-4fg
20161114;4697;SF;Ennis, James;1;5.1;$4,300;mem;A;uta;102;96;22.05;0pt 3rb 1as 0-2fg
20161114;4683;SF;Rudez, Damjan;;4.7;$3,500;orl;A;ind;69;88;13.48;3pt 1rb 1as 1to 1trey 1-1fg
20161114;3503;PF;Scola, Luis;;4.1;$3,700;bkn;A;lac;95;127;14.70;0pt 3rb 1as 1to 0-1fg
20161114;4702;SF;Robinson III, Glenn;;2.7;$3,600;ind;H;orl;88;69; 2.25;0pt 1rb 1as 0-1fg
20161114;5015;SF;Niang, Georges;;2.4;$3,500;ind;H;orl;88;69; 2.25;0pt 2rb 0-1fg
20161114;4921;PF;Sabonis, Domantas;1;2.2;$4,000;okc;A;det;88;104;23.17;3pt 1rb 2to 1trey 1-5fg
20161114;4496;PF;Acy, Quincy;;2;$3,500;dal;A;nyk;77;93; 1.95;2pt 1-2fg 0-1ft
20161114;5014;SF;Kuzminskas, Mindaugas;;2;$3,500;nyk;H;dal;93;77; 3.33;2pt 1-2fg
20161114;4563;PF;Onuaku, Arinze;;2;$3,500;orl;A;ind;69;88; 3.68;0pt 1bl
20161114;4850;PF;Martin, Jarell;;0.2;$3,500;mem;A;uta;102;96;10.82;0pt 1rb 1to
20161114;3523;PF;Collison, Nick;;0;$3,500;okc;A;det;88;104; 1.83;0pt
20161114;4989;SF;Bertans, Davis;;0;$3,500;sas;H;mia;94;90; 0.13;0pt 0-1fg
20161114;4679;SF;Young, James;;0;$3,600;bos;A;nor;105;106; 6.45;0pt
20161114;5009;PF;Ellenson, Henry;;0;$3,500;det;H;okc;104;88; 1.28;0pt 0-1fg
20161114;4264;PF;Babbitt, Luke;;0;$3,500;mia;A;sas;90;94; 7.53;0pt
20161114;4978;PF;Bolomboy, Joel;;0;$3,500;uta;H;mem;96;102;DNP;
20161114;2428;SF;Pierce, Paul;;0;$3,500;lac;H;bkn;127;95;DNP;
20161114;4460;SF;Singler, Kyle;;0;$3,500;okc;A;det;88;104;DNP;
20161114;4908;SF;Williams, Troy;;0;$3,700;mem;A;uta;102;96;DNP;
20161114;3535;PF;Haslem, Udonis;;0;$3,500;mia;A;sas;90;94;DNP;
20161114;4992;SF;LeVert, Caris;;0;$3,500;bkn;A;lac;95;127;NA;
20161114;4914;PF;Johnson, Brice;;0;$3,500;lac;H;bkn;127;95;NA;
20161114;4384;SF;Thomas, Lance;;0;$3,500;nyk;H;dal;93;77;NA;
20161114;4652;PF;Noel, Nerlens;;0;$6,800;phi;A;hou;88;115;NA;
20161114;4977;PF;Wiltjer, Kyle;;0;$3,500;hou;H;phi;115;88;NA;
20161114;4957;PF;Diallo, Cheick;;0;$3,500;nor;H;bos;106;105;NA;
20161114;4472;SF;Crowder, Jae;;0;$5,900;bos;A;nor;105;106;NA;
20161114;2374;PF;Nowitzki, Dirk;;0;$6,500;dal;A;nyk;77;93;NA;
20161114;4880;SF;Huestis, Josh;;0;$3,500;okc;A;det;88;104;NA;
