Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
JaMychal Green,MEM,$5500,8,$5800,7,$20,9,$9000,12,$11500,7
Zach Randolph,MEM,$5700,7,$5100,9,$20,9,$9550,11,$10200,9
Kevin Love,CLE,$8000,3,$7800,3,$38,2,$14850,5,$14300,3
Channing Frye,CLE,$3600,15,$3500,15,$11,13,$7150,15,$7000,15
Serge Ibaka,ORL,$6200,6,$6400,6,$27,6,$12600,6,$12700,6
Arinze Onuaku,ORL,$3500,17,$3000,18,$10,15,$5000,18,$6000,17
Paul Millsap,ATL,$8300,2,$7900,2,$33,5,$15600,3,$14700,2
Kris Humphries,ATL,$3500,17,$3000,18,$10,15,$5000,18,$6000,17
Kevon Looney,GSW,$3500,17,$3000,18,$10,15,$5000,18,$6000,17
Draymond Green,GSW,$7800,5,$7500,5,$36,3,$15900,2,$13800,5
Anthony Davis,NOP,$11900,1,$11300,1,$57,1,$22900,1,$20100,1
Terrence Jones,NOP,$4500,12,$4200,12,$14,12,$8400,13,$8400,12
Gorgui Dieng,MIN,$5500,8,$5600,8,$21,8,$12000,7,$11200,8
Jordan Hill,MIN,$3500,17,$3000,18,$10,15,$5000,18,$6000,17
Taj Gibson,CHI,$5500,8,$5000,10,$22,7,$10500,9,$9800,10
Nikola Mirotic,CHI,$4200,13,$3900,13,$11,13,$10350,10,$7700,13
Kristaps Porzingis,NYK,$8000,3,$7600,4,$35,4,$15600,3,$13900,4
Marquese Chriss,PHO,$3500,17,$3000,18,$10,15,$5000,18,$6000,17
Jared Dudley,PHO,$3600,15,$3500,15,$10,15,$7250,14,$6900,16
Domantas Sabonis,OKC,$3500,17,$3100,17,$10,15,$5750,17,$6000,17
Enes Kanter,OKC,$5100,11,$4400,11,$17,11,$11600,8,$8800,11
Ed Davis,POR,$3800,14,$3600,14,$10,15,$6050,16,$7100,14
Noah Vonleh,POR,$3500,17,$3000,18,$10,15,$5000,18,$6000,17
