Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Markieff Morris,WAS,$5,600,4,$5,400,4,$17,7,$11,300,5,$10,600,4
Jason Smith,WAS,$3,500,13,$3,200,10,$10,12,$5,000,14,$6,300,8
Paul Millsap,ATL,$8,000,2,$7,900,2,$42,1,$15,200,2,$14,600,2
Kris Humphries,ATL,$3,500,13,$3,000,13,$10,12,$5,400,13,,
Amir Johnson,BOS,$5,000,6,$3,500,8,$16,8,$8,600,7,$6,900,7
Jonas Jerebko,BOS,$4,600,8,$3,000,13,$11,11,$5,700,11,$6,000,10
Taj Gibson,CHI,$5,300,5,$4,100,7,$18,6,$6,750,9,$8,000,6
Nikola Mirotic,CHI,$5,000,6,$4,800,5,$19,4,$12,600,4,$9,500,5
LaMarcus Aldridge,SAS,$7,800,3,$7,300,3,$34,3,$14,300,3,$13,700,3
David Lee,SAS,$3,900,11,$3,100,12,$13,10,$5,700,11,$6,000,10
Omri Casspi,SAC,$4,400,10,$3,500,8,$16,8,$7,250,8,,
Anthony Tolliver,SAC,$3,500,13,$3,000,13,$10,12,$5,000,14,$6,000,10
Blake Griffin,LAC,$8,600,1,$8,600,1,$41,2,$17,250,1,$16,000,1
Marreese Speights,LAC,$3,700,12,$3,200,10,$10,12,$5,750,10,$6,300,8
Al-Farouq Aminu,POR,$4,600,8,$4,500,6,$19,4,$9,200,6,,
Noah Vonleh,POR,$3,500,13,$3,000,13,$10,12,$5,000,14,$6,000,10
