Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Ed Davis,POR,$3800,11,$3200,12,$10,11,$6200,12,$6300,12
Meyers Leonard,POR,$3700,12,$3200,12,$10,11,$7450,11,$6300,12
Kristaps Porzingis,NYK,$7200,3,$7500,3,$31,3,$16000,3,$13800,3
Anthony Davis,NOP,$11800,1,$11000,1,$55,1,$22400,1,$19600,1
Terrence Jones,NOP,$5100,7,$5400,6,$18,9,$8300,10,$10600,6
Paul Millsap,ATL,$7600,2,$7900,2,$37,2,$16550,2,$14600,2
Kris Humphries,ATL,$3500,13,$3000,14,$10,11,$5500,14,$6000,14
Taj Gibson,CHI,$5300,6,$5400,6,$20,6,$10050,9,$10600,6
Nikola Mirotic,CHI,$4300,10,$4800,8,$17,10,$11450,6,$9500,8
Kenneth Faried,DEN,$6000,5,$5700,5,$20,6,$10200,8,$11200,5
Nikola Jokic,DEN,$4500,9,$4500,10,$21,5,$10250,7,$8800,10
Domantas Sabonis,OKC,$3500,13,$3300,11,$10,11,$5350,15,$6400,11
Enes Kanter,OKC,$4800,8,$4600,9,$19,8,$12150,4,$9100,9
Julius Randle,LAL,$6500,4,$6700,4,$27,4,$11950,5,$12600,4
Thomas Robinson,LAL,$3500,13,$3000,14,$10,11,$5700,13,$6000,14
