Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Blake Griffin,LAC,$9700,2,$9500,1,$45,1,$16850,1,,
Brandon Bass,LAC,$3500,19,$3000,18,$10,14,$5000,21,,
Marvin Williams,CHA,$5400,9,$4900,11,$15,10,$10450,9,,
Frank Kaminsky,CHA,$4800,11,$4600,12,$13,12,$8250,12,,
Thon Maker,MIL,$3500,19,$3000,18,$10,14,$5000,21,$6000,15
Lavoy Allen,IND,$3800,15,$3800,14,$11,13,$5000,21,$7400,11
Kevin Seraphin,IND,$3500,19,$3000,18,$10,14,$5000,21,$6000,15
Nikola Jokic,DEN,$9900,1,$9000,2,$38,3,$14200,4,$16600,1
Johnny O'Bryant,DEN,,,$3000,18,$10,14,$5000,21,$6000,15
Kevin Love,CLE,$8200,3,$8200,3,$39,2,$15500,2,$15100,2
Derrick Williams,CLE,$3500,19,$3000,18,,,$6050,18,$6000,15
James Johnson,MIA,$6000,5,$6100,6,$24,6,$11600,6,$12000,5
Udonis Haslem,MIA,$3500,19,$3000,18,$10,14,$5000,21,$6000,15
Ersan Ilyasova,PHI,$5600,8,$5500,7,$24,6,$10450,9,$10800,6
Richaun Holmes,PHI,$3600,17,$3900,13,$10,14,$6050,18,$7700,10
Draymond Green,GSW,$8000,4,$7500,4,$34,4,$15250,3,$13800,3
James McAdoo,GSW,$3500,19,$3000,18,$10,14,$5000,21,$6000,15
Domantas Sabonis,OKC,$3500,19,$3000,18,$10,14,$5550,20,$6000,15
Nick Collison,OKC,$3500,19,$3000,18,$10,14,$5000,21,$6000,15
Serge Ibaka,ORL,$6000,5,$6600,5,$27,5,$12200,5,$12300,4
Dirk Nowitzki,DAL,$5700,7,$5300,8,$16,9,$11500,7,$10500,7
Dwight Powell,DAL,$3500,19,$3000,18,$10,14,$7150,14,$6000,15
Marquese Chriss,PHO,$3900,14,$3700,15,$10,14,$6650,17,$7300,12
Alex Len,PHO,$3600,17,$3000,18,$10,14,$8000,13,$6000,15
Ryan Anderson,HOU,$4700,12,$5100,9,$19,8,$11350,8,$10200,8
Montrezl Harrell,HOU,$4300,13,$3500,16,$10,14,$6850,15,$7000,13
Amir Johnson,BOS,$3700,16,$3400,17,$10,14,$6800,16,$6700,14
Jonas Jerebko,BOS,$3500,19,$3000,18,$10,14,$5000,21,$6000,15
Derrick Favors,UTA,$5000,10,$5000,10,$15,10,$9500,11,$9800,9
Boris Diaw,UTA,$3500,19,$3000,18,$10,14,$5000,21,$6000,15
