Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Jabari Parker,MIL,$6900,4,,,$32,4,$13050,4,$13000,4
Thon Maker,MIL,$3500,34,,,$10,30,$5000,34,$6000,35
Markieff Morris,WAS,$5100,15,,,$18,14,$11650,7,$9800,13
Jason Smith,WAS,$3500,34,,,$10,30,$5000,34,$6000,35
JaMychal Green,MEM,$4900,17,,,$18,14,$10050,16,$9100,19
Zach Randolph,MEM,$5300,11,,,$18,14,$10850,13,$10200,12
Serge Ibaka,ORL,$6300,6,,,$29,5,$11300,10,$12600,5
Marvin Williams,CHA,$4400,20,,,$17,18,$9850,17,$9400,17
Frank Kaminsky,CHA,$4200,25,,,$13,24,$8400,24,$7800,22
Trevor Booker,BKN,$5300,11,,,$24,8,$11350,9,$11200,9
Luis Scola,BKN,$3500,34,,,$10,30,$5000,34,$6000,35
Kevin Love,CLE,$8400,2,,,$38,3,$16350,2,$15100,2
Channing Frye,CLE,$3600,31,,,$11,28,$6850,31,$7700,25
Tobias Harris,DET,$5500,10,,,$25,7,$10200,14,$10500,11
Jon Leuer,DET,$4900,17,,,$17,18,$7600,28,$9800,13
Marquese Chriss,PHO,$3500,34,,,$10,30,$5750,33,$6700,32
Jared Dudley,PHO,$3500,34,,,$10,30,$8800,21,$6900,31
Ryan Anderson,HOU,$5900,7,,,$19,13,$10950,12,$10600,10
Kyle Wiltjer,HOU,$3500,34,,,$10,30,$5000,34,$6000,35
Paul Millsap,ATL,$8200,3,,,$40,2,$15550,3,$15100,2
Kris Humphries,ATL,$3600,31,,,$10,30,$5000,34,$6300,34
Gorgui Dieng,MIN,$5600,9,,,$21,10,$11850,6,$11300,8
Adreian Payne,MIN,$3500,34,,,$10,30,$5000,34,$6000,35
Thaddeus Young,IND,$5200,13,,,$21,10,$11000,11,$11500,7
Lavoy Allen,IND,$3500,34,,,$10,30,$5000,34,$6000,35
Taj Gibson,CHI,$5200,13,,,$18,14,$10150,15,$9700,15
Nikola Mirotic,CHI,$4300,21,,,$11,28,$9250,19,$7700,25
Dirk Nowitzki,DAL,$5900,7,,,$22,9,$11650,7,$9200,18
Dwight Powell,DAL,$4300,21,,,$16,21,$8500,23,$7800,22
Anthony Davis,NOP,$11600,1,,,$55,1,$22350,1,$19800,1
Terrence Jones,NOP,$5000,16,,,$16,21,$8550,22,$9100,19
Pascal Siakam,TOR,$3500,34,,,$10,30,$5000,34,$6000,35
Patrick Patterson,TOR,$4000,27,,,$12,25,$8250,25,$7300,29
Al-Farouq Aminu,POR,$4000,27,,,$15,23,$7950,26,$7400,27
Meyers Leonard,POR,$3600,31,,,$10,30,$5900,32,$6000,35
Dario Saric,PHI,$3800,30,,,$10,30,$9400,18,$7400,27
Nerlens Noel,PHI,$4900,17,,,$20,12,$7200,29,$7300,29
Anthony Tolliver,SAC,$3900,29,,,$10,30,$5000,34,$6400,33
Omri Casspi,SAC,$4300,21,,,$12,25,$7950,26,$7800,22
Nikola Jokic,DEN,$6600,5,,,$28,6,$12900,5,$11900,6
Kenneth Faried,DEN,$4300,21,,,$17,18,$9050,20,$9500,16
Marreese Speights,LAC,$4200,25,,,$12,25,$6950,30,$8400,21
Brandon Bass,LAC,$3500,34,,,$10,30,$5000,34,$6000,35
