Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Anthony Tolliver,SAC,$3500,29,$3600,22,$10,23,$5000,32,$7000,23
Skal Labissiere,SAC,$3500,29,$3000,27,$10,23,$5000,32,$6000,26
Kevin Love,CLE,$7700,4,$7800,2,$38,2,$15600,4,$14300,2
Channing Frye,CLE,$3900,21,$3600,22,$10,23,$7400,21,$7100,22
James Johnson,MIA,$5800,10,$5900,10,$24,8,$9950,15,$11600,10
Derrick Williams,MIA,$3500,29,$3000,27,$10,23,$6950,23,$6000,26
Trevor Booker,BKN,$5100,13,$4800,14,$22,10,$9450,16,$9500,14
Luis Scola,BKN,$3500,29,$3000,27,$10,23,$5000,32,$6000,26
Ryan Anderson,HOU,$4600,16,$4500,16,$19,12,$10750,11,$8800,16
Montrezl Harrell,HOU,$4400,19,$3700,20,$13,20,$7500,20,$7300,20
Amir Johnson,BOS,$3900,21,$4000,19,$11,22,$7550,19,$7800,19
Jonas Jerebko,BOS,$3500,29,$3000,27,$10,23,$5500,30,$6000,26
Ersan Ilyasova,PHI,$6000,8,$6000,9,$24,8,$11300,8,$11900,9
Richaun Holmes,PHI,$4600,16,$3700,20,$10,23,$5950,28,$7300,20
Jabari Parker,MIL,$7900,3,$7200,5,$33,5,$14400,5,$13700,5
Thon Maker,MIL,$3500,29,$3000,27,$10,23,$5000,32,$6000,26
Domantas Sabonis,OKC,$3500,29,$3000,27,$10,23,$5300,31,$6000,26
Nick Collison,OKC,$3500,29,$3000,27,$10,23,$5000,32,$6000,26
Anthony Davis,NOP,$10900,1,$10400,1,$53,1,$20200,1,$18600,1
Terrence Jones,NOP,$5800,10,$7100,6,$16,15,$10600,12,$13300,6
Paul Millsap,ATL,$8300,2,$7800,2,$37,4,$16450,3,$14300,2
Kris Humphries,ATL,$3600,26,$3200,25,$10,23,$5650,29,$6300,25
Taj Gibson,CHI,$4700,15,$5000,13,$18,13,$10400,13,$9800,13
Nikola Mirotic,CHI,$4000,20,$4400,17,$16,15,$8950,18,$8700,18
Draymond Green,GSW,$7700,4,$7500,4,$38,2,$16600,2,$13800,4
James McAdoo,GSW,$3500,29,$3000,27,$10,23,$5000,32,$6000,26
Marvin Williams,CHA,$5000,14,$4800,14,$15,18,$10250,14,$9500,14
Christian Wood,CHA,$3500,29,$3000,27,$10,23,$5000,32,$6000,26
Jared Sullinger,TOR,$3800,23,$3000,27,$16,15,$6350,25,$6000,26
Patrick Patterson,TOR,$3800,23,$3300,24,$12,21,$6500,24,$6400,24
JaMychal Green,MEM,$4500,18,$4400,17,$14,19,$9050,17,$8800,16
Zach Randolph,MEM,$5900,9,$5400,12,$22,10,$10900,10,$10600,12
Kristaps Porzingis,NYK,$6700,6,$6500,8,$31,6,$14150,6,$12300,8
Dirk Nowitzki,DAL,$5500,12,$5500,11,$18,13,$11050,9,$10900,11
Dwight Powell,DAL,$3700,25,$3100,26,$10,23,$7300,22,$6000,26
Julius Randle,LAL,$6500,7,$6700,7,$30,7,$12250,7,$12600,7
Thomas Robinson,LAL,$3500,29,$3000,27,$10,23,$6000,27,$6000,26
Noah Vonleh,POR,$3600,26,$3000,27,$10,23,$5000,32,$6000,26
Meyers Leonard,POR,$3600,26,$3000,27,$10,23,$6350,25,$6000,26
