Name,Position,Min,Pts,Reb,Ast,Stl,Blk,TO,FP,Cost,Value
Russell Westbrook,PG,36.51,30.7,10,10.8,1.7,0.3,5.1,57.8,$12800,4.52
James Harden,SG,37.54,27.9,7.6,10.7,1.5,0.5,5.4,51.7,$11600,4.45
DeMarcus Cousins,C,35.32,27.8,10.7,3.8,1.5,1.4,3.3,48.8,$10100,4.84
LeBron James,SF,37.49,26.1,7.7,8.1,1.5,0.6,4.0,47.7,$9900,4.82
Giannis Antetokounmpo,SG,36.33,23.2,9.2,5.4,1.9,2.2,2.9,47.6,$10600,4.49
Karl-Anthony Towns,C,38.43,22.7,12.3,2.9,0.7,1.5,2.5,43.7,$9700,4.51
DeMar DeRozan,SG,36.72,28.0,5.4,4.3,1.4,0.2,2.5,41.6,$9400,4.43
Kyle Lowry,PG,37.40,22.3,5,7.4,1.8,0.3,3.0,40.6,$9200,4.41
Isaiah Thomas,PG,36.14,27.3,3.3,6.3,1.0,0.2,2.7,40.4,$9000,4.49
Kevin Love,PF,34.56,22.4,11.4,2.2,1.1,0.4,2.3,40.1,$7700,5.21
Damian Lillard,PG,36.23,25.6,4.5,6.3,0.8,0.2,2.7,39.8,$8300,4.79
Hassan Whiteside,C,35.44,17.3,14,0.8,0.7,2.2,2.2,38.9,$8600,4.52
Kemba Walker,PG,34.96,23.8,4.4,6.0,1.4,0.2,2.6,38.7,$8100,4.78
Andre Drummond,C,34.42,16.2,14.1,1.1,1.5,1.4,2.2,38.4,$7200,5.33
Marc Gasol,C,35.12,20.3,7.5,4.1,1.0,1.5,2.1,38.4,$8200,4.68
Kyrie Irving,PG,36.06,24.1,3.5,6.0,1.3,0.1,2.5,37.6,$8000,4.7
Al Horford,C,34.57,16.7,8.1,4.5,0.8,2.0,1.9,36.9,$7400,4.98
Paul Millsap,PF,34.56,18.2,8.4,3.6,1.6,1.0,2.2,36.7,$8100,4.53
Mike Conley,PG,34.68,19.6,3.8,6.6,1.4,0.3,2.2,35.3,$7900,4.46
C.J. McCollum,SG,35.45,23.8,3.8,3.8,1.1,0.6,2.3,35.2,$8600,4.09
Joel Embiid,C,28.50,20.0,8,2.0,0.8,2.2,3.6,35.0,$7800,4.49
Brook Lopez,C,31.49,20.6,6.2,2.7,0.6,1.8,2.5,34.4,$7000,4.91
Nikola Vucevic,C,30.67,15.0,10.7,2.7,0.8,1.2,1.8,34.1,$7000,4.87
Nicolas Batum,SG,35.48,16.1,7,6.1,1.1,0.4,2.6,34.1,$7500,4.54
Gordon Hayward,SF,35.24,21.6,5.6,3.5,0.9,0.3,2.2,33.8,$7400,4.56
Jabari Parker,PF,36.31,21.3,5.8,2.7,1.1,0.3,1.7,33.4,$7400,4.51
Rudy Gobert,C,35.10,12.3,12.7,0.9,0.7,2.5,1.9,33.4,$7500,4.45
Dwight Howard,C,30.06,13.5,12.8,1.2,0.9,1.4,2.1,33.2,$7600,4.36
Goran Dragic,PG,35.99,19.0,3.9,6.5,1.1,0.2,3.2,32.8,$6700,4.9
Greg Monroe,C,28.88,14.6,9.1,2.9,1.5,0.8,2.0,32.5,$6300,5.15
Rudy Gay,SF,34.38,18.5,6.1,3.0,1.5,0.7,2.5,32.2,$6900,4.67
Dennis Schroder,PG,32.31,18.5,3.4,6.6,1.0,0.2,3.2,31.7,$7000,4.53
Serge Ibaka,PF,33.60,16.4,8.1,1.2,0.6,1.7,1.3,31.2,$6700,4.66
Andrew Wiggins,SF,38.57,22.7,4.2,2.5,0.8,0.3,2.5,31.2,$6800,4.59
George Hill,PG,33.03,18.8,3.8,4.6,1.0,0.2,1.8,30.9,$6100,5.06
Reggie Jackson,PG,33.44,18.4,2.6,6.1,1.0,0.1,3.0,29.9,$6500,4.6
Zach LaVine,SG,38.38,20.8,3.5,3.3,0.8,0.2,2.2,29.8,$6200,4.8
Mason Plumlee,C,28.84,11.5,8,4.0,0.9,1.2,1.8,29.5,$6500,4.54
Steven Adams,C,33.31,13.4,8.8,1.2,1.2,1.3,2.0,28.8,$6000,4.79
Ricky Rubio,PG,33.99,8.8,4.5,8.2,2.0,0.1,2.4,28.3,$6200,4.56
Enes Kanter,PF,24.78,16.3,7.9,1.0,0.4,0.8,1.7,28.0,$5900,4.74
Zach Randolph,PF,25.47,14.7,8.4,1.8,0.6,0.2,1.5,27.6,$5900,4.67
Tobias Harris,PF,35.66,17.1,5.6,1.9,0.7,0.5,1.5,27.6,$5700,4.84
Evan Fournier,SG,34.11,17.7,3.4,3.7,1.0,0.1,2.2,27.3,$5500,4.97
Marcus Smart,PG,36.15,12.3,4.5,5.3,1.7,0.3,2.4,27.3,$5600,4.87
Ersan Ilyasova,PF,30.95,15.6,6.7,1.7,0.7,0.4,1.7,26.7,$5900,4.52
Robert Covington,SF,33.44,11.7,6.9,1.7,1.9,1.1,2.2,26.3,$5500,4.79
Derrick Favors,PF,30.42,12.4,7.5,1.2,1.0,1.4,1.7,26.3,$4700,5.6
James Johnson,PF,29.44,13.0,5.9,2.9,0.9,1.1,2.3,26.1,$5800,4.51
T.J. McConnell,PG,31.95,7.8,4.3,7.4,2.1,0.2,2.6,26.1,$5400,4.83
Tyler Johnson,PG,30.82,14.2,4.3,3.0,1.1,0.6,1.2,26.1,$6000,4.34
Eric Gordon,SG,31.24,17.5,3.2,2.8,0.6,0.5,1.7,26.0,$5900,4.41
Gorgui Dieng,PF,32.50,10.8,8.1,1.9,0.9,1.3,1.8,26.0,$5300,4.9
Trevor Ariza,SF,34.41,13.1,5.3,2.1,1.8,0.3,0.9,25.9,$5600,4.63
Cody Zeller,C,29.46,11.8,7.2,1.7,0.8,1.3,1.3,25.9,$4900,5.28
Jonas Valanciunas,C,27.26,11.8,9.9,0.6,0.4,0.9,1.4,25.8,$5500,4.69
Jae Crowder,SF,34.02,14.0,5.1,2.4,1.1,0.3,1.1,25.4,$5200,4.89
Victor Oladipo,SG,33.17,15.7,4.2,2.7,0.9,0.3,1.8,25.4,$5700,4.45
Montrezl Harrell,C,27.40,13.0,6.3,1.4,0.4,1.4,1.3,25.0,$5200,4.8
Dion Waiters,SG,33.01,14.1,3.5,3.9,1.1,0.4,2.2,25.0,$4900,5.09
Elfrid Payton,PG,27.68,11.5,3.4,5.5,1.1,0.5,2.1,24.9,$5600,4.45
Patrick Beverley,PG,32.03,9.5,5.9,4.2,1.4,0.4,1.6,24.9,$5200,4.78
Marcus Morris,SF,35.62,14.7,4.4,2.3,0.9,0.3,1.3,24.5,$4600,5.33
Rodney Hood,SG,32.66,15.8,4,2.3,0.7,0.2,1.4,24.5,$4200,5.82
Nerlens Noel,PF,22.87,11.2,6.5,0.4,1.5,1.1,0.4,24.4,$4700,5.19
Al-Farouq Aminu,PF,32.29,8.6,7.8,2.4,1.1,0.8,1.4,24.0,$5800,4.13
Ryan Anderson,PF,32.59,14.5,5.3,1.2,0.6,0.3,0.9,23.6,$5300,4.45
Trevor Booker,PF,24.94,9.0,7.9,2.1,1.3,0.5,1.7,23.5,$5400,4.36
DeMarre Carroll,SF,32.86,13.5,4.5,1.3,1.4,0.4,1.0,23.5,$3800,6.17
Tristan Thompson,C,28.92,7.8,10,0.8,0.5,1.2,1.0,23.4,$5000,4.68
JaMychal Green,PF,31.75,9.7,8.2,1.3,0.9,0.7,1.3,23.4,$4500,5.2
Aaron Gordon,SF,28.50,12.5,4.9,1.9,0.7,0.5,1.2,22.4,$4900,4.58
Evan Turner,SF,28.13,10.2,3.9,4.1,1.1,0.4,1.9,22.1,$4400,5.03
Maurice Harkless,SF,30.26,11.3,5.3,1.1,1.2,0.8,1.3,22.0,$4700,4.68
Malcolm Brogdon,PG,27.80,10.8,3.4,4.2,1.1,0.2,1.8,22.0,$5300,4.15
Darren Collison,PG,28.69,12.3,2.2,4.1,0.9,0.1,1.6,21.5,$4400,4.88
Stanley Johnson,SF,34.56,9.0,5.2,2.4,1.3,0.8,1.6,21.4,$3500,6.13
Thabo Sefolosha,SF,28.37,8.2,5.4,1.8,2.0,0.6,1.2,21.4,$4100,5.21
Amir Johnson,PF,25.32,8.2,6.1,2.0,0.8,1.0,1.1,21.0,$4000,5.26
Garrett Temple,SG,32.92,10.4,3.7,2.7,1.2,0.4,1.2,20.9,$4200,4.97
Bojan Bogdanovic,SF,28.21,14.1,3.3,1.8,0.5,0.1,1.4,20.6,$4400,4.67
Marvin Williams,PF,27.22,10.7,5.3,1.3,0.6,0.5,0.7,20.5,$4700,4.36
Sean Kilpatrick,SG,25.53,13.2,3.7,2.3,0.7,0.1,2.2,20.5,$4100,5
Frank Kaminsky,PF,25.43,10.7,4.5,2.1,0.6,0.4,1.1,20.2,$4000,5.04
Marco Belinelli,SG,29.04,12.3,3.2,2.1,0.8,0.1,1.0,20.1,$4100,4.9
Kelly Olynyk,C,23.60,9.6,4.8,2.2,0.9,0.4,1.5,19.8,$3700,5.34
Tim Hardaway Jr.,SG,26.79,13.4,2.6,1.9,0.4,0.2,1.2,19.4,$4500,4.3
Ty Lawson,PG,25.12,8.5,2.7,4.4,1.2,0.1,1.8,19.1,$4200,4.56
Dario Saric,PF,24.20,9.8,5.9,1.5,0.5,0.3,1.7,19.0,$3900,4.88
Kent Bazemore,SF,25.59,9.6,2.9,2.6,1.3,0.5,1.6,19.0,$4300,4.41
Anthony Tolliver,PF,32.14,10.7,5,1.0,0.4,0.3,0.7,18.9,$3900,4.85
Tony Allen,SG,24.87,8.7,4.7,1.1,1.6,0.4,1.3,18.7,$4500,4.15
Cory Joseph,PG,24.37,9.9,2.8,3.1,0.8,0.1,1.1,18.6,$3700,5.03
D.J. Augustin,PG,24.46,10.5,1.7,3.9,0.7,0.0,1.4,18.4,$3600,5.11
Terrence Ross,SF,23.82,11.5,2.8,0.7,1.1,0.3,0.5,18.2,$3700,4.92
Andre Roberson,SF,31.66,7.2,4.9,1.2,1.1,0.9,0.8,18.1,$3800,4.76
Michael Kidd-Gilchrist,SF,23.55,7.7,5.7,1.0,0.6,0.7,0.7,17.9,$4700,3.82
Vince Carter,SF,25.06,8.4,3.5,1.8,0.9,0.6,0.8,17.5,$3600,4.86
Allen Crabbe,SG,28.73,11.0,3.1,1.3,0.6,0.2,0.9,17.4,$4300,4.04
Bismack Biyombo,C,21.77,5.7,6.7,0.9,0.4,1.3,1.2,17.3,$4000,4.32
Michael Beasley,SF,17.81,9.7,3.8,1.1,0.6,0.6,1.3,17.0,$4400,3.87
Rodney McGruder,SF,31.10,7.6,4.5,1.8,0.8,0.2,0.9,16.8,$3500,4.8
Mike Muscala,PF,20.95,7.9,4.2,1.5,0.5,0.8,1.0,16.8,$3700,4.54
Ramon Sessions,PG,20.88,8.3,1.7,3.9,0.8,0.1,1.3,16.7,$3500,4.77
Lucas Nogueira,C,19.72,5.1,5.3,0.8,0.8,1.6,0.8,16.7,$3600,4.63
Rondae Hollis-Jefferson,SF,20.49,7.1,4.2,1.8,0.9,0.5,1.3,16.3,$3900,4.19
Spencer Dinwiddie,PG,23.73,7.5,2.9,3.2,0.9,0.3,1.9,16.3,$4000,4.07
Shabazz Muhammad,SF,23.64,10.7,3.6,0.8,0.3,0.1,1.1,15.9,$3900,4.08
James Ennis,SF,24.54,7.8,4.1,1.2,0.9,0.2,0.8,15.9,$3700,4.3
Isaiah Whitehead,PG,24.48,7.8,2.9,3.0,0.7,0.5,2.3,15.9,$3500,4.54
John Henson,C,18.46,6.2,5,0.9,0.4,1.2,0.9,15.9,$3500,4.53
Kyle Korver,SG,25.71,8.6,2.8,2.0,0.6,0.3,1.0,15.8,$3700,4.26
Patrick Patterson,PF,24.62,6.8,4.5,1.4,0.7,0.3,0.6,15.7,$3800,4.13
Caris LeVert,SF,23.23,7.7,3.2,1.9,1.0,0.1,1.0,15.6,$3600,4.33
Channing Frye,PF,18.41,9.1,3.4,0.8,0.4,0.5,0.7,15.5,$3600,4.3
Jodie Meeks,SG,20.40,8.9,2.3,1.4,1.1,0.1,0.7,15.5,$3900,3.96
Nik Stauskas,SG,25.86,9.1,2.6,2.0,0.5,0.4,1.6,15.4,$3600,4.28
Tony Snell,SF,28.59,8.1,3.6,1.4,0.5,0.3,0.7,15.4,$3500,4.41
Jeff Green,SF,23.76,9.6,3,1.3,0.4,0.3,1.2,15.4,$3500,4.39
Iman Shumpert,SG,25.66,7.5,3,2.0,0.9,0.3,1.2,15.3,$3500,4.37
Boban Marjanovic,C,10.65,7.6,5.6,0.2,0.1,0.3,0.2,15.2,$3800,4.01
Matthew Dellavedova,PG,22.64,5.8,2,4.6,0.7,0.0,1.4,15.1,$3800,3.97
Gerald Henderson,SG,22.47,8.6,2.7,1.4,0.7,0.2,0.8,14.9,$3600,4.15
Nene Hilario,C,16.65,7.6,3.8,1.0,0.7,0.5,1.3,14.8,$3600,4.1
