Name,Position,Min,Pts,Reb,Ast,Stl,Blk,TO,FP,Cost,Value
Anthony Davis,PF,37.07,27.7,11.9,2.2,1.1,2.3,2.6,49.5,$10900,4.54
Giannis Antetokounmpo,SG,36.53,23.1,9.1,5.5,1.6,2.0,3.0,46.5,$10000,4.65
DeMarcus Cousins,C,36.09,23.9,11.1,4.5,1.5,1.4,3.8,46.0,$8800,5.22
Karl-Anthony Towns,C,38.06,24.6,12.1,2.7,0.6,1.2,2.6,44.2,$10400,4.25
Kawhi Leonard,SF,34.50,26.1,6.4,3.7,1.8,0.8,2.0,42.5,$9400,4.52
Stephen Curry,PG,34.54,25.6,4.6,6.7,1.9,0.2,3.2,42.2,$9900,4.26
Jimmy Butler,SF,38.44,23.8,6.2,5.7,1.9,0.4,2.4,42.0,$8900,4.72
Blake Griffin,PF,35.55,22.7,8.5,5.1,1.1,0.5,2.5,41.3,$9300,4.44
Chris Paul,PG,32.27,18.2,4.9,9.7,2.1,0.1,2.6,40.4,$9000,4.49
Damian Lillard,PG,36.04,26.0,4.5,5.9,0.7,0.3,2.7,39.6,$9000,4.39
Marc Gasol,C,36.35,21.2,7.2,4.6,0.8,1.6,2.4,39.1,$7900,4.95
DeMar DeRozan,SG,35.46,25.9,5.1,3.9,1.1,0.2,2.3,38.2,$8600,4.44
Mike Conley,PG,36.32,21.9,4,6.9,1.5,0.3,2.6,38.1,$8200,4.64
Hassan Whiteside,C,33.27,16.4,13.5,0.7,0.7,2.2,2.0,37.5,$8700,4.3
Draymond Green,PF,34.85,11.6,8.7,7.3,2.0,1.5,2.6,37.4,$8100,4.62
Andre Drummond,C,30.46,15.1,13.6,1.1,1.6,1.2,2.0,36.7,$7800,4.7
DeAndre Jordan,C,34.73,13.4,14.8,1.3,0.7,1.8,1.7,36.4,$7900,4.61
Goran Dragic,PG,35.29,20.9,4.2,6.5,1.2,0.2,3.1,35.4,$8200,4.32
C.J. McCollum,SG,37.12,24.2,4,3.6,0.9,0.5,2.4,34.8,$7100,4.9
D'Angelo Russell,PG,34.13,19.3,4.6,5.9,1.5,0.3,3.4,33.9,$6400,5.29
Brook Lopez,C,30.26,20.6,6,2.2,0.6,1.7,2.5,33.2,$7100,4.68
LaMarcus Aldridge,PF,33.18,18.2,8,2.0,0.5,1.2,1.5,32.7,$7000,4.67
Julius Randle,PF,33.38,14.6,9.6,3.9,0.8,0.6,2.6,32.2,$6600,4.87
Jusuf Nurkic,C,32.61,14.4,9.6,2.5,1.2,1.4,3.1,31.8,$6700,4.74
Andrew Wiggins,SF,37.25,22.2,4,2.5,1.0,0.3,2.3,31.1,$7000,4.44
