Name,Position,Min,Pts,Reb,Ast,Stl,Blk,TO,FP,Cost,Value
Russell Westbrook,PG,36.76,30.2,10.1,10.9,1.6,0.3,5.3,57.2,$11800,4.84
James Harden,SG,37.33,28.8,7.2,10.1,1.5,0.4,5.0,51.4,$11300,4.55
LeBron James,SF,37.11,26.5,8.1,8.0,1.5,0.6,3.6,48.8,$9900,4.93
Anthony Davis,PF,37.69,27.0,11.1,2.2,1.3,2.4,2.6,48.4,$10800,4.48
Giannis Antetokounmpo,SG,36.69,23.1,9.8,5.5,1.8,2.0,3.1,47.6,$10200,4.67
Kevin Durant,SF,33.71,26.2,8.1,4.4,1.0,1.3,2.4,44.7,$10100,4.43
John Wall,PG,37.39,23.0,4.9,9.6,2.2,0.6,4.2,44.7,$9700,4.61
Stephen Curry,PG,32.64,25.3,4.4,6.5,1.9,0.2,2.9,41.6,$8200,5.08
Jimmy Butler,SF,37.61,24.3,6.4,4.7,1.7,0.3,2.2,40.8,$8300,4.92
Kevin Love,PF,33.41,22.0,10.9,2.3,1.1,0.5,2.2,39.5,$8400,4.71
Draymond Green,PF,32.70,12.4,8.9,7.2,1.9,1.3,2.5,37.8,$7700,4.91
Kemba Walker,PG,35.12,22.9,4.3,5.6,1.3,0.3,2.2,37.5,$7400,5.06
Rudy Gobert,C,35.73,13.6,12.8,1.1,0.7,3.0,1.9,36.1,$7700,4.69
Carmelo Anthony,SF,35.52,23.1,6,3.2,1.0,0.3,2.3,35.4,$7700,4.6
Gordon Hayward,SF,35.09,21.8,5.4,3.9,1.1,0.4,2.1,35.0,$7700,4.55
Brook Lopez,C,31.31,20.7,6.5,2.5,0.6,1.8,2.5,34.6,$7000,4.94
DeAndre Jordan,C,33.50,12.9,14.1,1.0,0.6,1.8,1.7,34.4,$7300,4.72
Nicolas Batum,SG,35.57,16.2,7.2,5.9,1.1,0.5,2.5,34.4,$8000,4.3
Marcin Gortat,C,38.42,13.5,12.9,1.5,0.6,1.4,1.8,33.4,$6600,5.07
Eric Bledsoe,PG,32.26,18.8,5,5.4,1.3,0.4,3.0,33.3,$7600,4.38
Bradley Beal,SG,37.11,23.7,2.8,3.8,1.0,0.2,2.0,33.2,$6800,4.88
Nikola Jokic,PF,30.37,14.2,9.8,3.9,0.8,0.9,2.1,33.1,$7200,4.6
Jabari Parker,PF,36.64,20.7,6,2.4,1.3,0.3,1.7,33.0,$7100,4.65
Jrue Holiday,PG,34.15,15.8,3.8,7.0,1.4,0.3,2.5,31.8,$7100,4.47
Nikola Vucevic,C,28.33,14.2,9.6,2.4,0.8,1.1,1.5,31.6,$6700,4.72
Serge Ibaka,PF,32.66,16.1,7.8,1.3,0.6,2.0,1.4,31.2,$6800,4.59
Dwyane Wade,SG,30.42,18.9,3.9,4.0,1.3,0.6,2.3,31.1,$6800,4.57
Montrezl Harrell,C,30.60,15.7,7.4,1.7,0.6,1.5,1.5,29.8,$4600,6.48
Klay Thompson,SG,32.67,21.7,3.4,2.1,0.8,0.5,1.8,29.7,$6500,4.57
Derrick Rose,PG,34.37,18.4,4,4.6,0.7,0.3,2.6,29.5,$6500,4.54
Otto Porter,SF,36.05,15.0,7.1,1.5,1.5,0.6,1.0,29.0,$5800,4.99
Victor Oladipo,SG,36.25,17.2,4.6,2.8,1.1,0.3,1.9,27.8,$6000,4.64
Malcolm Brogdon,PG,36.31,13.4,4.2,5.4,1.5,0.2,2.5,27.4,$4300,6.38
Greg Monroe,C,24.84,12.7,7.5,2.5,1.2,0.6,1.8,27.3,$4800,5.68
Patrick Beverley,PG,33.63,10.8,5.8,4.6,1.5,0.4,1.5,27.0,$5900,4.57
Devin Booker,SG,34.00,18.2,3.2,3.4,0.9,0.3,2.6,26.9,$5900,4.57
Markieff Morris,PF,33.51,13.9,6.5,2.0,1.3,0.6,2.1,26.4,$5200,5.08
Danilo Gallinari,SF,34.14,17.1,4.8,2.1,0.7,0.2,1.6,26.2,$6000,4.37
Sean Kilpatrick,SG,31.97,16.8,4.2,3.1,1.0,0.1,2.6,26.1,$4600,5.67
Elfrid Payton,PG,29.43,11.7,3.4,5.9,1.2,0.5,2.0,26.0,$5900,4.41
Wilson Chandler,SF,29.21,14.9,6.4,1.9,0.8,0.3,1.6,26.0,$5600,4.65
Evan Fournier,SG,33.13,17.2,2.8,3.2,1.0,0.1,2.0,25.6,$5900,4.33
Ryan Anderson,PF,33.22,16.3,5.7,1.3,0.4,0.3,1.2,25.3,$5400,4.68
Eric Gordon,SG,30.36,17.2,3,2.6,0.7,0.4,1.9,25.0,$5600,4.46
Trevor Ariza,SF,33.72,12.1,4.8,2.2,2.1,0.3,1.1,24.9,$5600,4.44
Steven Adams,C,28.73,11.4,7.5,1.0,1.1,1.1,1.7,24.6,$5400,4.56
Taj Gibson,PF,27.43,11.3,7.4,1.2,0.6,1.1,1.4,24.0,$4600,5.21
Gary Harris,SG,31.75,14.5,3.4,2.8,1.0,0.2,1.4,23.8,$4700,5.06
Tristan Thompson,C,28.86,8.2,9.7,0.8,0.6,1.1,0.8,23.6,$4700,5.03
