Name,Position,Min,Pts,Reb,Ast,Stl,Blk,TO,FP,Cost,Value
Anthony Davis,PF,38.67,26.4,10.9,2.6,1.3,2.4,2.5,48.3,$12300,3.93
DeMarcus Cousins,C,35.44,27.2,11.7,3.2,1.5,1.3,3.5,48.1,$10900,4.42
James Harden,SG,37.46,27.9,6.5,8.8,1.5,0.5,4.9,48.0,$11500,4.17
Karl-Anthony Towns,C,37.25,22.1,11.3,2.4,0.9,2.1,2.5,42.8,$9400,4.55
LeBron James,SF,36.73,22.3,7.7,7.3,1.3,0.4,3.3,42.6,$9700,4.39
Blake Griffin,PF,34.53,22.6,8.9,4.5,1.1,1.0,2.2,42.0,$9000,4.67
Kawhi Leonard,SF,34.41,25.3,6.4,3.5,2.0,0.8,2.1,41.7,$8100,5.15
Kyle Lowry,PG,37.43,21.8,4.8,7.7,1.9,0.3,2.9,40.6,$8700,4.67
Chris Paul,PG,32.95,18.6,4.8,8.8,2.3,0.2,2.4,40.2,$9400,4.27
Jimmy Butler,SF,38.10,25.5,5.2,4.3,1.5,0.5,2.2,40.0,$8800,4.54
DeMar DeRozan,SG,37.68,26.1,4.7,4.9,1.1,0.1,2.4,39.1,$8900,4.39
John Wall,PG,36.33,19.9,4,9.1,1.7,0.4,4.0,38.6,$8900,4.33
Isaiah Thomas,PG,34.60,23.9,2.9,7.0,1.2,0.1,2.6,37.9,$8100,4.68
Kristaps Porzingis,PF,35.01,21.0,8.6,1.5,0.7,2.0,1.6,37.4,$7900,4.73
Andre Drummond,C,32.00,15.0,13.5,1.2,1.5,1.4,2.1,36.7,$7900,4.65
Carmelo Anthony,SF,35.22,23.0,6.6,3.4,0.9,0.4,2.6,36.0,$7600,4.74
Al Horford,C,32.77,17.2,7.3,3.7,0.6,2.1,1.6,35.3,$7300,4.84
LaMarcus Aldridge,PF,32.89,19.6,8.6,1.8,0.7,1.3,1.6,35.0,$6600,5.31
Kevin Love,PF,32.89,18.5,10.1,2.1,0.8,0.5,1.8,34.6,$8300,4.17
DeAndre Jordan,C,32.87,12.2,13.5,1.1,0.6,2.2,1.5,34.2,$7200,4.74
Pau Gasol,C,28.55,15.8,9.1,2.8,0.5,1.5,1.8,33.1,$5900,5.61
Jrue Holiday,PG,32.22,19.3,3.9,6.0,1.2,0.3,3.0,33.0,$7300,4.52
