Name,Position,Min,Pts,Reb,Ast,Stl,Blk,TO,FP,Cost,Value
Russell Westbrook,PG,36.50,30.9,10.4,10.7,1.7,0.3,5.5,57.9,$12800,4.53
Jimmy Butler,SF,38.45,25.3,6.4,5.3,1.9,0.3,2.2,43.1,$9000,4.79
Stephen Curry,PG,34.48,26.1,4.7,6.7,1.9,0.2,3.1,42.9,$10600,4.05
Damian Lillard,PG,36.08,25.2,4.6,5.9,0.8,0.3,2.7,39.1,$9100,4.29
Kemba Walker,PG,36.42,23.8,4.4,6.1,1.2,0.3,2.6,38.6,$8300,4.65
Eric Bledsoe,PG,35.02,21.5,5,6.7,1.5,0.4,3.6,37.8,$8900,4.24
Draymond Green,PF,34.58,11.7,8.5,7.5,2.0,1.4,2.7,37.3,$8300,4.49
C.J. McCollum,SG,34.95,23.4,3.8,3.7,1.0,0.5,2.4,34.1,$7500,4.55
Nicolas Batum,SG,34.96,15.5,6.8,6.1,1.1,0.4,2.7,33.1,$7300,4.54
Dwyane Wade,SG,30.77,19.1,4.5,4.2,1.5,0.7,2.4,32.8,$7900,4.15
Jusuf Nurkic,C,31.07,14.6,9.9,2.4,1.1,1.4,3.0,32.1,$5400,5.94
Devin Booker,SG,36.00,21.9,3.3,3.6,0.9,0.3,3.1,30.6,$6200,4.93
Klay Thompson,SG,34.17,21.8,3.8,2.1,0.8,0.5,1.8,30.3,$7000,4.33
Frank Kaminsky,C,33.37,15.0,6.2,2.7,1.1,0.5,1.4,28.3,$6200,4.56
Enes Kanter,PF,24.38,16.2,7.7,1.1,0.4,0.9,2.0,27.7,$5900,4.69
Alan Williams,C,24.78,11.4,8.4,0.8,1.0,1.8,1.8,26.5,$4900,5.4
Steven Adams,C,30.60,11.9,8.1,1.1,1.0,1.3,1.9,26.0,$6000,4.33
Marvin Williams,PF,33.46,12.9,6.6,1.4,0.9,0.7,0.9,25.2,$5200,4.85
Maurice Harkless,SF,34.51,12.3,5.8,1.4,1.4,1.2,1.5,25.1,$4800,5.22
T.J. Warren,SF,34.19,14.8,4.7,1.2,1.3,0.5,1.0,24.8,$5800,4.28
Alex Len,C,25.91,10.5,8.8,0.8,0.5,1.7,2.1,24.6,$5000,4.91
Al-Farouq Aminu,PF,30.41,9.1,7.7,2.1,1.0,0.9,1.7,23.6,$5300,4.45
Taj Gibson,PF,26.61,11.8,6.8,1.0,0.5,1.0,1.4,23.1,$4400,5.24
Michael Kidd-Gilchrist,SF,27.13,8.8,7,1.2,0.8,0.9,0.7,21.7,$5600,3.88
Nikola Mirotic,PF,26.15,10.6,6,1.1,0.9,0.7,1.3,21.4,$4200,5.08
Marquese Chriss,PF,26.31,11.3,4.9,1.1,1.1,0.9,1.5,21.3,$4500,4.74
Robin Lopez,C,26.75,9.7,6.6,1.0,0.2,1.5,1.2,21.3,$4800,4.44
Cody Zeller,C,24.01,9.8,5.9,1.4,0.7,1.0,1.2,21.2,$5000,4.24
Andre Iguodala,SF,28.23,7.2,4.3,3.6,1.1,0.4,0.9,19.9,$4800,4.14
Zaza Pachulia,C,19.04,6.2,6.4,2.0,0.8,0.8,1.2,18.9,$4600,4.1
