Name,Position,Min,Pts,Reb,Ast,Stl,Blk,TO,FP,Cost,Value
Timofey Mozgov,C,20.09,7.4,5.8,0.8,0.2,1.0,1.1,16.9,$3800,4.44
Mike Muscala,PF,20.79,8.1,4.5,1.2,0.4,0.9,1.1,16.8,$4300,3.91
Jusuf Nurkic,C,17.03,8.2,4.7,1.3,0.6,0.6,1.4,16.8,$4800,3.5
Nick Young,SG,25.58,11.3,2.5,1.0,0.6,0.3,0.9,16.7,$3900,4.28
Tim Hardaway Jr.,SG,23.74,10.3,2.6,1.8,0.4,0.1,0.9,16.2,$3700,4.38
Iman Shumpert,SG,26.19,6.7,3.1,2.4,1.5,0.3,1.4,16.2,$3600,4.51
Kyle Korver,SG,28.64,8.8,3.3,1.7,0.7,0.4,1.4,16.1,$3800,4.24
Dorian Finney-Smith,SF,23.57,8.5,3.6,1.3,0.8,0.5,1.3,16.1,$3500,4.59
Thabo Sefolosha,SF,22.20,6.1,4.3,1.5,1.4,0.4,1.1,16.0,$4400,3.64
Arron Afflalo,SG,27.54,10.2,2.7,1.4,0.4,0.2,1.1,15.6,$3600,4.34
Taurean Prince,SF,16.36,6.8,4.7,1.0,1.0,0.4,1.2,15.5,$3600,4.32
Luol Deng,SF,21.40,8.1,4.1,1.2,0.5,0.1,0.7,15.3,$3900,3.93
Semaj Christon,PG,18.31,7.4,3,2.0,0.8,0.3,0.9,15.3,$3500,4.37
Larry Nance Jr.,PF,21.26,6.3,4.8,0.9,1.0,0.3,0.8,15.2,$3700,4.11
Patrick McCaw,SG,16.45,6.9,3.2,2.0,0.9,0.3,1.0,15.1,$3500,4.33
Lucas Nogueira,C,17.15,5.4,5.2,0.6,0.6,1.1,0.8,15.1,$4100,3.69
Justin Hamilton,C,20.43,7.1,3.8,1.4,0.6,0.5,1.0,15.0,$4300,3.48
Aaron Brooks,PG,15.94,7.8,1.6,3.0,0.7,0.2,1.2,14.8,$3500,4.23
Aron Baynes,C,16.90,7.0,5.2,0.5,0.3,0.5,0.8,14.8,$3500,4.23
Jerami Grant,SF,16.82,7.0,4,0.6,0.4,1.0,0.8,14.7,$3700,3.97
P.J. Tucker,SF,21.46,6.4,3.6,1.5,1.0,0.3,0.9,14.7,$3900,3.76
Beno Udrih,PG,18.01,7.6,2,3.3,0.3,0.1,1.2,14.6,$3500,4.16
Rodney Stuckey,SG,18.88,7.3,2.7,2.1,0.7,0.2,1.1,14.4,$3500,4.11
Cory Joseph,PG,21.42,7.5,2.2,2.6,0.7,0.1,1.3,14.3,$3600,3.98
Pascal Siakam,PF,17.59,6.9,3.6,1.0,0.6,0.5,0.6,14.3,$3700,3.87
Ed Davis,PF,15.85,5.0,5,0.6,0.6,1.0,0.8,14.3,$3500,4.09
Malcolm Delaney,PG,17.22,7.5,3.1,1.8,0.5,0.3,1.3,14.2,$3500,4.06
Zaza Pachulia,C,16.14,4.6,5.2,1.3,0.4,0.8,1.1,14.1,$3500,4.03
Channing Frye,PF,18.72,7.8,3.3,0.9,0.3,0.5,0.7,14.0,$4100,3.42
DeMarre Carroll,SF,21.50,7.2,2.6,1.4,0.8,0.3,0.7,13.9,$3700,3.76
Jamal Murray,PG,20.78,8.1,2.6,1.4,0.5,0.4,1.2,13.9,$3600,3.87
Jonathon Simmons,SF,18.67,7.5,1.8,2.2,0.6,0.2,0.8,13.8,$3500,3.93
Shaun Livingston,PG,18.00,6.2,2.5,2.5,0.7,0.2,1.0,13.8,$3500,3.93
Terrence Ross,SF,20.68,8.4,2.4,0.7,0.7,0.3,0.6,13.7,$3700,3.71
Alex Abrines,SG,16.32,6.7,3.1,1.5,0.8,0.2,1.0,13.7,$3500,3.91
Raymond Felton,PG,18.95,6.5,2,2.5,0.8,0.2,1.0,13.7,$3500,3.9
Luc Mbah a Moute,SF,23.32,6.3,3,1.2,1.0,0.4,0.9,13.6,$3600,3.78
Ben McLemore,SG,20.72,8.4,2,1.3,0.5,0.2,1.0,13.2,$3500,3.76
Joffrey Lauvergne,C,14.28,6.7,3.6,0.9,0.3,0.4,0.8,13.0,$3500,3.71
Tarik Black,C,14.70,4.6,4.9,0.6,0.6,0.5,0.7,12.9,$3600,3.58
Jonas Jerebko,PF,17.50,5.6,3.9,1.0,0.4,0.5,0.7,12.9,$3500,3.68
Langston Galloway,PG,18.22,6.8,2.2,1.4,0.8,0.1,0.6,12.7,$4000,3.19
Jaylen Brown,SF,15.37,6.6,3,1.1,0.7,0.2,1.0,12.7,$3500,3.61
Tyler Zeller,C,13.80,6.5,3.5,0.9,0.2,0.5,0.9,12.6,$3600,3.49
Ty Lawson,PG,18.12,5.0,1.9,3.3,0.7,0.0,1.1,12.5,$3600,3.48
Leandro Barbosa,SG,14.16,7.4,1.9,1.4,0.5,0.2,0.7,12.5,$3500,3.57
Al Jefferson,C,10.93,6.1,3.1,0.8,0.4,0.5,0.5,12.3,$3500,3.52
Austin Rivers,PG,19.73,7.3,1.7,1.7,0.6,0.1,1.0,12.3,$3500,3.51
Luis Scola,PF,13.71,6.1,3.7,0.8,0.4,0.2,0.9,12.0,$3500,3.44
Roy Hibbert,C,13.28,4.5,3.7,0.5,0.2,1.1,0.6,11.7,$3500,3.34
Anderson Varejao,C,10.79,3.6,4.2,0.9,0.3,0.9,0.7,11.7,$3500,3.34
Norman Powell,SG,15.01,5.5,2.4,1.2,0.7,0.2,0.5,11.5,$3700,3.1
Willie Cauley-Stein,PF,14.36,4.9,3.8,0.4,0.4,0.6,0.6,11.5,$3500,3.27
Ramon Sessions,PG,15.29,5.7,1.6,2.6,0.5,0.0,1.1,11.4,$3500,3.26
Juan Hernangomez,PF,14.35,6.1,3,0.8,0.4,0.3,0.9,11.4,$3500,3.26
Garrett Temple,PG,18.18,6.4,1.9,1.3,0.6,0.2,0.9,11.3,$3500,3.24
Terry Rozier,PG,18.38,5.3,2.3,1.8,0.5,0.1,0.7,11.3,$3500,3.22
Brandon Bass,PF,11.04,5.2,3.1,0.6,0.4,0.5,0.4,11.2,$3500,3.21
Salah Mejri,C,10.50,4.2,3.6,0.4,0.3,1.0,0.5,11.2,$3500,3.21
Dante Cunningham,SF,18.72,5.3,2.7,0.7,0.6,0.4,0.5,11.1,$3600,3.08
Kevon Looney,PF,9.01,5.2,3.6,0.5,0.2,0.6,0.8,11.1,$3500,3.16
David West,PF,9.70,4.8,3.1,1.0,0.4,0.4,0.7,10.9,$3500,3.12
Omer Asik,C,14.52,4.0,4.9,0.4,0.2,0.3,0.6,10.9,$3500,3.11
Stanley Johnson,SF,17.93,5.6,2.1,1.2,0.6,0.3,1.0,10.7,$3500,3.06
Gerald Green,SG,12.66,5.9,2.2,1.0,0.4,0.2,0.6,10.6,$3500,3.04
Alexis Ajinca,C,10.29,4.3,3.6,0.3,0.2,0.8,0.7,10.4,$3500,2.96
Randy Foye,SG,15.18,5.4,1.7,1.7,0.4,0.1,0.7,10.3,$4000,2.57
Meyers Leonard,PF,13.71,5.1,3.3,0.9,0.1,0.2,0.8,10.2,$3500,2.92
Nicolas Brussino,SG,13.73,5.0,2.7,1.1,0.3,0.3,1.0,10.1,$3500,2.88
Noah Vonleh,PF,12.77,3.6,4.1,0.4,0.3,0.5,0.8,9.9,$3500,2.83
Anthony Tolliver,PF,15.31,5.4,2.8,0.5,0.3,0.2,0.6,9.9,$3500,2.83
Jake Layman,PF,10.10,5.4,2.4,0.8,0.4,0.2,0.8,9.9,$3500,2.82
Jordan McRae,SG,0.15,5.9,1.3,1.6,0.3,0.1,0.9,9.8,$3500,2.79
Chris Andersen,C,2.91,4.6,2.9,0.3,0.3,0.6,0.6,9.7,$3500,2.78
Kris Humphries,PF,8.44,5.0,3.1,0.4,0.2,0.3,0.6,9.7,$3500,2.78
Dragan Bender,PF,9.02,5.4,2,0.6,0.4,0.4,0.7,9.6,$3500,2.74
Isaiah Whitehead,PG,12.40,4.9,1.8,1.4,0.4,0.2,1.0,9.4,$4200,2.23
Thomas Robinson,PF,7.93,3.6,3,0.4,0.3,0.6,0.5,9.1,$3500,2.6
Mike Dunleavy,SF,16.88,5.4,1.7,0.8,0.4,0.1,0.6,9.0,$3500,2.58
Glenn Robinson III,SF,9.63,4.3,2.2,0.9,0.4,0.2,0.5,9.0,$3500,2.57
Tyler Ulis,PG,10.49,4.1,2.1,1.3,0.4,0.1,0.6,9.0,$3500,2.56
Anthony Bennett,PF,0.15,4.7,2.3,0.6,0.5,0.1,0.6,9.0,$3500,2.56
Andrew Harrison,PG,15.60,5.1,1.5,0.9,0.6,0.1,0.7,9.0,$3500,2.56
JaVale McGee,C,0.10,4.1,2.8,0.2,0.2,0.6,0.5,8.9,$3500,2.53
Lavoy Allen,PF,10.52,3.4,3.1,0.6,0.3,0.4,0.6,8.8,$3500,2.52
Davis Bertans,SF,10.70,4.7,2.2,0.6,0.2,0.2,0.6,8.4,$3500,2.41
Ian Clark,SG,10.17,3.9,1.7,1.4,0.5,0.1,0.8,8.4,$3500,2.41
Tim Quarterman,PG,1.75,4.4,1.9,0.7,0.4,0.2,0.5,8.4,$3500,2.41
Deyonta Davis,PF,8.08,3.8,2.5,0.4,0.4,0.3,0.5,8.3,$3500,2.37
Alan Williams,C,1.69,3.9,2.8,0.4,0.3,0.4,1.0,8.3,$3500,2.36
Kevin Seraphin,PF,8.64,4.0,2.5,0.4,0.3,0.5,1.0,8.2,$3500,2.34
Yogi Ferrell,PG,11.52,4.7,1.5,1.0,0.4,0.0,0.7,8.1,$3700,2.19
Richard Jefferson,SF,14.04,4.6,1.8,0.6,0.3,0.0,0.4,7.9,$3500,2.25
Troy Williams,SF,3.66,4.4,1.5,0.7,0.5,0.1,0.7,7.8,$3500,2.21
Kay Felder,PG,5.62,4.1,1.7,0.8,0.3,0.1,0.4,7.7,$3500,2.21
Paul Pierce,SF,9.33,4.1,1.8,0.7,0.3,0.2,0.6,7.7,$3500,2.2
Georges Niang,SF,1.70,3.8,1.9,0.8,0.3,0.2,0.6,7.7,$3500,2.19
Christian Wood,PF,0.10,3.9,2.3,0.2,0.3,0.2,0.4,7.6,$3500,2.16
Troy Daniels,SG,10.36,4.9,1.3,0.6,0.2,0.1,0.6,7.4,$3500,2.1
Omri Casspi,PF,2.54,3.7,2.3,0.4,0.3,0.1,0.6,7.3,$3500,2.07
Jose Calderon,PG,2.54,3.4,1.3,1.2,0.4,0.1,0.8,7.0,$3500,1.99
Boban Marjanovic,C,1.19,3.3,2,0.3,0.2,0.4,0.5,6.9,$3500,1.96
Malik Beasley,SG,1.82,3.6,1.5,0.7,0.3,0.1,0.5,6.8,$3500,1.93
Diamond Stone,C,1.13,3.6,1.7,0.4,0.2,0.2,0.3,6.7,$3500,1.93
Shabazz Napier,PG,1.59,3.2,0.9,1.5,0.4,0.0,0.6,6.7,$3500,1.92
Alan Anderson,SG,2.08,3.5,1.2,0.7,0.3,0.1,0.4,6.4,$3500,1.83
Reggie Bullock,SG,1.50,3.1,1.2,0.5,0.4,0.1,0.1,6.2,$3500,1.77
Darrun Hilliard,SG,1.79,3.5,1,1.1,0.1,0.0,0.4,6.2,$3500,1.76
Henry Ellenson,PF,1.09,3.2,1.5,0.5,0.3,0.1,0.6,6.0,$3500,1.7
James Young,SF,2.11,3.2,1.2,0.7,0.2,0.1,0.4,5.9,$3600,1.64
Ryan Kelly,F,0.10,2.9,1.6,0.2,0.3,0.1,0.3,5.6,N/A,N/A
Spencer Hawes,C,6.18,2.5,1.6,0.6,0.1,0.2,0.4,5.5,$3600,1.53
Joseph Young,SG,4.07,3.0,0.7,1.2,0.2,0.0,0.6,5.4,$3500,1.55
Brian Roberts,PG,0.78,3.1,0.8,0.7,0.3,0.0,0.4,5.3,$3500,1.52
Bryn Forbes,SG,0.09,2.8,1.2,0.4,0.2,0.2,0.4,5.2,$3500,1.5
Kyle Anderson,SF,6.76,1.7,1.3,0.7,0.4,0.2,0.3,5.2,$3500,1.49
DeAndre Bembry,SF,0.08,2.4,1.7,0.3,0.1,0.2,0.5,5.0,$3500,1.43
Jarell Martin,PF,6.17,2.5,1.6,0.2,0.2,0.1,0.4,4.9,$3500,1.41
Pat Connaughton,SG,0.82,1.6,1.7,0.4,0.1,0.3,0.5,4.5,$3500,1.3
Nick Collison,PF,0.77,1.3,1.9,0.3,0.1,0.3,0.4,4.4,$3500,1.27
Fred VanVleet,PG,0.06,2.0,0.8,0.3,0.1,0.1,0.4,3.4,$3500,0.97
Darrell Arthur,PF,3.71,1.4,0.8,0.2,0.1,0.1,0.2,2.9,$3500,0.82
Anthony Morrow,SG,2.17,1.2,0.4,0.2,0.1,0.1,0.1,2.3,$3500,0.65
Kyle Singler,SF,2.49,0.7,0.4,0.1,0.1,0.1,0.1,1.6,$3500,0.47
Wade Baldwin IV,PG,1.95,0.7,0.3,0.2,0.1,0.0,0.1,1.5,$3500,0.42
Jakob Poeltl,C,1.76,0.6,0.4,0.1,0.1,0.0,0.1,1.3,$3500,0.38
Jordan Mickey,PF,1.20,0.6,0.5,0.1,0.0,0.0,0.1,1.3,$3500,0.36
Treveon Graham,SF,1.57,0.6,0.4,0.1,0.0,0.0,0.1,1.1,$3500,0.32
Archie Goodwin,PG,1.41,0.8,0.1,0.1,0.0,0.0,0.1,1.0,$3500,0.28
Jeremy Lin,PG,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0,$6300,0
Cheick Diallo,PF,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0,$3500,0
Caris LeVert,SF,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0,$3500,0
Damian Jones,C,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0,$3500,0
Festus Ezeli,C,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0,$3500,0
