Name,Position,Min,Pts,Reb,Ast,Stl,Blk,TO,FP,Cost,Value
Russell Westbrook,PG,36.74,26.0,8.3,11.0,2.0,0.3,4.6,52.5,$12200,4.3
DeMarcus Cousins,C,35.26,25.9,11.4,3.2,1.5,1.6,3.5,47.1,$10000,4.71
Stephen Curry,PG,33.96,26.9,4.7,7.2,2.0,0.2,3.4,44.3,$9400,4.72
Kevin Durant,SF,34.16,25.9,7.5,4.6,1.2,1.2,2.9,43.7,$10000,4.37
John Wall,PG,35.65,19.8,4.7,9.6,1.9,0.6,4.1,40.7,$9200,4.43
Kyle Lowry,PG,36.62,20.9,5,7.8,2.0,0.3,2.9,40.3,$8300,4.86
DeMar DeRozan,SG,36.31,25.8,4.7,5.1,1.2,0.1,2.2,39.5,$9300,4.25
Hassan Whiteside,C,33.97,16.1,13.4,0.6,0.9,3.1,2.2,38.9,$8500,4.57
Karl-Anthony Towns,C,36.33,20.4,9.5,2.1,0.9,1.4,2.4,37.2,$8600,4.32
Kemba Walker,PG,34.76,22.2,4.2,4.9,1.7,0.5,1.9,37.1,$7800,4.76
Paul Millsap,PF,33.86,16.7,9,3.2,1.6,1.6,2.3,36.4,$7800,4.67
Draymond Green,PF,33.15,12.3,8.8,6.2,1.8,1.3,2.5,35.9,$7900,4.54
Carmelo Anthony,SF,35.51,22.7,6.3,3.5,0.8,0.5,2.3,35.8,$7900,4.53
Marc Gasol,C,33.09,18.1,7.7,3.7,0.7,1.7,2.0,35.7,$7000,5.1
Marcin Gortat,C,35.27,14.4,12.1,1.4,0.6,1.3,1.8,33.0,$6000,5.5
Mike Conley,PG,33.64,17.2,3.7,6.6,1.4,0.4,2.2,32.9,$7400,4.45
Kristaps Porzingis,PF,32.17,18.5,7.7,1.1,0.7,1.5,1.4,32.4,$7200,4.5
Gordon Hayward,SF,35.51,19.9,5.2,3.7,1.1,0.3,2.1,32.4,$7300,4.44
Bradley Beal,SG,35.21,21.0,3.6,4.0,1.1,0.3,2.1,32.0,$6300,5.08
Isaiah Thomas,PG,32.96,20.0,2.7,5.8,0.9,0.2,2.3,31.8,$7800,4.08
Rudy Gay,SF,35.38,17.5,6.1,2.5,1.6,0.6,2.4,30.6,$7100,4.31
Goran Dragic,PG,33.70,16.2,4.6,5.8,1.1,0.3,2.9,30.3,$6400,4.74
Dwight Howard,C,29.33,12.0,11.3,1.2,1.0,1.6,2.4,30.2,$7800,3.87
Markieff Morris,PF,32.01,15.5,7.1,2.4,1.3,1.0,2.4,29.8,$4700,6.34
Otto Porter,SF,35.55,14.6,6.8,2.0,1.8,0.7,1.2,29.6,$6100,4.85
Victor Oladipo,SG,34.88,17.3,4,4.1,1.2,0.3,2.1,29.2,$6300,4.63
Rudy Gobert,C,31.83,9.8,11.1,1.1,0.6,2.4,1.8,29.0,$6800,4.26
Klay Thompson,SG,32.78,19.8,4,2.0,1.0,0.3,1.8,28.4,$6100,4.66
Nicolas Batum,SG,34.01,13.5,5.9,4.9,0.9,0.6,2.6,28.3,$6700,4.23
Andrew Wiggins,SF,37.19,20.9,3.6,2.1,0.7,0.4,2.3,28.3,$6100,4.63
Jonas Valanciunas,C,28.47,12.8,10,1.0,0.4,1.3,1.6,28.1,$5900,4.76
Rodney Hood,SG,35.50,17.8,4.2,2.8,1.0,0.3,1.7,27.9,$5300,5.27
Dennis Schroder,PG,30.47,14.3,3.3,6.4,1.1,0.2,2.9,27.6,$5300,5.2
Gorgui Dieng,PF,32.90,11.1,8.5,2.1,1.2,1.3,2.2,27.3,$6100,4.47
George Hill,PG,32.03,15.7,3.4,3.6,1.1,0.3,1.4,26.6,$6500,4.09
Ricky Rubio,PG,29.74,8.6,4.1,7.8,1.6,0.1,2.3,26.3,$5700,4.62
Derrick Rose,PG,32.04,15.2,3.5,4.8,0.7,0.3,2.5,26.1,$6100,4.28
Avery Bradley,SG,35.57,14.9,5.1,2.5,1.2,0.3,1.7,26.1,$6600,3.95
Darren Collison,PG,32.47,14.1,2.7,5.3,1.2,0.1,2.2,25.7,$5800,4.43
Zach LaVine,SG,35.66,16.6,3.3,3.2,0.9,0.3,2.1,25.7,$5800,4.42
Frank Kaminsky,PF,33.80,12.9,6.1,2.4,0.7,0.7,1.4,25.2,$4700,5.37
Steven Adams,C,28.68,10.0,8.5,0.8,0.8,1.4,1.5,24.3,$4800,5.06
JaMychal Green,PF,33.33,11.8,8,1.0,0.7,1.1,2.3,24.2,$4600,5.26
Jahlil Okafor,C,26.48,13.0,6.1,1.3,0.5,1.0,1.7,23.6,$4200,5.61
Jae Crowder,SF,30.11,12.4,5.2,1.7,1.3,0.5,1.4,23.4,$5600,4.18
Tony Allen,SG,30.78,10.5,5.8,1.4,2.2,0.4,1.5,23.3,$4000,5.82
Kent Bazemore,SF,28.41,12.1,4.3,2.4,1.4,0.6,1.7,23.2,$4800,4.83
Michael Kidd-Gilchrist,SF,32.00,11.1,6.5,1.2,0.7,0.8,1.3,22.4,$5200,4.31
Robert Covington,SF,28.26,9.5,5.9,1.6,1.5,1.0,2.0,22.0,$4400,5
Jerryd Bayless,PG,27.78,11.2,3.5,4.4,0.8,0.2,2.1,21.9,$3700,5.92
Troy Williams,SF,24.35,11.3,4,2.3,1.0,0.9,1.5,21.9,$3700,5.91
Amir Johnson,PF,27.24,7.9,7,2.0,0.7,1.2,1.3,21.8,$3500,6.23
Matt Barnes,SF,28.42,10.9,5.5,1.9,0.7,0.9,2.0,21.6,$3900,5.53
Marcus Smart,SG,29.84,9.6,3.8,3.6,1.4,0.3,1.8,21.2,$5200,4.07
Enes Kanter,PF,19.04,11.7,6.6,0.5,0.5,0.5,1.3,21.1,$4600,4.58
Ersan Ilyasova,PF,26.62,12.4,5.4,1.1,0.6,0.2,1.3,20.8,$4600,4.53
Kelly Olynyk,C,28.15,10.7,4.9,1.9,0.8,0.6,1.8,20.4,$3500,5.84
DeMarre Carroll,SF,27.33,10.9,3.9,1.3,1.4,0.4,1.0,20.1,$4200,4.79
Andrew Harrison,PG,30.15,8.7,3.9,3.4,1.2,0.5,1.9,20.0,$3800,5.26
Cody Zeller,C,25.41,9.4,5.6,1.0,0.6,0.8,0.7,19.7,$4800,4.11
Vince Carter,SF,27.01,11.1,4.1,1.8,0.7,0.3,1.1,19.6,$4000,4.91
Mike Muscala,PF,21.54,8.9,5.4,1.4,0.4,1.0,1.3,19.0,$3900,4.87
James Johnson,SF,25.66,8.4,4.6,1.6,1.1,0.9,1.5,18.8,$4200,4.48
