Name,Position,Min,Pts,Reb,Ast,Stl,Blk,TO,FP,Cost,Value
DeMarcus Cousins,FC,36.07,26.7,12.3,3.3,1.7,1.2,4.1,48.1,$9900,4.86
Paul Millsap,FC,33.43,18.4,9.2,3.5,1.9,2.0,2.3,40.2,$8100,4.96
Blake Griffin,FC,34.79,21.8,8.6,4.2,1.3,0.8,2.6,40.0,$9000,4.45
Chris Paul,PG,32.08,20.1,3.9,8.7,1.8,0.1,2.3,39.3,$9300,4.23
Kyle Lowry,PG,37.09,20.2,5.1,7.2,1.9,0.5,2.7,39.2,$7400,5.3
DeAndre Jordan,C,34.38,13.0,14.6,1.1,0.6,2.3,1.7,36.3,$7500,4.84
DeMar DeRozan,GF,35.93,24.5,4.2,3.9,1.1,0.3,2.1,36.1,$7900,4.57
Jimmy Butler,GF,35.25,20.1,4.9,5.0,1.6,0.5,1.9,35.8,$8000,4.47
Dwight Howard,FC,31.72,13.0,12.4,1.2,0.8,2.3,1.9,34.0,$7800,4.36
Rajon Rondo,PG,32.67,10.7,5.6,10.3,1.8,0.2,3.2,33.7,$7300,4.61
Dwyane Wade,G,31.82,19.3,3.9,5.4,1.2,0.5,2.5,33.0,$6900,4.78
Eric Bledsoe,G,35.33,15.6,3.9,7.8,1.3,0.5,3.7,31.9,$7400,4.31
Brook Lopez,C,29.68,18.4,6.9,1.8,0.8,1.4,2.3,31.5,$7600,4.14
Dennis Schroder,PG,30.32,16.8,3.1,6.5,1.4,0.3,3.6,30.1,$6300,4.77
Nikola Jokic,C,27.18,12.7,8.5,2.8,1.1,0.8,1.8,29.1,$6100,4.77
Will Barton,GF,34.36,16.5,6.5,2.5,1.1,0.4,2.1,29.0,$5300,5.46
Danilo Gallinari,SF,36.14,19.1,4.9,2.2,0.8,0.3,1.6,28.9,$6900,4.19
Jonas Valanciunas,C,29.41,12.5,9.9,0.8,0.4,1.9,1.7,28.5,$6400,4.45
Rudy Gay,F,32.65,16.3,6.4,1.6,1.2,0.6,1.8,28.2,$7300,3.86
Robin Lopez,C,29.31,11.0,9.6,1.1,0.2,2.2,1.5,27.5,$5300,5.18
Nikola Mirotic,F,29.26,15.3,5.7,1.9,0.8,0.8,1.7,26.5,$4900,5.41
Emmanuel Mudiay,PG,32.05,12.7,3.9,5.7,0.8,0.4,2.9,25.4,$5900,4.31
Ty Lawson,PG,34.44,10.9,4.2,6.5,1.4,0.1,3.3,25.4,$5100,4.98
Wilson Chandler,GF,26.02,13.5,6.9,1.6,0.9,0.3,1.9,24.7,$4900,5.04
Jeremy Lin,G,31.56,13.6,3.6,4.3,0.8,0.4,2.1,24.7,$6500,3.8
Brandon Knight,G,30.15,14.6,2.7,4.2,1.0,0.2,3.1,23.4,$5800,4.04
Taj Gibson,FC,29.01,9.9,7.3,1.3,0.8,1.2,1.2,23.4,$5400,4.34
Kent Bazemore,GF,27.08,12.0,4.8,2.3,1.4,0.5,1.8,23.2,$4800,4.84
J.J. Redick,SG,28.60,17.0,2.4,1.8,0.7,0.0,0.9,23.1,$4400,5.25
Trevor Booker,PF,27.09,8.4,8.1,1.5,1.0,0.9,1.2,23.0,$5300,4.33
T.J. Warren,SF,32.15,13.4,4.8,1.5,0.9,0.3,1.2,22.6,$5500,4.11
Mike Muscala,FC,21.63,9.7,7.4,1.0,0.4,1.4,1.3,22.4,$4200,5.33
Kenneth Faried,FC,22.46,10.6,7,1.0,0.6,0.8,1.2,22.1,$5500,4.02
Jusuf Nurkic,C,22.45,8.6,7.4,1.2,0.9,0.9,1.7,21.2,$5200,4.07
Justin Hamilton,FC,25.94,11.1,5.2,1.4,1.0,0.4,1.3,20.9,$4900,4.27
Devin Booker,SG,32.62,14.1,2.6,2.7,0.7,0.3,2.4,20.9,$6100,3.42
DeMarre Carroll,F,31.96,9.0,4.8,2.2,1.5,0.6,1.5,20.8,$4600,4.51
Tyson Chandler,C,25.00,6.9,9,1.0,0.6,0.6,1.2,20.4,$4200,4.86
Matt Barnes,GF,27.68,10.5,4.9,1.6,0.7,0.8,1.7,20.1,$4300,4.67
Arron Afflalo,GF,31.25,12.6,3.5,1.8,0.6,0.3,1.5,19.8,$3700,5.35
Jamal Crawford,GF,24.07,13.1,1.9,2.3,0.8,0.2,1.4,19.4,$4900,3.97
Kosta Koufos,FC,19.56,7.6,6.3,0.7,0.7,0.9,0.9,18.5,$3500,5.29
Sean Kilpatrick,SG,22.12,12.6,2.3,1.8,0.6,0.2,1.3,18.4,$4000,4.59
Thabo Sefolosha,GF,23.41,7.0,4.5,1.8,1.4,0.5,0.9,18.0,$4100,4.39
Kyle Korver,GF,26.99,8.8,3.3,2.2,0.9,0.4,1.0,17.7,$3800,4.65
Marreese Speights,FC,13.20,9.7,4.6,0.9,0.3,0.7,1.0,17.6,$3700,4.75
Patrick Patterson,FC,28.06,8.0,5,1.4,0.7,0.4,0.8,17.5,$3600,4.86
Bojan Bogdanovic,GF,28.96,12.3,2.9,1.3,0.3,0.1,1.5,17.0,$4300,3.96
Austin Rivers,G,23.02,10.4,2.4,1.6,1.0,0.2,1.1,17.0,$4500,3.77
Alex Len,FC,20.66,7.3,6.3,1.1,0.5,0.5,1.6,16.9,$4600,3.68
Rondae Hollis-Jefferson,GF,24.18,6.6,5.5,1.0,1.1,0.5,1.0,16.9,$3600,4.69
Marquese Chriss,PF,15.60,8.9,3.9,1.3,1.0,0.3,1.3,16.8,$4000,4.21
Cory Joseph,PG,22.62,8.6,2.6,2.9,0.6,0.2,1.2,16.5,$3500,4.71
Pascal Siakam,PF,16.71,9.4,3.9,1.4,0.4,0.2,1.2,16.2,$3700,4.37
Michael Carter-Williams,PG,16.41,5.9,2.6,4.1,0.7,0.2,1.6,15.4,$4700,3.27
Malcolm Delaney,SG,16.80,7.6,3.6,1.9,0.3,0.2,1.1,14.7,$3500,4.19
Doug McDermott,SF,22.72,9.9,2.3,1.0,0.3,0.2,0.7,14.5,$3800,3.81
Tim Hardaway Jr.,SG,19.23,8.5,2.8,1.0,0.5,0.2,0.6,14.2,$3600,3.93
Jared Dudley,GF,24.38,6.6,3,1.6,0.8,0.2,1.0,13.6,$3800,3.58
Luis Scola,FC,15.63,6.9,4,0.7,0.5,0.3,0.8,13.6,$4100,3.3
Dragan Bender,PF,10.91,7.4,3.2,1.1,0.4,0.3,1.0,13.3,$3600,3.69
Mike Scott,PF,13.32,7.1,2.8,1.0,0.5,0.3,0.6,13.0,$3500,3.7
Wesley Johnson,GF,16.33,6.2,2.8,0.6,0.9,0.6,0.6,12.9,$3600,3.57
Terrence Ross,GF,19.18,7.8,2.1,0.9,0.6,0.2,0.5,12.8,$3500,3.65
Brandon Bass,FC,3.28,5.1,4.4,0.6,0.4,0.6,0.6,12.7,$3800,3.34
Cristiano Felicio,C,10.29,5.5,4.2,0.3,0.2,0.5,0.7,11.7,$3500,3.34
Willie Cauley-Stein,FC,12.92,4.1,3.8,0.5,0.5,0.8,0.5,11.5,$4400,2.62
Kris Humphries,FC,11.83,5.3,3.5,0.4,0.3,0.6,0.7,11.2,$3600,3.11
Raymond Felton,G,14.61,4.9,1.9,2.2,0.6,0.2,1.0,11.1,$3500,3.17
Jamal Murray,SG,9.63,5.7,3.3,1.0,0.2,0.2,1.0,11.0,$3500,3.13
