Name,Position,Min,Pts,Reb,Ast,Stl,Blk,TO,FP,Cost,Value
Russell Westbrook,PG,36.31,31.1,10.3,10.5,1.6,0.3,5.4,57.6,$13100,4.4
John Wall,PG,36.59,22.1,4.9,10.6,2.0,0.6,4.2,44.9,$10200,4.4
Damian Lillard,PG,36.04,24.7,4.5,6.0,0.8,0.3,2.7,38.6,$9600,4.02
Eric Bledsoe,PG,33.47,21.4,4.9,6.4,1.4,0.5,3.5,37.2,$8500,4.37
Jusuf Nurkic,C,34.24,16.0,11.1,2.7,1.3,1.8,3.5,36.1,$6700,5.38
C.J. McCollum,SG,35.06,23.2,3.8,3.8,1.1,0.5,2.4,34.3,$7200,4.76
D'Angelo Russell,PG,33.64,17.8,4.9,6.2,1.7,0.3,3.5,33.5,$6400,5.23
Bradley Beal,SG,35.87,23.3,3.3,3.7,1.1,0.2,2.0,33.4,$8000,4.18
Alan Williams,C,29.16,14.2,10.9,0.8,1.0,2.1,2.1,32.6,$5500,5.92
Enes Kanter,PF,27.21,18.3,8.7,1.4,0.4,0.9,2.1,31.3,$5800,5.4
Devin Booker,SG,34.87,21.2,3.2,3.6,0.9,0.3,3.0,29.8,$6000,4.97
Dirk Nowitzki,PF,28.43,15.3,7.2,1.7,0.8,1.0,1.1,29.0,$6000,4.83
Harrison Barnes,SF,35.67,19.8,4.8,1.7,0.9,0.2,1.4,28.9,$6100,4.74
Julius Randle,PF,30.08,13.1,8.7,3.4,0.7,0.5,2.3,28.7,$6200,4.64
Otto Porter,SF,34.03,14.9,6.2,1.6,1.6,0.5,0.8,28.1,$6100,4.61
Markieff Morris,PF,31.98,14.8,6.7,1.9,1.3,0.7,1.9,27.8,$6600,4.21
Nerlens Noel,C,25.82,12.1,7.3,1.3,1.5,1.3,1.3,27.1,$6100,4.44
Victor Oladipo,SG,33.75,16.2,4.2,2.7,1.2,0.3,1.6,26.7,$6000,4.45
Seth Curry,SG,34.95,15.7,3.2,3.5,1.4,0.1,1.7,26.1,$6200,4.21
Steven Adams,C,30.38,12.0,8.2,1.1,1.1,1.2,2.0,26.1,$5700,4.58
T.J. Warren,SF,34.00,15.3,5.1,1.3,1.3,0.4,0.9,25.9,$5600,4.62
Jordan Clarkson,PG,30.65,15.0,3.4,2.9,1.4,0.1,2.3,24.1,$5100,4.73
Wesley Matthews,SG,34.89,15.0,3.6,2.4,1.0,0.2,1.4,23.9,$5200,4.6
Maurice Harkless,SF,33.48,11.7,5.5,1.3,1.3,1.1,1.3,23.8,$4800,4.95
Al-Farouq Aminu,PF,31.37,9.9,7.7,2.1,0.9,0.7,1.8,23.7,$5400,4.39
Marcin Gortat,C,28.23,9.6,9.2,1.2,0.4,0.9,1.4,23.6,$6200,3.81
Marquese Chriss,PF,27.91,12.4,5.2,1.1,1.2,1.0,1.6,23.1,$4500,5.13
Yogi Ferrell,PG,29.04,11.3,2.9,4.3,0.9,0.2,1.9,21.5,$5100,4.22
Nick Young,SG,28.85,15.1,2.6,1.1,0.7,0.3,0.7,21.2,$4200,5.04
Bojan Bogdanovic,SF,26.34,14.0,3.3,1.6,0.5,0.1,1.6,20.0,$4000,4.99
Tyler Ulis,PG,23.56,9.7,2.1,4.8,1.3,0.0,2.1,19.9,$5300,3.76
Brandon Ingram,SF,33.78,9.5,4.9,2.2,0.7,0.4,1.5,19.4,$3700,5.24
Ivica Zubac,C,19.65,8.1,5.7,0.8,0.5,1.2,1.2,18.3,$3600,5.09
Taj Gibson,PF,24.16,9.1,5.2,0.8,0.5,0.7,1.2,17.7,$4200,4.22
Larry Nance Jr.,PF,21.31,6.3,5.4,1.4,1.1,0.6,0.9,17.4,$4000,4.35
Andre Roberson,SF,29.54,6.8,4.9,1.0,1.0,0.9,0.7,17.3,$4100,4.21
Ian Mahinmi,C,20.79,5.2,5.6,0.7,1.2,1.3,1.2,16.8,$3500,4.79
Allen Crabbe,SG,26.46,9.8,2.7,1.2,0.6,0.2,0.8,15.6,$3500,4.47
Doug McDermott,SF,25.00,10.3,3.1,1.1,0.2,0.1,0.8,15.5,$3500,4.42
Alex Len,C,15.31,6.3,5.1,0.5,0.4,1.0,1.1,14.9,$4400,3.38
Tarik Black,C,15.96,5.8,5.4,0.7,0.4,0.8,1.0,14.7,$3500,4.21
Brandon Jennings,PG,17.42,6.1,1.9,3.8,0.7,0.1,1.4,14.3,$4200,3.4
Meyers Leonard,PF,17.45,6.7,3.9,1.0,0.2,0.4,0.7,13.4,$3500,3.82
Noah Vonleh,PF,15.58,4.6,5.1,0.5,0.5,0.5,1.2,12.3,$3500,3.51
Devin Harris,PG,15.47,6.3,1.9,2.0,0.6,0.1,0.9,12.1,$3600,3.36
Leandro Barbosa,SG,14.05,7.5,1.7,1.4,0.4,0.1,0.9,11.7,$3500,3.35
Jared Dudley,PF,16.94,5.6,2.7,1.2,0.4,0.2,1.0,10.8,$3500,3.1
Shabazz Napier,PG,8.97,4.8,1.5,2.1,0.8,0.0,1.0,10.4,$3500,2.96
Jerami Grant,SF,14.16,4.2,2.3,0.5,0.4,0.8,0.4,9.7,$3500,2.77
Salah Mejri,C,9.76,2.5,3.6,0.2,0.4,0.9,0.5,9.2,$3500,2.63
Corey Brewer,SF,13.47,4.0,2,1.0,0.6,0.2,0.6,8.9,$3500,2.54
Norris Cole,PG,13.52,4.6,1.7,1.5,0.4,0.0,0.9,8.8,$3600,2.44
Dorian Finney-Smith,SF,15.86,3.8,2.1,0.7,0.6,0.2,0.5,8.5,$3500,2.42
Kelly Oubre,SF,13.38,4.2,2.3,0.4,0.5,0.2,0.5,8.5,$3500,2.42
Domantas Sabonis,PF,13.50,4.1,2.3,0.7,0.3,0.2,0.6,8.3,$3500,2.37
Quinn Cook,PG,12.00,4.4,0.8,1.8,0.2,0.0,1.2,7.3,N/A,N/A
Jared Sullinger,PF,6.92,3.0,2.1,0.4,0.3,0.1,0.3,6.6,$3500,1.89
Mike Scott,SF,7.17,2.5,1.8,0.7,0.2,0.2,0.4,6.1,$3500,1.75
Derrick Jones Jr.,SF,13.09,3.1,1,0.5,0.2,0.2,0.4,5.5,$3500,1.56
Sheldon McClellan,SG,5.00,2.3,0.9,0.4,0.2,0.1,0.2,4.4,$3500,1.25
Thomas Robinson,PF,1.82,1.2,1.6,0.2,0.2,0.1,0.2,3.8,$3600,1.06
Pat Connaughton,SG,3.14,1.5,1.1,0.4,0.1,0.1,0.2,3.6,$3500,1.03
Tomas Satoransky,SG,5.28,1.3,0.7,0.8,0.2,0.1,0.4,3.5,$3500,1.01
Tyler Ennis,PG,6.46,1.3,0.5,0.8,0.2,0.0,0.4,3.1,$3500,0.89
David Nwaba,PG,0.12,1.2,0.5,0.5,0.2,0.0,0.2,2.8,N/A,N/A
Jake Layman,PF,2.20,1.5,0.5,0.2,0.1,0.1,0.2,2.6,$3500,0.74
Kyle Singler,SF,1.56,1.1,0.5,0.2,0.1,0.0,0.2,2.0,$3500,0.57
Brandon Knight,SG,2.09,1.2,0.2,0.3,0.1,0.0,0.2,1.9,$3600,0.53
Danuel House Jr.,SF,0.05,0.7,0.7,0.0,0.1,0.1,0.2,1.7,$3500,0.5
Dwight Powell,PF,1.62,0.6,0.4,0.1,0.1,0.1,0.0,1.6,$3500,0.47
Daniel Ochefu,PF,0.04,0.5,0.5,0.1,0.1,0.1,0.1,1.6,$3500,0.44
Tim Quarterman,PG,0.17,0.8,0.2,0.3,0.1,0.0,0.2,1.5,$3500,0.43
Ronnie Price,PG,0.03,0.7,0.2,0.3,0.1,0.0,0.2,1.4,$3500,0.4
Ben Bentil,PF,0.04,0.6,0.5,0.1,0.0,0.1,0.2,1.4,$3500,0.39
Semaj Christon,PG,1.13,0.5,0.2,0.3,0.1,0.0,0.1,1.3,$3500,0.37
Jason Smith,PF,1.00,0.4,0.3,0.0,0.0,0.1,0.1,0.9,$3600,0.24
Trey Burke,PG,0.98,0.5,0.1,0.2,0.0,0.0,0.1,0.8,$3500,0.23
Alex Abrines,SG,1.27,0.5,0.1,0.1,0.0,0.0,0.1,0.7,$3500,0.19
Timofey Mozgov,C,1.07,0.4,0.3,0.0,0.0,0.0,0.1,0.7,$3500,0.19
Tyson Chandler,C,0.27,0.1,0.1,0.0,0.0,0.0,0.0,0.2,$4000,0.06
Festus Ezeli,C,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0,$3500,0
Metta World Peace,SF,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0,$3500,0
Evan Turner,SF,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0,$4700,0
Nick Collison,PF,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0,$3500,0
A.J. Hammons,C,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0,$3500,0
Dragan Bender,PF,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0,$3500,0
Chris McCullough,PF,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0,$3500,0
Jose Juan Barea,PG,0.00,0.0,0,0.0,0.0,0.0,0.0,0.0,$4700,0
