Name,Position,Min,Pts,Reb,Ast,Stl,Blk,TO,FP,Cost,Value
Russell Westbrook,PG,36.34,30.1,9.9,10.7,1.8,0.3,5.3,56.9,$12500,4.55
Anthony Davis,PF,37.21,27.7,11.8,2.3,1.3,2.5,2.5,50.4,$11600,4.35
LeBron James,SF,38.01,26.9,8,8.3,1.6,0.6,4.1,49.3,$9900,4.97
Kevin Durant,SF,36.46,28.0,8.5,4.7,1.2,1.6,2.6,48.3,$10000,4.83
Giannis Antetokounmpo,SG,36.51,23.6,9.4,5.6,1.8,2.0,2.9,48.0,$10300,4.66
John Wall,PG,37.68,23.3,4.8,10.3,2.2,0.5,4.3,45.6,$9500,4.8
Stephen Curry,PG,36.33,27.1,4.5,6.5,1.8,0.2,3.3,43.0,$8900,4.83
Chris Paul,PG,32.37,18.6,5,9.5,2.1,0.2,2.4,41.1,$9100,4.51
Draymond Green,PF,36.21,12.6,9.6,8.0,2.0,1.4,2.4,40.5,$7800,5.19
Kevin Love,PF,35.70,22.4,11.8,2.2,0.9,0.4,2.3,40.2,$7800,5.15
Damian Lillard,PG,36.60,25.3,4.5,6.3,0.8,0.2,2.8,39.4,$8400,4.68
Isaiah Thomas,PG,34.47,26.7,3,6.2,0.9,0.1,2.4,39.2,$9100,4.31
Kyrie Irving,PG,36.73,25.0,3.8,5.9,1.2,0.2,2.7,38.5,$8000,4.81
Kemba Walker,PG,35.50,23.3,4.4,5.7,1.3,0.2,2.4,37.7,$7900,4.78
Paul Millsap,PF,35.27,18.7,8.6,3.8,1.6,1.0,2.3,37.6,$8100,4.64
Eric Bledsoe,PG,35.55,21.3,5,6.3,1.6,0.4,3.4,37.4,$7700,4.85
Nikola Vucevic,C,32.22,16.2,11.2,3.0,1.0,1.2,1.9,36.6,$7100,5.16
Paul George,SF,35.37,22.3,6,3.4,1.8,0.3,2.9,35.9,$7600,4.72
Enes Kanter,PF,33.53,20.2,10.1,1.4,0.4,1.3,2.3,35.5,$6200,5.73
Carmelo Anthony,SF,35.38,22.3,6.4,3.2,1.0,0.4,2.1,35.5,$8100,4.38
Rudy Gobert,C,35.08,13.0,12.9,1.2,0.7,2.8,1.9,35.4,$7600,4.66
C.J. McCollum,SG,35.61,23.5,3.8,3.9,1.1,0.6,2.3,35.0,$8600,4.07
