Name,Position,Min,Pts,Reb,Ast,Stl,Blk,TO,FP,Cost,Value
Karl-Anthony Towns,C,38.45,24.5,12.2,2.6,0.7,1.4,2.7,44.5,$10600,4.2
Jimmy Butler,SF,38.62,25.4,6.4,5.9,2.0,0.4,2.4,44.3,$10200,4.35
Russell Westbrook,PG,25.71,21.8,7.3,7.6,1.3,0.3,3.7,41.5,$13900,2.98
Isaiah Thomas,PG,35.53,28.2,2.7,6.2,0.9,0.2,3.0,39.9,$8700,4.59
Kevin Durant,SF,28.66,22.1,7.1,4.0,0.9,1.4,2.0,39.2,$9800,4
Chris Paul,PG,30.67,18.0,4.6,9.1,1.9,0.1,2.3,38.9,$9400,4.14
Paul George,SF,37.17,24.4,6.5,3.7,1.6,0.4,3.1,38.7,$9900,3.9
Hassan Whiteside,C,32.58,16.6,12.8,0.8,0.7,2.1,2.1,36.7,$9000,4.07
Goran Dragic,PG,36.20,21.6,4,6.3,1.3,0.2,2.9,36.0,$7900,4.55
Michael Beasley,SF,35.72,21.2,7.8,2.3,1.0,1.0,2.7,35.3,$4500,7.85
James Harden,SG,24.22,19.0,5,6.8,1.0,0.4,3.4,34.6,$11700,2.96
Blake Griffin,PF,31.61,19.6,6.8,4.2,0.9,0.4,2.1,34.6,$8800,3.93
Ricky Rubio,PG,37.03,12.4,4.6,10.0,2.0,0.2,2.9,34.4,$7700,4.47
Nikola Vucevic,C,29.36,14.9,10,2.5,1.0,1.1,1.7,33.2,$8000,4.14
Jeff Teague,PG,32.75,15.4,4.2,7.8,1.3,0.4,2.8,32.7,$6900,4.74
Nikola Jokic,PF,27.60,15.7,8.5,4.0,0.7,0.8,2.2,32.7,$9900,3.3
Guillermo Hernangomez,C,30.13,14.2,11,2.1,1.2,0.8,2.2,32.4,$5100,6.34
James Johnson,PF,32.83,15.7,6.2,4.3,1.2,1.4,2.8,32.0,$6500,4.92
Rajon Rondo,PG,33.47,10.3,6,8.8,2.0,0.2,3.4,31.7,$7000,4.53
Kyle Lowry,PG,30.25,17.9,3.8,5.6,1.3,0.2,2.2,31.7,$8500,3.72
Andrew Wiggins,SF,37.19,22.6,4.2,2.4,1.0,0.3,2.2,31.6,$8100,3.91
Rudy Gobert,C,30.51,12.4,11.1,1.0,0.6,2.3,1.6,31.4,$9000,3.49
