Name,Position,Min,Pts,Reb,Ast,Stl,Blk,TO,FP,Cost,Value
Russell Westbrook,PG,34.75,29.6,9.6,10.0,1.8,0.4,5.1,55.4,$12900,4.3
James Harden,SG,36.60,28.9,7.4,10.3,1.6,0.4,5.3,51.9,$12500,4.15
Anthony Davis,PF,36.39,26.8,11.8,2.3,1.2,2.1,2.4,48.6,$10800,4.5
DeMarcus Cousins,C,34.27,25.9,10.8,4.2,1.4,1.3,3.5,47.1,$9400,5.01
Giannis Antetokounmpo,SG,35.58,22.9,9,5.1,1.7,1.8,2.7,45.7,$10600,4.31
Jimmy Butler,SF,37.16,24.4,6.3,5.7,1.8,0.5,2.2,42.9,$10000,4.29
Stephen Curry,PG,33.57,25.3,4.6,6.5,1.8,0.2,3.0,41.6,$9900,4.2
Nikola Jokic,PF,31.16,19.9,10.7,5.0,0.9,1.0,2.6,41.4,$10300,4.02
Damian Lillard,PG,35.88,26.1,4.6,6.2,0.9,0.3,2.7,40.6,$9400,4.32
Isaiah Thomas,PG,34.29,27.8,2.9,6.1,1.1,0.2,2.7,40.3,$8600,4.69
Chris Paul,PG,31.41,17.9,4.8,9.2,2.0,0.1,2.4,39.3,$8900,4.41
Blake Griffin,PF,33.91,21.9,8,4.9,1.0,0.4,2.4,39.3,$8800,4.46
Kemba Walker,PG,34.86,22.7,4.2,5.7,1.2,0.3,2.3,37.0,$7800,4.74
Marc Gasol,C,34.55,19.4,7.1,4.4,0.9,1.4,2.2,36.9,$7600,4.86
Paul George,SF,35.51,22.8,6.3,3.5,1.6,0.4,3.0,36.6,$8800,4.16
Hassan Whiteside,C,32.57,15.9,13.2,0.7,0.7,2.2,2.1,36.5,$8800,4.15
Draymond Green,PF,32.82,11.2,8.1,6.9,1.9,1.4,2.5,35.4,$7700,4.59
Mike Conley,PG,33.54,19.8,3.6,6.3,1.5,0.3,2.2,35.0,$7900,4.43
C.J. McCollum,SG,35.30,23.4,3.8,3.9,1.0,0.5,2.3,34.5,$6900,5
Dennis Schroder,PG,34.29,19.0,3.7,7.3,1.2,0.2,3.3,33.9,$7200,4.71
Dwight Howard,C,29.85,13.7,12.7,1.3,1.0,1.5,2.2,33.7,$7200,4.68
Al Horford,C,32.61,15.4,7.2,4.5,0.8,1.5,1.7,33.7,$7000,4.81
Goran Dragic,PG,33.57,19.9,3.9,6.0,1.2,0.2,2.8,33.6,$7800,4.31
D'Angelo Russell,PG,34.63,19.1,4.5,5.9,1.5,0.3,3.4,33.6,$6500,5.16
Nicolas Batum,SG,34.70,15.9,6.3,6.1,1.2,0.4,2.7,33.1,$6700,4.94
Jrue Holiday,PG,33.05,15.9,4.1,7.2,1.6,0.6,3.1,32.9,$7200,4.57
Jeff Teague,PG,32.59,15.7,4.2,7.7,1.3,0.4,2.9,32.8,$7400,4.43
DeAndre Jordan,C,31.41,12.1,13,1.1,0.6,1.7,1.4,32.6,$7900,4.12
Brook Lopez,C,29.76,20.0,5.9,2.2,0.6,1.6,2.5,32.3,$6700,4.82
Wilson Chandler,SF,34.40,18.6,7,2.2,1.0,0.6,1.9,31.6,$6700,4.72
Tyler Ulis,PG,35.46,15.0,3.6,7.3,2.0,0.2,3.3,31.4,$6000,5.23
Richaun Holmes,PF,29.85,14.9,8.1,1.4,1.3,1.7,1.5,31.2,$5600,5.58
Myles Turner,C,31.15,14.9,7.6,1.4,0.9,2.2,1.3,31.0,$6500,4.77
Jusuf Nurkic,C,28.31,13.3,9.3,2.3,1.1,1.5,2.8,30.3,$6700,4.52
Devin Booker,SG,35.14,21.7,3.5,3.4,0.9,0.3,3.2,30.2,$7600,3.97
Ersan Ilyasova,PF,32.01,17.4,7.4,2.1,0.9,0.4,1.9,30.1,$4800,6.28
Tim Hardaway Jr.,SG,36.92,19.8,4,3.0,1.2,0.2,1.8,30.1,$5900,5.1
Klay Thompson,SG,33.95,21.7,3.6,2.0,0.8,0.5,1.7,29.9,$7000,4.27
Julius Randle,PF,29.17,13.6,8.6,3.4,0.7,0.6,2.3,29.3,$6900,4.25
Jordan Clarkson,PG,36.49,18.7,3.8,3.4,1.5,0.1,2.4,29.2,$5900,4.94
Danilo Gallinari,SF,34.08,18.5,5.2,2.1,0.8,0.3,1.4,28.7,$6700,4.28
Alan Williams,C,23.69,12.1,9.4,1.0,1.1,1.4,1.5,28.4,$5400,5.26
Khris Middleton,SF,32.09,16.4,3.9,3.9,1.5,0.3,2.5,28.0,$6300,4.45
Avery Bradley,SG,33.35,16.2,5.7,2.3,1.3,0.2,1.6,27.9,$6500,4.29
Clint Capela,C,26.06,13.1,8.6,1.0,0.6,1.4,1.3,27.6,$5700,4.85
Dario Saric,PF,30.32,14.5,7.5,2.4,0.9,0.4,2.4,27.3,$7600,3.59
Cody Zeller,C,30.58,12.2,7.6,1.7,1.1,1.2,1.3,27.2,$5300,5.13
Greg Monroe,C,23.17,13.1,7.1,2.3,1.2,0.6,1.6,27.1,$5900,4.59
James Johnson,PF,27.24,12.7,5.4,3.3,1.0,1.3,2.2,26.5,$6100,4.35
Zach Randolph,PF,24.23,14.7,8,1.7,0.5,0.1,1.6,26.5,$5200,5.09
Victor Oladipo,SG,33.53,16.4,4.3,2.4,1.1,0.3,1.6,26.4,$6000,4.39
Robert Covington,SF,31.40,12.4,6.5,1.6,1.8,1.1,2.1,26.3,$6800,3.87
Gary Harris,SG,31.06,16.8,3.2,2.7,1.3,0.2,1.5,26.2,$6100,4.29
Enes Kanter,PF,22.23,14.7,7.4,1.1,0.4,0.8,1.7,25.9,$6000,4.32
Shawn Long,C,15.31,12.5,7,1.5,0.7,1.1,1.1,25.7,$4000,6.41
Mason Plumlee,C,24.57,9.8,7.3,3.2,0.8,1.0,1.4,25.6,$5700,4.48
Trevor Booker,PF,25.63,11.0,8.5,2.1,1.1,0.5,2.0,25.6,$4400,5.81
Louis Williams,SG,23.90,17.3,2.4,3.0,1.1,0.2,1.8,25.5,$4300,5.93
Jae Crowder,SF,32.51,14.1,5.5,2.1,1.0,0.3,1.0,25.5,$5900,4.31
Steven Adams,C,30.18,11.8,7.9,1.2,1.1,1.0,1.9,25.4,$4900,5.18
Jeremy Lin,PG,23.57,14.1,3.2,4.8,1.0,0.3,2.4,25.3,$5800,4.37
Eric Gordon,SG,31.90,16.8,2.9,3.1,0.7,0.4,1.8,25.3,$4800,5.28
Alex Len,C,25.86,10.5,8.9,0.9,0.8,1.5,1.9,25.2,$5000,5.05
Patrick Beverley,PG,31.00,10.2,5.4,4.1,1.6,0.4,1.6,25.2,$5300,4.76
Taurean Prince,SF,29.96,10.8,6.2,2.3,1.5,1.2,1.9,25.2,$3800,6.63
T.J. McConnell,PG,30.46,7.9,3.9,7.2,1.9,0.1,2.2,25.2,$5500,4.58
Willie Cauley-Stein,PF,29.44,12.2,6.6,1.4,1.1,1.1,1.6,25.0,$6100,4.1
Tyler Johnson,PG,29.95,13.6,3.9,3.0,1.2,0.5,1.3,24.9,$6000,4.15
Frank Kaminsky,PF,29.29,13.4,4.9,2.4,0.9,0.6,1.3,24.6,$5400,4.55
Michael Kidd-Gilchrist,SF,29.11,10.2,7.3,1.4,1.0,0.9,0.8,24.1,$4800,5.01
Marvin Williams,PF,30.22,12.0,6.4,1.5,0.8,0.7,0.9,24.0,$6500,3.7
Thaddeus Young,PF,30.40,11.7,5.8,1.7,1.6,0.5,1.4,24.0,$4400,5.46
Trevor Ariza,SF,34.08,11.7,5.1,2.2,1.7,0.2,1.0,23.9,$5000,4.78
Rajon Rondo,PG,26.54,7.7,4.8,6.5,1.4,0.2,2.5,23.9,$5800,4.12
Ivica Zubac,C,23.51,11.7,6.7,1.2,0.4,1.4,1.3,23.8,$4400,5.42
Jameer Nelson,PG,31.75,11.2,2.8,6.1,0.9,0.1,2.0,23.7,$5000,4.74
Darren Collison,PG,30.66,13.3,2.4,4.6,1.0,0.1,1.6,23.7,$5400,4.39
Buddy Hield,SG,32.99,14.5,4.9,2.3,0.4,0.2,1.7,23.3,$5400,4.32
Will Barton,SG,25.98,12.3,4.1,3.2,0.7,0.5,1.5,22.9,$6300,3.64
Josh Richardson,SG,34.76,11.3,4.1,2.8,1.1,0.7,1.3,22.7,$4600,4.94
Tyreke Evans,SG,20.39,12.0,3.7,3.8,0.9,0.2,1.7,22.6,$5500,4.12
Marcus Smart,SG,29.87,10.1,3.7,4.3,1.5,0.3,2.1,22.5,$5800,3.88
Malcolm Brogdon,PG,29.23,11.3,3.1,4.4,1.2,0.1,1.8,22.4,$5600,4
T.J. Warren,SF,29.70,12.8,4.6,1.2,1.0,0.5,0.9,22.2,$6400,3.47
Robin Lopez,C,27.62,10.3,6.4,1.1,0.2,1.5,1.2,21.8,$4700,4.64
Nikola Mirotic,PF,25.93,11.2,5.7,1.1,0.9,0.8,1.3,21.8,$4600,4.74
JaMychal Green,PF,27.80,9.4,7.7,1.1,0.7,0.6,1.2,21.7,$4100,5.29
Georgios Papagiannis,C,23.39,8.1,8,0.2,0.1,1.9,0.4,21.6,$3500,6.17
Larry Nance Jr.,PF,25.62,8.0,6.6,1.7,1.3,0.8,1.1,21.6,$4000,5.39
Al-Farouq Aminu,PF,28.70,8.4,7.3,1.6,0.9,0.8,1.7,21.3,$4500,4.72
Maurice Harkless,SF,28.84,10.2,5.1,1.3,1.1,0.9,1.3,21.0,$3600,5.83
Tony Allen,SG,27.61,9.5,5.5,1.4,1.7,0.4,1.5,20.9,$4100,5.1
J.J. Redick,SG,27.90,15.1,2.4,1.5,0.7,0.2,1.2,20.8,$4300,4.84
Marquese Chriss,PF,25.37,10.7,5,1.0,1.0,1.0,1.4,20.8,$5100,4.08
Denzel Valentine,SG,29.28,10.1,5.2,2.1,1.1,0.2,1.5,20.6,$4300,4.79
Ty Lawson,PG,25.37,9.7,2.7,4.7,1.1,0.1,1.9,20.5,$5100,4.02
Brandon Ingram,SF,34.96,10.5,4.8,2.3,0.7,0.4,1.5,20.4,$4500,4.54
Noah Vonleh,PF,26.18,7.2,8.4,0.8,0.8,0.8,1.4,20.3,$3800,5.34
Rondae Hollis-Jefferson,SF,22.29,8.9,5.6,1.9,1.0,0.5,1.6,19.9,$4700,4.23
Kelly Olynyk,C,21.11,9.6,5.3,2.2,0.7,0.3,1.5,19.8,$4200,4.7
Evan Turner,SF,25.63,9.3,3.6,3.4,0.8,0.3,1.6,19.3,$4100,4.71
Sam Dekker,SF,24.97,9.7,5.1,1.3,0.9,0.3,1.0,19.2,$3500,5.48
Austin Rivers,PG,27.59,12.2,2.3,2.8,0.7,0.1,1.6,19.2,$4100,4.67
Jordan Crawford,SG,20.87,13.3,2.2,2.2,0.5,0.1,1.4,19.0,$3500,5.44
Bobby Portis,PF,21.14,9.8,6.4,1.0,0.2,0.3,1.0,19.0,$4300,4.41
Andre Iguodala,SF,26.35,7.3,3.9,3.3,1.0,0.4,0.8,18.9,$4800,3.94
Tim Frazier,SG,23.13,7.3,2.8,5.1,0.9,0.1,1.7,18.6,$3700,5.03
Ian Clark,SG,16.37,11.9,2.2,1.8,1.3,0.0,1.3,18.5,$3600,5.15
Monta Ellis,SG,26.58,9.2,2.7,3.5,1.0,0.3,1.8,18.5,$4400,4.2
Matt Barnes,SF,24.87,7.7,5.1,2.7,0.7,0.3,1.5,18.4,$3900,4.71
Jamal Crawford,SG,26.06,12.0,1.7,2.6,0.8,0.2,1.6,18.3,$3900,4.7
Garrett Temple,SG,26.37,8.3,2.8,2.8,1.2,0.5,1.3,18.0,$4100,4.38
Derrick Jones Jr.,SF,25.67,8.7,5.1,1.0,0.4,0.8,0.8,17.9,$3500,5.12
Jeremy Lamb,SG,17.49,9.9,4.5,1.2,0.4,0.4,0.8,17.9,$4700,3.81
Taj Gibson,PF,21.21,9.2,5.4,0.8,0.5,0.6,1.3,17.8,$4100,4.34
E'Twaun Moore,SG,25.39,10.1,2.4,2.3,0.7,0.4,0.9,17.7,$3800,4.67
Andre Roberson,SF,29.36,7.1,5,1.0,1.0,0.8,0.7,17.5,$3800,4.61
Marco Belinelli,SF,24.35,11.0,2.6,1.9,0.7,0.1,1.1,17.5,$3900,4.48
Allen Crabbe,SG,28.42,10.7,3.1,1.3,0.7,0.2,0.9,17.3,$3800,4.54
Kenneth Faried,PF,17.00,7.7,6,0.7,0.5,0.5,0.9,17.1,$5000,3.41
Kris Humphries,PF,9.12,7.6,5.2,0.8,0.4,0.8,0.8,16.6,$3500,4.75
