Name,Position,Min,Pts,Reb,Ast,Stl,Blk,TO,FP,Cost,Value
Anthony Davis,PF,37.55,27.5,12,2.2,1.2,2.3,2.5,49.7,$11500,4.32
John Wall,PG,35.95,22.0,4.6,9.8,2.1,0.6,4.2,43.4,$9700,4.48
Jimmy Butler,SF,37.48,25.8,6.7,4.9,1.8,0.4,2.3,43.3,$9600,4.51
Chris Paul,PG,31.70,18.1,5,9.7,2.3,0.1,2.3,41.2,$9500,4.33
Kawhi Leonard,SF,33.25,24.4,6,3.4,1.9,0.9,1.9,40.4,$8700,4.64
Eric Bledsoe,PG,33.12,19.6,4.7,5.6,1.5,0.5,3.1,34.5,$7700,4.49
Gordon Hayward,SF,34.62,21.4,5.3,3.7,1.1,0.3,2.2,33.9,$7600,4.46
Julius Randle,PF,34.05,15.7,10,3.8,0.9,0.7,2.9,33.7,$6700,5.03
DeAndre Jordan,C,31.51,11.9,13.3,0.9,0.6,1.8,1.6,32.4,$7900,4.1
Rudy Gobert,C,33.40,12.1,11.9,0.9,0.7,2.5,1.8,32.3,$7500,4.31
Bradley Beal,SG,35.07,22.5,3.1,3.6,1.0,0.3,2.0,32.2,$7000,4.6
Nikola Vucevic,C,28.99,14.1,10,2.6,0.8,1.1,1.6,32.2,$6700,4.81
LaMarcus Aldridge,PF,32.32,18.0,7.8,2.0,0.6,1.0,1.5,32.1,$7300,4.39
Dwyane Wade,SG,30.68,19.0,3.9,4.3,1.5,0.6,2.4,31.9,$7200,4.43
D'Angelo Russell,PG,32.86,17.8,4.4,5.5,1.5,0.3,3.1,31.8,$6200,5.13
Marcin Gortat,C,35.01,11.9,11.8,1.6,0.5,1.4,1.8,30.5,$6100,4.99
Pau Gasol,C,27.15,13.4,8.4,2.8,0.5,1.4,1.4,30.1,$6600,4.56
George Hill,PG,31.61,18.0,3.6,4.4,1.1,0.2,1.5,30.0,$6100,4.92
Jrue Holiday,PG,30.56,13.7,3.6,6.7,1.3,0.4,2.5,29.0,$6800,4.26
Serge Ibaka,PF,30.67,14.7,7.3,1.1,0.5,1.7,1.3,28.2,$6500,4.34
Otto Porter,SF,33.40,14.1,6.5,1.7,1.6,0.7,1.0,28.1,$6200,4.52
Nerlens Noel,PF,24.90,12.4,6.9,1.0,1.4,1.4,1.0,26.8,$4700,5.7
Tyreke Evans,SG,26.25,13.4,4.2,5.3,1.0,0.2,2.2,26.6,$5600,4.75
Devin Booker,SG,33.04,18.6,2.9,3.1,0.9,0.2,2.5,26.4,$6300,4.2
Markieff Morris,PF,32.03,14.1,6,1.9,1.3,0.6,1.9,26.1,$5700,4.57
T.J. McConnell,PG,31.19,7.6,4.3,7.4,2.1,0.1,2.4,25.9,$5400,4.79
Elfrid Payton,PG,29.31,11.4,3.5,5.8,1.1,0.5,2.0,25.5,$4800,5.31
Evan Fournier,SG,32.81,16.5,3,3.3,1.0,0.1,2.1,25.2,$5300,4.75
Ersan Ilyasova,PF,28.56,14.3,6.3,1.6,0.6,0.3,1.4,24.7,$5900,4.18
Derrick Favors,PF,26.97,10.9,6.8,1.2,0.9,1.3,1.4,23.9,$4700,5.08
Robert Covington,SF,30.42,10.7,6.2,1.6,1.7,0.9,2.0,23.7,$5500,4.32
Austin Rivers,PG,32.68,14.5,2.6,3.3,1.1,0.1,1.6,23.4,$4300,5.43
