Name,Position,Min,Pts,Reb,Ast,Stl,Blk,TO,FP,Cost,Value
DeMarcus Cousins,FC,34.83,24.4,11.3,3.5,1.5,1.2,3.6,45.0,$9700,4.64
Damian Lillard,PG,35.79,25.5,4.1,6.5,1.0,0.3,3.0,39.8,$9700,4.1
Marc Gasol,C,36.23,18.4,8.9,4.6,1.0,1.6,2.7,38.5,$7200,5.34
Kyle Lowry,PG,36.04,20.0,4.7,6.5,2.3,0.4,3.4,37.4,$7500,4.99
Carmelo Anthony,F,36.74,22.8,6.7,3.9,0.9,0.4,2.6,36.7,$7400,4.96
Isaiah Thomas,PG,32.40,23.0,3,6.5,1.3,0.1,2.7,36.5,$8100,4.5
DeMar DeRozan,GF,35.73,24.0,4.8,3.9,1.0,0.2,2.3,35.7,$8800,4.06
Eric Bledsoe,G,34.69,17.2,4.7,7.6,1.6,0.6,3.1,35.5,$7500,4.74
Mike Conley,PG,34.72,18.7,3.8,6.8,1.6,0.2,1.8,35.3,$7000,5.04
Giannis Antetokounmpo,SF,34.86,16.3,7.7,4.7,1.2,1.3,2.4,35.2,$9900,3.55
C.J. McCollum,G,35.26,20.5,3.5,4.4,1.1,0.4,2.5,31.8,$6600,4.82
Brandon Knight,G,33.16,17.1,3.8,5.5,1.3,0.3,3.0,30.1,$4900,6.14
Rudy Gay,F,36.12,17.4,6.2,1.6,1.3,0.8,2.1,29.3,$7300,4.02
Kristaps Porzingis,FC,31.16,15.2,7.8,0.9,0.8,1.7,1.7,29.2,$6400,4.56
Jonas Valanciunas,C,29.64,14.3,9.9,0.8,0.5,1.3,1.9,29.1,$6100,4.77
Julius Randle,PF,28.86,13.9,9.7,2.0,0.6,0.4,2.1,28.4,$6300,4.51
Danilo Gallinari,SF,36.33,18.3,4.9,2.3,0.9,0.3,1.6,28.4,$6500,4.37
Rudy Gobert,C,30.42,8.9,11,1.4,0.6,2.2,1.7,28.1,$6700,4.19
Zach Randolph,FC,28.40,15.4,8,1.8,0.6,0.1,1.5,27.6,$5400,5.11
Greg Monroe,FC,26.07,13.1,8.1,2.1,0.8,0.7,1.6,27.4,$5900,4.64
Mason Plumlee,FC,29.94,9.8,8.4,2.8,1.1,1.2,1.9,26.8,$5300,5.05
Louis Williams,SG,29.79,18.0,2.9,3.0,1.2,0.2,2.0,26.8,$4700,5.7
