Name,Position,Min,Pts,Reb,Ast,Stl,Blk,TO,FP,Cost,Value
Russell Westbrook,PG,34.69,27.1,9,10.5,1.7,0.3,4.5,53.2,$12600,4.22
DeMarcus Cousins,C,34.57,26.5,11.5,3.3,1.4,1.5,3.6,47.5,$10900,4.35
Anthony Davis,PF,37.30,25.3,11,2.0,1.3,2.3,2.3,46.4,$11900,3.9
Blake Griffin,PF,36.21,23.9,9.1,4.4,1.2,1.1,2.5,43.5,$9000,4.84
Chris Paul,PG,33.02,18.7,4.7,8.4,2.2,0.3,2.6,39.3,$9100,4.32
Paul George,SF,35.90,22.3,6.8,4.1,1.9,0.5,2.9,38.5,$8300,4.64
Andre Drummond,C,31.76,15.4,14.2,1.0,1.4,1.3,1.8,37.5,$7900,4.75
Kristaps Porzingis,PF,34.63,20.2,8.9,1.4,0.9,1.8,1.8,36.6,$7500,4.88
Carmelo Anthony,SF,35.50,22.2,6.5,3.4,1.0,0.4,2.6,35.3,$7800,4.53
Jeff Teague,PG,32.93,15.7,4.2,7.1,1.5,0.6,3.0,32.6,$7200,4.53
Jrue Holiday,PG,30.93,17.3,3.5,6.4,1.1,0.4,3.0,31.1,$7100,4.38
Rudy Gay,SF,34.71,17.9,6.3,2.4,1.4,0.6,2.2,30.9,$7000,4.41
DeAndre Jordan,C,30.52,11.2,11.7,0.8,0.6,1.8,1.3,29.9,$6800,4.4
Nikola Vucevic,C,28.33,14.3,8.8,2.2,0.6,0.8,1.6,29.4,$7100,4.14
Derrick Rose,PG,32.49,16.4,4.1,5.2,0.8,0.3,2.5,28.8,$6600,4.37
Serge Ibaka,PF,31.06,14.0,7.8,1.1,0.4,1.6,1.4,27.6,$6200,4.45
Tobias Harris,PF,34.02,16.6,5.4,2.2,0.8,0.5,1.5,27.5,$5800,4.74
Myles Turner,C,28.82,11.8,8.1,1.2,0.7,1.7,1.4,26.7,$6400,4.18
Ishmael Smith,PG,30.66,12.0,3.4,6.4,1.1,0.4,2.1,26.6,$5700,4.66
Victor Oladipo,SG,30.31,15.6,4.1,3.2,1.1,0.2,1.9,26.0,$6400,4.07
Tim Frazier,PG,31.64,12.2,3.3,6.5,1.0,0.1,2.6,25.5,$4900,5.21
Thaddeus Young,PF,31.01,12.4,7.3,1.7,1.2,0.4,1.6,25.3,$5200,4.87
Evan Fournier,SG,33.91,15.8,3.2,3.3,1.0,0.2,2.0,25.0,$5900,4.24
Monta Ellis,SG,32.84,12.1,3.5,4.3,1.7,0.4,2.3,24.7,$4800,5.14
Enes Kanter,PF,21.99,14.0,7.4,0.6,0.4,0.6,1.4,24.4,$4900,4.98
Elfrid Payton,PG,29.54,10.6,3.5,5.7,1.3,0.4,2.4,24.4,$5200,4.68
Kentavious Caldwell-Pope,SG,34.98,14.5,3.7,2.4,1.2,0.2,1.2,24.1,$5700,4.24
Steven Adams,C,28.44,10.2,8,0.7,0.8,1.4,1.5,23.8,$4700,5.05
Marcus Morris,SF,32.92,13.6,4.1,2.4,0.8,0.3,1.5,22.8,$4800,4.75
Darren Collison,PG,29.61,12.6,2.3,4.4,1.1,0.1,1.9,22.5,$5700,3.94
Jon Leuer,PF,25.65,10.4,6.6,1.1,0.5,0.7,1.2,21.2,$4600,4.6
Terrence Jones,PF,24.72,10.1,5.8,1.1,0.8,0.9,1.2,20.9,$4800,4.36
J.J. Redick,SG,28.38,14.8,2.5,1.5,0.8,0.1,1.3,20.6,$4400,4.67
Matt Barnes,SF,26.29,9.0,5,2.3,0.9,0.8,1.8,20.1,$4200,4.77
Brandon Jennings,PG,24.26,8.3,2.6,5.2,1.0,0.1,1.6,19.8,$4000,4.96
Jamal Crawford,SG,26.73,13.9,1.9,2.3,0.6,0.1,1.5,19.5,$3800,5.14
Joakim Noah,C,19.28,4.8,7.5,2.8,0.5,0.7,1.1,19.3,$4300,4.49
Justin Holiday,SG,27.85,8.9,4.2,2.0,1.1,0.3,1.3,18.4,$4100,4.5
Andre Roberson,SF,28.57,7.6,4.4,1.4,1.1,0.9,0.7,18.3,$4000,4.57
Courtney Lee,SG,29.74,10.3,2.9,1.8,1.0,0.3,1.0,18.1,$3900,4.64
Bismack Biyombo,C,22.45,5.5,7.1,0.7,0.3,1.7,1.1,18.0,$4300,4.18
C.J. Miles,SF,22.12,10.9,2.7,1.1,1.0,0.4,0.8,17.8,$4700,3.79
Solomon Hill,SF,26.99,6.8,4.5,1.9,1.4,0.4,1.2,17.5,$3700,4.72
Marreese Speights,PF,15.37,9.1,4.7,0.9,0.4,0.5,0.9,17.0,$3600,4.72
Domantas Sabonis,PF,23.77,8.4,4.1,1.5,0.8,0.4,1.2,16.8,$3600,4.66
Kyle O'Quinn,C,17.63,6.6,5.5,0.8,0.5,1.2,1.2,16.6,$3900,4.26
Aaron Gordon,SF,22.97,7.8,4.4,1.3,0.7,0.5,0.9,16.5,$4100,4.03
Al Jefferson,C,16.46,8.4,4.9,0.8,0.3,0.5,0.6,16.5,$3800,4.34
Kosta Koufos,C,20.91,6.7,6.3,0.6,0.4,0.7,0.9,16.5,$3500,4.7
Langston Galloway,SG,21.83,8.6,2.9,1.7,1.1,0.1,0.8,16.2,$3500,4.64
Jodie Meeks,SG,19.57,9.2,2.1,1.7,1.4,0.1,1.1,16.2,$3500,4.62
Omer Asik,C,21.70,5.3,6.7,0.5,0.3,1.2,1.0,16.1,$3600,4.47
E'Twaun Moore,SG,22.78,9.1,2.3,2.2,0.5,0.3,1.0,15.8,$4200,3.75
Ty Lawson,PG,20.92,6.3,2.3,4.0,0.8,0.2,1.4,15.7,$4100,3.82
Jeff Green,SF,23.92,8.8,3.5,1.3,0.5,0.3,1.1,15.5,$3700,4.18
Glenn Robinson III,SF,22.83,8.0,4,1.1,0.6,0.2,0.7,15.4,$4700,3.27
Rodney Stuckey,SG,20.46,8.6,2.4,2.3,0.7,0.1,1.5,15.0,$3900,3.85
Arron Afflalo,SG,25.43,9.2,2.7,1.3,0.4,0.1,0.7,14.7,$3500,4.2
Reggie Jackson,PG,18.57,8.5,2.4,2.0,0.6,0.1,1.2,14.6,$7200,2.03
Willie Cauley-Stein,PF,18.69,6.6,4.4,0.4,0.5,0.8,0.9,14.2,$3500,4.05
Austin Rivers,PG,21.17,8.0,2.1,1.9,0.7,0.1,1.0,14.0,$3600,3.88
Kevin Seraphin,PF,12.85,5.9,4.6,0.8,0.4,0.7,0.9,13.9,$3700,3.76
Jerami Grant,SF,16.73,6.4,3.4,0.7,0.5,1.0,0.8,13.7,$3500,3.92
Joffrey Lauvergne,C,14.51,6.9,3.9,0.9,0.4,0.3,0.7,13.6,$3500,3.89
Garrett Temple,PG,22.73,6.0,2.9,1.7,0.9,0.3,0.8,13.6,$3500,3.89
D.J. Augustin,PG,19.32,7.5,1.5,3.1,0.4,0.1,1.4,13.6,$3900,3.47
