Name,Position,Min,Pts,Reb,Ast,Stl,Blk,TO,FP,Cost,Value
Karl-Anthony Towns,C,38.46,25.1,12.3,2.7,0.7,1.4,2.6,45.5,$10600,4.29
Nikola Jokic,PF,31.41,19.4,10.6,4.7,0.9,1.0,2.6,40.4,$9900,4.08
Enes Kanter,PF,28.16,20.8,9.9,1.4,0.4,1.1,2.4,35.4,$5500,6.43
Ricky Rubio,PG,37.03,12.6,4.7,10.0,2.1,0.1,3.1,34.5,$7700,4.49
Paul Millsap,PF,32.51,17.4,7.6,3.2,1.3,1.0,2.2,33.7,$7500,4.5
Dwight Howard,C,29.97,13.1,12.3,1.3,0.8,1.5,2.2,32.2,$7200,4.47
Andrew Wiggins,SF,37.17,23.1,3.9,2.3,1.0,0.4,2.3,31.7,$8100,3.92
Dennis Schroder,PG,33.11,18.8,3.4,6.3,1.1,0.2,3.5,31.4,$7200,4.37
Tyler Ennis,PG,36.69,17.0,4.2,6.1,1.7,0.0,3.3,31.3,$4000,7.82
Julius Randle,PF,31.52,14.2,9.3,3.6,0.7,0.6,2.5,30.9,$6400,4.82
Gorgui Dieng,PF,35.87,11.3,8.8,2.0,1.2,1.3,1.4,28.5,$5700,4.99
Wilson Chandler,SF,33.14,16.2,6.5,2.0,0.9,0.6,1.7,28.3,$6500,4.35
T.J. Warren,SF,34.35,16.4,5.6,1.5,1.3,0.5,1.2,27.8,$6500,4.27
Nicolas Batum,SG,30.82,13.1,5.3,5.1,1.0,0.4,2.5,27.4,$6600,4.15
Skal Labissiere,PF,31.61,14.4,7.9,1.4,1.1,0.4,1.9,27.1,$4500,6.02
Jordan Clarkson,PG,34.09,17.1,3.7,3.4,1.2,0.1,2.4,26.8,$5500,4.88
Tim Hardaway Jr.,SG,33.35,17.8,3.5,2.9,0.9,0.2,1.9,26.7,$5800,4.59
Jamal Murray,PG,36.10,15.2,4.6,3.0,1.2,0.3,2.0,26.2,$4600,5.7
Jrue Holiday,PG,25.04,12.2,3.2,5.9,1.3,0.5,2.3,26.2,$7400,3.54
Mason Plumlee,C,26.41,9.9,7.5,3.2,0.8,1.1,1.6,25.9,$5300,4.89
Buddy Hield,SG,33.66,15.7,5,2.4,0.9,0.1,1.9,25.4,$5500,4.62
Tyler Ulis,PG,35.35,12.4,2.7,6.3,1.3,0.1,2.5,25.4,$6400,3.97
Larry Nance Jr.,PF,29.43,8.9,7.8,2.1,1.5,1.0,1.3,25.1,$4600,5.46
Alexis Ajinca,C,28.19,10.1,9.2,0.8,1.0,1.2,1.7,25.0,$3700,6.77
