Name,Position,Min,Pts,Reb,Ast,Stl,Blk,TO,FP,Cost,Value
Russell Westbrook,PG,37.52,27.1,7.4,10.8,2.2,0.2,4.5,52.5,$12000,4.37
James Harden,GF,37.39,25.2,6,7.8,1.7,0.6,4.3,44.4,$11200,3.96
Blake Griffin,FC,36.33,24.7,9.2,4.0,0.9,0.7,2.6,42.3,$9100,4.65
Andre Drummond,FC,33.15,15.9,15,1.2,1.6,1.3,1.8,39.7,$8000,4.96
Chris Paul,PG,33.23,19.1,3.8,8.9,2.2,0.1,2.8,38.8,$9000,4.31
Anthony Davis,FC,35.62,20.2,10.4,1.9,1.0,1.7,2.2,38.7,$10700,3.62
Paul Millsap,FC,32.51,17.6,9.4,3.6,1.8,1.6,2.4,38.7,$8400,4.6
Damian Lillard,PG,35.20,22.4,4.1,7.2,1.1,0.3,3.1,37.8,$9900,3.82
Jimmy Butler,GF,36.82,21.5,6,4.4,1.6,0.5,2.1,37.4,$7900,4.73
Kemba Walker,PG,34.23,21.0,4.6,5.6,1.7,0.4,2.1,37.0,$8300,4.46
Carmelo Anthony,F,35.74,23.1,7,4.0,0.8,0.4,3.0,36.9,$7500,4.92
Eric Bledsoe,G,36.73,18.1,5.1,7.7,1.6,0.5,3.1,36.9,$7500,4.92
John Wall,PG,33.79,17.8,3.8,8.8,1.6,0.6,3.1,36.9,$8700,4.24
Kyle Lowry,PG,36.57,19.4,4.8,6.6,2.0,0.4,3.1,36.8,$7400,4.97
Marc Gasol,C,32.48,16.1,8.6,3.8,1.1,1.8,2.3,35.6,$6800,5.24
Isaiah Thomas,PG,32.93,22.5,3,6.4,1.2,0.2,2.9,35.6,$8000,4.45
DeAndre Jordan,C,34.13,13.3,14.3,0.9,0.6,1.7,1.3,35.1,$7500,4.68
DeMar DeRozan,GF,35.69,22.0,4.8,3.9,1.1,0.3,2.1,34.3,$8100,4.24
Dwight Howard,FC,31.13,13.5,11.7,1.2,1.0,2.4,2.0,34.1,$8200,4.16
Rajon Rondo,PG,34.26,12.1,6.2,8.7,2.0,0.4,3.4,34.0,$6900,4.93
C.J. McCollum,G,35.16,20.9,3.8,4.9,1.5,0.3,2.7,33.7,$7300,4.62
Al Horford,FC,32.19,15.7,6.7,3.3,0.7,1.7,1.2,32.3,$6700,4.82
Kristaps Porzingis,FC,32.25,15.7,8.2,1.7,0.8,2.1,1.8,32.1,$6800,4.72
Dwyane Wade,G,31.89,18.2,4,5.6,1.2,0.6,3.0,32.0,$6900,4.64
Brook Lopez,C,29.52,18.5,6.8,1.9,0.7,1.4,2.2,31.5,$6900,4.57
Victor Oladipo,G,35.60,19.3,4.6,3.6,1.2,0.6,2.5,31.3,$7000,4.47
Mike Conley,PG,33.89,15.2,3.7,6.9,1.4,0.2,2.3,30.9,$6600,4.68
Nicolas Batum,GF,32.96,15.1,5.7,5.7,1.0,0.5,2.7,30.8,$6400,4.81
Ishmael Smith,PG,31.44,13.3,4.4,7.5,1.3,0.3,2.6,30.4,$6000,5.07
Dennis Schroder,PG,30.43,16.4,3.4,6.3,1.5,0.2,3.1,30.2,$6500,4.65
Marcin Gortat,C,31.92,13.9,9.7,1.2,0.5,1.2,1.6,29.1,$5900,4.94
Dirk Nowitzki,FC,30.53,16.3,7.1,1.5,0.6,1.0,1.2,29.1,$7100,4.09
Markieff Morris,FC,31.31,15.7,7.4,2.2,0.9,0.7,2.3,28.8,$5800,4.96
Jonas Valanciunas,C,30.46,13.1,9.6,1.0,0.4,1.7,1.8,28.5,$6400,4.46
Jeremy Lin,G,34.01,17.0,4,4.2,1.0,0.5,2.6,28.5,$6500,4.38
Rudy Gobert,C,32.10,10.1,11.2,0.9,0.4,2.2,1.7,28.4,$7100,4
Ryan Anderson,FC,33.91,16.7,6.8,1.5,0.8,0.4,1.4,28.1,$5500,5.11
Steven Adams,C,34.58,11.2,10.2,1.0,0.9,1.5,1.7,28.0,$5000,5.61
Tobias Harris,F,33.71,14.6,7,2.0,1.0,0.6,1.3,27.9,$6200,4.5
Derrick Rose,PG,32.58,15.8,3.9,5.2,0.8,0.3,2.6,27.9,$5700,4.89
Robert Covington,F,34.49,13.4,7.7,1.8,1.7,0.8,2.5,27.8,$4900,5.68
Tim Frazier,PG,34.97,10.6,3.8,8.1,1.1,0.1,2.6,27.1,$5500,4.93
