Name,Position,Min,Pts,Reb,Ast,Stl,Blk,TO,FP,Cost,Value
Russell Westbrook,PG,37.27,29.9,9.2,10.4,1.7,0.3,5.4,55.1,$12800,4.31
Anthony Davis,PF,38.44,27.7,11.2,2.4,1.1,2.4,2.4,49.3,$11700,4.22
DeMarcus Cousins,C,35.43,27.7,11.6,3.4,1.2,1.5,3.2,48.9,$11300,4.33
James Harden,SG,37.26,26.4,6.9,9.7,1.6,0.4,4.8,48.4,$11400,4.25
LeBron James,SF,36.67,26.8,7.5,8.1,1.3,0.6,3.5,48.3,$10100,4.78
Giannis Antetokounmpo,SG,37.72,22.1,8.6,5.4,2.0,2.1,3.3,45.4,$10400,4.37
John Wall,PG,37.72,22.9,4.4,10.1,2.1,0.6,4.2,44.5,$9900,4.5
Karl-Anthony Towns,C,38.29,23.1,12.2,2.6,0.8,1.9,2.9,44.1,$9400,4.7
Damian Lillard,PG,38.73,28.3,4.7,6.4,1.0,0.2,3.1,42.8,$9000,4.76
Kevin Durant,SF,33.42,24.4,7.7,4.2,1.2,1.3,2.6,42.3,$9700,4.36
Hassan Whiteside,C,36.47,18.4,14.3,0.8,0.8,2.6,2.0,41.6,$9600,4.33
Chris Paul,PG,33.28,19.9,4.9,9.0,2.1,0.2,2.5,41.4,$9700,4.27
Kawhi Leonard,SF,33.00,23.3,6.3,4.1,2.0,0.8,2.1,40.5,$8000,5.06
Jimmy Butler,SF,37.71,24.0,6.2,4.6,1.7,0.4,2.1,40.4,$8400,4.81
Stephen Curry,PG,32.61,23.3,4.3,6.2,1.9,0.2,2.7,39.3,$8700,4.51
Kyle Lowry,PG,37.51,21.8,4.8,6.8,1.7,0.3,2.7,39.1,$7900,4.94
Paul Millsap,PF,34.08,18.6,9,3.5,1.8,1.2,2.2,38.5,$8300,4.63
Kevin Love,PF,32.41,21.5,10.1,2.2,1.1,0.5,2.0,38.1,$8500,4.48
Kemba Walker,PG,35.56,22.8,4.3,5.8,1.4,0.3,2.3,37.8,$8000,4.72
DeMar DeRozan,SG,36.55,26.0,4.7,4.1,1.1,0.1,2.5,37.7,$7900,4.77
Marc Gasol,C,34.70,20.0,7.4,4.1,0.9,1.5,2.2,37.6,$8600,4.38
Isaiah Thomas,PG,33.83,24.4,2.7,6.5,0.9,0.2,2.3,37.3,$8200,4.55
Andre Drummond,C,31.45,15.2,13.3,1.1,1.4,1.2,1.9,36.1,$7800,4.63
Al Horford,C,33.39,16.6,8.1,4.1,0.7,2.0,1.9,36.0,$7900,4.55
Kyrie Irving,PG,34.35,23.6,3.9,5.3,0.9,0.2,2.6,35.8,$7500,4.78
Brook Lopez,C,30.66,20.2,7.1,2.5,0.7,1.8,2.1,35.4,$7600,4.65
Eric Bledsoe,PG,32.25,19.6,4.9,5.7,1.6,0.3,3.0,34.8,$8100,4.3
Draymond Green,PF,32.19,11.3,8.3,6.6,1.7,1.2,2.3,34.7,$7900,4.39
Goran Dragic,PG,36.40,19.4,4.5,6.6,1.1,0.3,3.0,34.5,$7500,4.6
DeAndre Jordan,C,34.49,12.4,13.7,0.9,0.7,2.1,1.5,34.3,$7400,4.63
Rudy Gobert,C,35.25,13.0,12,0.9,0.7,2.8,1.7,34.1,$7700,4.42
Gordon Hayward,SF,35.49,21.0,5.3,4.0,0.9,0.3,2.2,33.6,$7600,4.42
Joel Embiid,C,28.27,17.6,8.1,1.9,0.8,2.3,3.1,33.3,$7200,4.62
Andrew Wiggins,SF,38.95,23.6,4.6,2.5,0.7,0.5,2.5,32.8,$6500,5.04
Dennis Schroder,PG,32.59,18.2,3.6,7.1,1.1,0.3,3.3,32.7,$7100,4.6
Nicolas Batum,SG,35.32,15.7,6.9,5.6,1.0,0.4,2.7,32.5,$7200,4.51
Jrue Holiday,PG,34.76,16.9,4,6.5,1.3,0.5,2.9,32.2,$7200,4.47
Nikola Vucevic,C,28.73,14.8,9.7,2.4,0.8,0.9,1.5,31.9,$7200,4.44
C.J. McCollum,SG,34.35,21.1,3.5,4.0,1.0,0.5,2.4,31.9,$6800,4.69
Bradley Beal,SG,36.36,22.4,3.5,3.4,0.9,0.2,2.2,31.7,$7200,4.4
Marcin Gortat,C,36.37,13.0,11.9,1.5,0.6,1.3,1.7,31.6,$6500,4.87
LaMarcus Aldridge,PF,31.85,17.3,7.6,1.9,0.7,1.2,1.7,31.4,$6500,4.83
Dwyane Wade,SG,31.47,19.0,4.2,4.1,1.3,0.5,2.5,31.3,$7000,4.47
Zach LaVine,SG,39.45,21.4,3.5,3.6,0.9,0.2,2.3,30.9,$6600,4.68
Mike Conley,PG,30.71,16.8,3.1,5.8,1.4,0.4,2.0,30.8,$7200,4.28
Jabari Parker,PF,34.70,19.4,5.7,2.1,1.2,0.3,1.7,30.7,$6800,4.51
Jeremy Lin,PG,31.56,15.6,4,6.1,1.3,0.6,2.9,30.5,$6400,4.76
Gorgui Dieng,PF,35.77,12.1,9.4,2.3,1.1,1.7,2.0,30.4,$5700,5.34
D'Angelo Russell,PG,32.82,17.4,4.2,5.3,1.4,0.4,3.7,30.3,$5900,5.13
Nikola Jokic,PF,28.37,12.6,8.7,3.4,0.9,0.8,1.7,29.8,$6700,4.45
Ricky Rubio,PG,34.50,9.8,4.6,8.7,1.9,0.1,2.6,29.8,$5700,5.22
Serge Ibaka,PF,32.01,15.5,7.6,1.0,0.5,1.7,1.2,29.3,$6500,4.51
Avery Bradley,SG,34.87,17.3,5.9,2.4,1.2,0.3,1.9,29.1,$6800,4.28
Klay Thompson,SG,32.38,20.3,3.7,2.0,0.8,0.5,1.7,28.6,$6300,4.55
Rajon Rondo,PG,33.63,9.0,6.2,7.9,1.5,0.2,3.1,28.6,$5900,4.85
