Name,Position,Min,Pts,Reb,Ast,Stl,Blk,TO,FP,Cost,Value
James Harden,SG,37.62,29.4,6.5,9.0,1.6,0.4,4.6,50.1,$11700,4.28
DeMarcus Cousins,C,34.79,26.3,11.7,3.2,1.4,1.4,3.3,47.4,$11100,4.27
LeBron James,SF,36.48,24.5,7.5,7.7,1.4,0.5,3.6,45.3,$9600,4.71
Kevin Durant,SF,35.45,26.7,7.5,4.3,1.2,1.4,3.2,44.2,$10200,4.33
Hassan Whiteside,C,37.35,17.4,15,0.8,0.8,3.4,2.1,42.9,$8900,4.82
Stephen Curry,PG,34.65,27.3,4.5,6.4,1.6,0.3,3.4,42.7,$9100,4.69
Blake Griffin,PF,34.63,22.3,9.3,4.8,1.0,0.9,2.4,42.1,$9400,4.47
Giannis Antetokounmpo,SG,35.77,19.8,8.4,5.3,1.7,2.0,3.2,42.0,$10200,4.12
Chris Paul,PG,33.93,19.1,4.5,9.0,2.6,0.2,2.3,41.3,$9100,4.54
Damian Lillard,PG,36.80,26.2,4.8,6.2,1.1,0.3,2.9,41.2,$9800,4.2
Paul George,SF,34.89,21.8,6.5,4.4,2.0,0.5,3.1,38.1,$8300,4.59
Al Horford,C,34.45,18.0,8,3.9,0.7,2.3,1.5,38.0,$7700,4.93
Kemba Walker,PG,33.52,22.0,4.2,4.8,1.5,0.5,2.2,36.0,$8200,4.4
Andre Drummond,C,31.81,14.5,13.6,1.0,1.4,1.3,1.8,35.9,$7800,4.61
Draymond Green,PF,33.61,11.4,8.8,6.5,1.7,1.4,2.3,35.6,$7900,4.51
Kristaps Porzingis,PF,36.09,19.1,9.3,1.3,0.7,1.7,1.4,35.6,$7600,4.69
Paul Millsap,PF,32.88,17.1,8.3,3.1,1.7,1.0,2.3,34.8,$7600,4.58
Carmelo Anthony,SF,35.27,21.5,5.9,3.1,0.9,0.5,1.9,34.1,$7600,4.49
Kevin Love,PF,32.59,18.5,10,2.0,0.7,0.5,1.9,34.0,$7900,4.3
Eric Bledsoe,PG,32.69,18.6,4.8,5.9,1.5,0.3,3.1,33.7,$8100,4.16
Kyrie Irving,PG,34.39,22.2,3.5,4.9,1.0,0.2,2.5,33.7,$7300,4.61
C.J. McCollum,SG,35.58,21.5,3.7,4.4,1.2,0.4,2.4,33.3,$7400,4.51
Brook Lopez,C,29.70,18.8,6.7,1.9,0.7,1.8,2.1,32.6,$7400,4.4
Goran Dragic,PG,36.81,16.8,4.6,6.8,1.1,0.3,3.2,32.1,$7000,4.59
Myles Turner,C,31.36,15.1,8.6,1.2,0.9,2.4,1.9,31.9,$6100,5.23
Jeff Teague,PG,31.63,15.2,3.6,6.9,1.8,0.6,2.8,31.9,$7000,4.55
Rudy Gay,SF,34.38,18.0,6.5,2.4,1.3,0.7,2.2,31.2,$7200,4.33
Nicolas Batum,SG,34.80,15.1,6.3,5.5,0.9,0.5,2.7,31.0,$7000,4.43
DeAndre Jordan,C,33.04,12.5,11.8,0.8,0.7,1.7,1.7,31.0,$6800,4.55
Klay Thompson,SG,34.43,22.2,3.7,2.2,0.9,0.3,1.8,30.5,$6800,4.49
Nikola Vucevic,C,28.18,14.2,9.1,2.3,0.8,0.9,1.5,30.5,$7100,4.29
Louis Williams,SG,31.12,20.0,2.8,3.5,1.5,0.2,2.1,29.9,$6100,4.9
Dwight Powell,PF,30.99,13.6,8.1,1.4,1.4,1.1,1.0,29.4,$3900,7.54
Dennis Schroder,PG,30.66,16.1,3,6.5,1.0,0.2,2.7,29.2,$6200,4.7
Harrison Barnes,SF,38.10,19.0,5.4,1.9,0.7,0.3,1.2,29.1,$6400,4.55
Jabari Parker,PF,33.16,17.9,5.7,2.1,1.0,0.3,1.6,28.9,$6600,4.38
Dwight Howard,C,30.06,11.3,10.9,1.1,1.0,1.4,2.1,28.7,$7200,3.99
Derrick Rose,PG,34.36,16.6,3.8,5.2,0.8,0.3,2.7,28.5,$6600,4.31
Serge Ibaka,PF,32.34,14.1,7.3,1.2,0.5,1.9,1.5,28.0,$6500,4.3
Will Barton,SG,33.63,16.0,6.1,2.8,0.6,0.5,1.8,27.9,$6000,4.65
Wilson Chandler,SF,30.30,16.1,6.8,2.0,0.7,0.4,1.6,27.9,$6200,4.49
Danilo Gallinari,SF,35.49,17.6,4.6,2.5,0.9,0.3,1.5,27.8,$6000,4.63
Clint Capela,C,28.02,11.7,8.9,0.8,0.6,2.1,1.3,27.7,$5700,4.86
Tyler Johnson,PG,36.55,13.7,4.9,3.7,1.5,0.5,1.5,27.6,$5200,5.31
Julius Randle,PF,28.58,12.2,9.5,2.6,0.7,0.5,2.4,27.5,$6100,4.51
Deron Williams,PG,33.50,14.5,3,6.7,0.7,0.2,2.5,27.5,$5900,4.65
Mason Plumlee,C,28.26,10.3,8.2,3.6,0.8,1.0,1.8,27.3,$6000,4.56
Avery Bradley,SG,35.02,15.8,5.5,2.3,1.3,0.2,1.6,27.3,$6600,4.13
Emmanuel Mudiay,PG,31.43,14.0,4,5.5,1.0,0.5,3.1,27.0,$5200,5.18
Tobias Harris,PF,34.06,15.7,6,1.7,0.7,0.6,1.5,26.6,$5600,4.74
Trevor Booker,PF,28.20,10.2,8.2,1.9,1.5,0.9,1.5,26.2,$5900,4.44
Monta Ellis,SG,33.17,12.0,3.8,5.2,1.6,0.5,2.5,26.1,$4700,5.54
Jae Crowder,SF,34.60,13.7,5.4,2.3,1.6,0.3,1.4,26.0,$5200,5.01
Greg Monroe,C,22.62,12.2,7.6,2.1,1.0,0.5,1.6,25.9,$4800,5.39
Trevor Ariza,SF,33.20,13.7,4.5,2.2,2.0,0.3,1.2,25.8,$5600,4.61
Marcus Smart,PG,34.66,12.7,4.3,3.9,1.4,0.4,2.2,25.1,$4700,5.34
Thaddeus Young,PF,28.16,12.0,6.6,1.7,1.4,0.6,1.4,25.1,$5100,4.92
Kenneth Faried,PF,25.03,10.6,8.7,1.0,0.8,1.1,1.5,24.8,$5300,4.69
Sean Kilpatrick,SG,29.57,16.5,3.7,2.5,0.8,0.2,2.1,24.6,$5700,4.31
Jordan Clarkson,PG,30.50,15.1,3.6,2.8,1.4,0.1,2.2,24.4,$5100,4.79
Bismack Biyombo,C,32.10,7.3,10.2,1.0,0.4,2.1,1.7,24.3,$4300,5.66
