Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Kawhi Leonard,SAS,$9600,3,$8300,4,$45,4,$18600,3,$15300,4
Kyle Anderson,SAS,$3500,34,$3600,28,$10,23,$6500,32,$7100,28
Robert Covington,PHI,$6300,11,$5200,14,$23,12,$10950,14,$10200,14
LeBron James,CLE,$11500,1,$10600,1,$53,1,$20600,2,$19000,1
Richard Jefferson,CLE,$3500,34,$3000,37,$10,23,$5000,42,$6000,36
Glenn Robinson,IND,$3600,32,$3200,33,$10,23,$5250,40,$6300,33
Paul George,IND,$8600,5,$7800,5,$39,6,$15600,5,$14300,5
Brandon Ingram,LAL,$4000,22,$4400,16,$10,23,$6400,34,$8800,16
Luol Deng,LAL,$4000,22,$3600,28,$14,14,$7250,26,$7000,31
Marcus Morris,DET,$5800,13,$6000,12,$20,13,$11100,13,$11900,12
Stanley Johnson,DET,$3500,34,$3000,37,$10,23,$6650,31,$6000,36
Wilson Chandler,DEN,$6000,12,$6600,9,$24,11,$11800,12,$12300,11
Mike Miller,DEN,$3500,34,$3000,37,$10,23,$5000,42,$6000,36
Kent Bazemore,ATL,$4700,15,$4400,16,$13,16,$10500,15,$8800,16
Mike Dunleavy,ATL,$3500,34,$3000,37,$10,23,$5250,40,$6000,36
Otto Porter,WAS,$6600,9,$6300,11,$25,10,$13050,9,$12600,10
Kelly Oubre,WAS,$3700,28,$3700,27,$10,23,$5900,36,$7300,27
Bojan Bogdanovic,BKN,$4200,20,$4400,16,$13,16,$8550,20,$8700,20
Rondae Hollis-Jefferson,BKN,$4200,20,$4400,16,$12,19,$8650,19,$8800,16
Rodney McGruder,MIA,$3700,28,$3400,32,$10,23,$5600,38,$6600,32
Luke Babbitt,MIA,$3500,34,$3000,37,$10,23,$5000,42,$6000,36
Tony Snell,MIL,$3500,34,$3100,36,$10,23,$5900,36,$6000,36
Mirza Teletovic,MIL,$3700,28,$3000,37,$10,23,$6450,33,$6000,36
DeMarre Carroll,TOR,$3900,25,$4000,23,$12,19,$8400,22,$7800,23
Terrence Ross,TOR,$3600,32,$3600,28,$10,23,$7050,27,$7100,28
Andrew Wiggins,MIN,$7300,8,$7100,8,$31,8,$13050,9,$13300,8
Shabazz Muhammad,MIN,$4000,22,$4300,22,$10,23,$6750,30,$8400,22
T.J. Warren,PHO,$4700,15,$4900,15,$13,16,$9450,16,$9800,15
P.J. Tucker,PHO,$4700,15,$4400,16,$14,14,$8900,17,$8700,20
Chandler Parsons,MEM,$3500,34,$3200,33,$10,23,$8050,23,$6300,33
Vince Carter,MEM,$3800,26,$3900,25,$10,23,$7900,24,$7700,25
Joe Ingles,UTA,$3700,28,$4000,23,$10,23,$5550,39,$7800,23
Gordon Hayward,UTA,$8000,6,$7600,6,$33,7,$14200,8,$14000,6
Solomon Hill,NOP,$4300,18,$3600,28,$10,23,$7550,25,$7100,28
Dante Cunningham,NOP,$3500,34,$3000,37,$10,23,$6900,28,$6000,36
Luc Richard Mbah a Moute,LAC,$3500,34,$3000,37,$10,23,$5000,42,$6000,36
Wesley Johnson,LAC,$3500,34,$3000,37,$10,23,$5000,42,$6000,36
Carmelo Anthony,NYK,$8000,6,$7300,7,$40,5,$15550,6,$13700,7
Mindaugas Kuzminskas,NYK,$3500,34,$3000,37,$10,23,$5000,42,$6000,36
Jimmy Butler,CHI,$9500,4,$8900,3,$46,3,$18250,4,$16400,3
Doug McDermott,CHI,$3500,34,$3200,33,$10,23,$6900,28,$6300,33
Kevin Durant,GSW,$10300,2,$9700,2,$51,2,$21100,1,$17900,2
Andre Iguodala,GSW,$4300,18,$4400,16,$11,21,$8550,20,$8800,16
Jaylen Brown,BOS,$3800,26,$3800,26,$10,23,$6400,34,$7400,26
Jae Crowder,BOS,$6500,10,$6400,10,$27,9,$13050,9,$12700,9
Rudy Gay,SAC,,,$3000,37,$10,23,$15050,7,$6000,36
Matt Barnes,SAC,$5200,14,$5800,13,$11,21,$8700,18,$11600,13
