Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Luol Deng,LAL,$4300,8,$3800,9,$18,7,$8600,7,$7400,9
Brandon Ingram,LAL,$3800,10,$3600,10,$10,10,$7300,10,$7000,11
Luc Richard Mbah a Moute,LAC,$3500,14,$3000,17,$10,10,$5200,17,$6000,17
Paul Pierce,LAC,$3500,14,$3000,17,$10,10,$5100,18,$6000,17
Solomon Hill,NOP,$4200,9,$3600,10,$10,10,$8100,9,$7100,10
Dante Cunningham,NOP,$3500,14,$3300,15,$10,10,$6900,11,$6400,15
Jimmy Butler,CHI,$9600,1,$9000,1,$44,1,$18500,1,$16500,1
Doug McDermott,CHI,$3600,13,$4100,7,$12,9,$6550,12,$8000,7
Kawhi Leonard,SAS,$8700,2,$8500,2,$40,2,$17800,2,$15600,2
Davis Bertans,SAS,$3500,14,$3000,17,$10,10,$5000,19,$6000,17
T.J. Warren,PHO,$4600,7,$4000,8,$17,8,$8150,8,$7800,8
P.J. Tucker,PHO,$3800,10,$3600,10,$10,10,$6400,14,$7000,11
Robert Covington,PHI,$5500,5,$6200,5,$22,5,$11350,5,$12300,4
Otto Porter,WAS,$6200,4,$6600,4,$25,4,$12450,4,$12300,4
Kelly Oubre,WAS,$3500,14,$3400,14,$10,10,$6450,13,$6600,14
Aaron Gordon,ORL,$5000,6,$5400,6,$19,6,$9800,6,$10600,6
Jeff Green,ORL,$3500,14,$3200,16,$10,10,$6350,15,$6300,16
Gordon Hayward,UTA,$7600,3,$7200,3,$33,3,$15050,3,$13600,3
Joe Ingles,UTA,$3800,10,$3500,13,$10,10,$5750,16,$7000,11
