Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Tony Snell,MIL,$3800,18,$3900,19,$10,18,$5800,20,$7700,19
Khris Middleton,MIL,$6300,5,$6200,4,$28,5,$12500,5,$12300,5
Michael Kidd-Gilchrist,CHA,$4800,10,$4700,13,$15,10,$11250,6,$9200,13
Marco Belinelli,CHA,$3900,16,$4000,18,$10,18,$7200,18,$7800,18
Andrew Wiggins,MIN,$7200,2,$6800,2,$34,2,$13900,3,$12700,2
Shabazz Muhammad,MIN,$4000,14,$4300,15,$10,18,$5800,20,$8500,15
Paul George,IND,$8600,1,$8400,1,$42,1,$15900,1,$15500,1
Georges Niang,IND,$3500,21,$3000,24,$10,18,$5000,23,$6000,23
Derrick Jones,PHO,$3500,21,$3000,24,$10,18,$5000,23,$6000,23
Jarell Eddie,PHO,$3500,21,$3000,24,$10,18,$5000,23,$6000,23
Taurean Prince,ATL,$3800,18,$4800,12,$12,13,$5000,23,$9500,12
Mike Dunleavy,ATL,$3500,21,$3000,24,$10,18,$5000,23,$6000,23
Rodney McGruder,MIA,$3500,21,$3400,22,$10,18,$5000,23,$6600,22
Luke Babbitt,MIA,$3500,21,$3000,24,$10,18,$5000,23,$6000,23
Marcus Morris,DET,$5000,9,$5100,10,$20,8,$10800,9,$10100,10
Stanley Johnson,DET,$3500,21,$3000,24,$10,18,$6150,19,$6000,23
Robert Covington,PHI,$6700,3,$6800,2,$29,3,$14400,2,$12700,2
Justin Anderson,PHI,$3500,21,$3100,23,$10,18,$7450,17,$6000,23
Rondae Hollis-Jefferson,BKN,$4700,12,$5200,9,$11,15,$9950,12,$10200,9
Matt Barnes,GSW,$3900,16,$4200,16,$12,13,$9300,15,$8300,16
Andre Iguodala,GSW,$4800,10,$5000,11,$11,15,$9250,16,$9900,11
Trevor Ariza,HOU,$5400,8,$5600,8,$19,9,$10650,10,$11200,8
Sam Dekker,HOU,$3500,21,$3600,21,$10,18,$5350,22,$7000,21
Danilo Gallinari,DEN,$6500,4,$6000,7,$25,7,$11150,7,$12000,6
Wilson Chandler,DEN,$6300,5,$6100,6,$29,3,$11000,8,$12600,4
Moe Harkless,POR,$3600,20,$4100,17,$11,15,$10150,11,$8300,16
Evan Turner,POR,$4100,13,$3700,20,$13,12,$9450,13,$7700,19
Otto Porter,WAS,$5600,7,$6200,4,$27,6,$12650,4,$12000,6
Bojan Bogdanovic,WAS,$4000,14,$4700,13,$15,10,$9400,14,$9200,13
Corey Brewer,LAL,$3500,21,$3000,24,$10,18,$5000,23,$6000,23
Metta World Peace,LAL,$3500,21,$3000,24,$10,18,$5000,23,$6000,23
