Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Matt Barnes,SAC,$3600,15,$3900,11,$10,10,$7650,13,$7700,11
Michael Kidd-Gilchrist,CHA,$5700,6,$5300,7,$17,7,$11500,6,$10500,7
Treveon Graham,CHA,$3500,17,$3000,19,$10,10,$5000,23,$6000,18
Marcus Morris,DET,$5400,7,$5700,6,$20,5,$10500,7,$11200,6
Stanley Johnson,DET,$3500,17,$3300,17,$10,10,$6700,16,$6400,17
Rodney McGruder,MIA,$3500,17,$3000,19,$10,10,$5000,23,$6000,18
Luke Babbitt,MIA,$3500,17,$3000,19,$10,10,$5000,23,$6000,18
Jae Crowder,BOS,$6000,5,$5800,5,$22,4,$12900,4,$11500,5
James Young,BOS,$3500,17,$3000,19,$10,10,$5000,23,$6000,18
Tony Snell,MIL,$3500,17,$3100,18,$10,10,$6500,17,$6000,18
Mirza Teletovic,MIL,$3500,17,$3000,19,$10,10,$6050,19,$6000,18
Luc Richard Mbah a Moute,LAC,$3600,15,$3000,19,$10,10,$5400,21,$6000,18
Paul Pierce,LAC,$3500,17,$3000,19,$10,10,$5100,22,$6000,18
Kevin Durant,GSW,$10400,1,$9500,1,$51,1,$20650,1,$17600,1
Andre Iguodala,GSW,$4200,12,$3700,13,$10,10,$7700,12,$7400,13
Bojan Bogdanovic,BKN,$4400,9,$4200,10,$13,8,$8650,11,$8300,10
Rondae Hollis-Jefferson,BKN,$4400,9,$3900,11,$10,10,$9150,9,$7700,11
Andrew Wiggins,MIN,$7300,2,$7200,2,$31,3,$14500,2,$13700,2
Shabazz Muhammad,MIN,$3700,13,$3500,16,$10,10,$5450,20,$6900,16
Danilo Gallinari,DEN,$6400,4,$6000,4,$20,5,$12350,5,$11900,4
Mike Miller,DEN,$3500,17,$3000,19,$10,10,$5000,23,$6000,18
T.J. Warren,PHO,$4300,11,$4600,8,$13,8,$9450,8,$9100,8
P.J. Tucker,PHO,$4500,8,$4400,9,$10,10,$8950,10,$8700,9
James Ennis,MEM,$3500,17,$3600,14,$10,10,$6800,15,$7000,15
Vince Carter,MEM,$3700,13,$3600,14,$10,10,$6400,18,$7100,14
Gordon Hayward,UTA,$7200,3,$6800,3,$33,2,$13500,3,$12700,3
Joe Johnson,UTA,$3500,17,$3000,19,$10,10,$7350,14,$6000,18
