Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Otto Porter,WAS,$5500,7,$5600,7,$26,6,$11100,6,$11200,7
Kelly Oubre,WAS,$4000,12,$4000,12,$10,13,$5850,12,$7800,12
Glenn Robinson,IND,$4300,9,$4400,10,$11,11,$5400,14,$8700,10
Paul George,IND,$8100,2,$8100,2,$39,2,$16950,1,$15000,2
Thabo Sefolosha,ATL,$4300,9,$4600,9,$14,9,$7400,9,$9100,9
Taurean Prince,ATL,$3500,15,$3000,17,$10,13,$5000,16,$6000,16
Andre Roberson,OKC,$3800,14,$4100,11,$13,10,$7150,11,$8100,11
Jerami Grant,OKC,$3500,15,$3500,15,$10,13,$5400,14,$7000,15
P.J. Tucker,PHO,$4200,11,$3800,13,$11,11,$7400,9,$7400,13
Andrew Wiggins,MIN,$6300,3,$6700,3,$29,3,$13900,3,$12600,3
Shabazz Muhammad,MIN,$3500,15,$3000,17,$10,13,$5000,16,$6000,16
Marcus Morris,DET,$4700,8,$5200,8,$18,8,$10400,8,$10200,8
Jimmy Butler,CHI,$8500,1,$8500,1,$45,1,$16850,2,$15600,1
Doug McDermott,CHI,$3500,15,$3100,16,$10,13,$5850,12,$6000,16
Dorian Finney-Smith,DAL,$4000,12,$3600,14,$10,13,$5000,16,$7100,14
Harrison Barnes,DAL,$6300,3,$6500,4,$28,4,$12550,4,$12400,4
Danilo Gallinari,DEN,$5800,5,$5700,6,$24,7,$11200,5,$11300,6
Wilson Chandler,DEN,$5800,5,$6200,5,$28,4,$10800,7,$12300,5
