Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Jimmy Butler,CHI,$8900,2,$8900,2,$48,2,$17700,2,$16400,2
Paul Zipser,CHI,$3500,21,$3100,22,$10,14,$5000,27,$6000,22
DeMarre Carroll,TOR,$4100,15,$3800,17,$10,14,$8400,11,$7400,17
P.J. Tucker,TOR,$3700,18,$3700,19,$10,14,$7850,15,$7400,17
T.J. Warren,PHO,$6500,4,$7200,3,$24,6,$10600,7,$13600,3
Jarell Eddie,PHO,,,$3000,23,,,$5000,27,$6000,22
Rodney McGruder,MIA,$3500,21,$3200,21,$10,14,$5450,23,$6300,21
Luke Babbitt,MIA,$3500,21,$3000,23,$10,14,$5000,27,$6000,22
Marcus Morris,DET,$5300,7,$5400,7,$18,7,$11750,5,$10600,7
Stanley Johnson,DET,$3500,21,$3000,23,$10,14,$6700,18,$6000,22
Rondae Hollis-Jefferson,BKN,$4500,9,$4400,11,$11,13,$8550,10,$8700,11
Vince Carter,MEM,$3700,18,$3800,17,$10,14,$6700,18,$7400,17
James Ennis,MEM,$3500,21,$3000,23,$10,14,$6150,20,$6000,22
Solomon Hill,NOP,$4300,12,$4200,13,$10,14,$7250,16,$8400,13
Dante Cunningham,NOP,$3500,21,$3600,20,$10,14,$6900,17,$7000,20
Matt Barnes,GSW,$4200,13,$4300,12,$12,12,$8100,12,$8500,12
Andre Iguodala,GSW,$4900,8,$4600,9,$13,11,$8000,13,$9100,9
Harrison Barnes,DAL,$5800,6,$6300,5,$26,4,$12250,4,$12500,6
Dorian Finney-Smith,DAL,$3500,21,$3000,23,$10,14,$5700,21,$6000,22
Kawhi Leonard,SAS,$9400,1,$9800,1,$50,1,$17850,1,$18100,1
Davis Bertans,SAS,$3500,21,$3000,23,$10,14,$5000,27,$6000,22
Andrew Wiggins,MIN,$7000,3,$6400,4,$34,3,$12500,3,$12600,4
Shabazz Muhammad,MIN,$3900,16,$4500,10,$10,14,$5250,25,$8800,10
Tony Snell,MIL,$4200,13,$3900,16,$10,14,$5350,24,$7700,16
Khris Middleton,MIL,$6400,5,$6300,5,$26,4,$11400,6,$12600,4
Moe Harkless,POR,$3900,16,$4000,14,$15,8,$10550,8,$7800,14
Evan Turner,POR,$4500,9,$4000,14,$15,8,$9850,9,$7800,14
Luc Richard Mbah a Moute,LAC,$3500,21,$3000,23,$10,14,$5550,22,$6000,22
Paul Pierce,LAC,$3500,21,$3000,23,$10,14,$5100,26,$6000,22
Brandon Ingram,LAL,$4500,9,$5000,8,$14,10,$7900,14,$9800,8
Corey Brewer,LAL,$3600,20,$3000,23,$10,14,$5000,27,$6000,22
