Date,Title,Entries,MaxEntries,MaxEntriesPerUser,H2H,EntryFee,Pot,HighestScore,LastWinningIndex,LastWinningRank,LastWinningScore
2016-10-25,$1 Million Tue NBA Clutch Shot ($200K to 1st),,,,,4,1000000,373.5,,67253,296.2
2016-10-25,$100K Tue NBA Monster ($20K to 1st),,,,,300,100000,362.9,,74,308.8
2016-10-25,$100K Tue NBA Slam ($100K Guaranteed),,,,,25,100000,362.9,,939,304.1
2016-10-25,$10K Tue NBA BIG $50 Double Up (Top 100 Win),,,,,50,10000,350.8,,99,289.3
2016-10-25,$10K Tue NBA Rainmaker (Single Entry),,,1,,535,10000,335.2,,4,308.7
2016-10-25,$10K Tue NBA Swish (Single Entry),,,1,,50,10000,350.8,,45,308.7
2016-10-25,$15K Tue NBA And One (Single Entry),,,1,,25,15000,350.8,,135,305.6
2016-10-25,$15K Tue NBA Dime (Single Entry),,,1,,10,15000,356.0,,415,300.5
2016-10-25,$20K Tue NBA Dunk ($20K Guaranteed),,,,,100,20000,350.8,,44,309.0
2016-10-25,$22K Tue NBA BIG $11 Double Up (Top 1000 Win),,,,,11,22000,355.8,,924,289.3
2016-10-25,$30K Tue NBA Baller ($30K Guaranteed),,,,,1065,30000,350.8,,5,308.7
2016-10-25,$30K Tue NBA BIG $25 Double Up (Top 600 Win),,,,,25,30000,354.0,,565,293.7
2016-10-25,$30K Tue NBA BIG $5 Double Up (Top 3000 Win),,,,,5,30000,351.9,,2781,289.3
2016-10-25,$5K Tue NBA Assist #2 (Single Entry),,,1,,5,5000,362.9,,225,303.2
2016-10-25,$5K Tue NBA BIG $2 Double Up #2 (Top 1250 Win),,,,,2,5000,347.6,,,
2016-10-25,$5K Tue NBA Rebound ($5K Guaranteed),,,,,12,5000,352.4,,111,303.6
2016-10-25,$5K Tue NBA Windmill (Single Entry),,,1,,100,5000,350.8,,11,310.8
2016-10-25,$7K Tue NBA Dribbler #3 (Single Entry),,,1,,1,7000,365.0,,1685,297.6
2016-10-25,$8K NBA 50-50 ($1065),,,,,1065,8000,335.2,,4,308.7
2016-10-25,NBA Beginner Mini Swat (Top 60 Win),,,,,1,200,362.9,,60,287.7
2016-10-26,$100K Wed NBA Baller ($20K to 1st),,,,,1065,100000,403.4,,,
2016-10-26,$100K Wed NBA Monster ($20K to 1st),,,,,300,100000,390.1,,73,345.3
2016-10-26,$15K Wed NBA Block (Single Entry),,,1,,2,15000,412.8,,1466,335.7
2016-10-26,$1K NBA Triple Double ($2),,,,,2,1000,411.6,,,
2016-10-26,$200K Wed NBA Slam ($20K to 1st),,,,,25,200000,412.1,,1818,343.7
2016-10-26,$20K Wed NBA Assist (Single Entry),,,1,,5,20000,412.1,,911,334.3
2016-10-26,$20K Wed NBA BIG $2 Double Up (Top 5000 Win),,,,,2,20000,398.4,,4925,309.0
2016-10-26,$20K Wed NBA Dime (Single Entry),,,1,,10,20000,412.1,,469,335.8
2016-10-26,$22K Wed NBA BIG $11 Double Up (Top 1000 Win),,,,,11,22000,395.9,,997,313.6
2016-10-26,$250 NBA Mini Dribbler (Single Entry),,,1,,1,250,379.5,,,
2016-10-26,$250 NBA Mini Swat,,,,,1,250,371.3,,,
2016-10-26,$25K Wed NBA And One (Single Entry),,,1,,25,25000,407.5,,209,342.8
2016-10-26,$25K Wed NBA Dribbler (Single Entry),,,1,,1,25000,415.2,,5614,327.5
2016-10-26,$25K Wed NBA Swat (3 Entries Max),,,3,,1,25000,421.0,,5138,331.0
