Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Nikola Vucevic,ORL,$7100,3,$6100,7,$30,4,$13250,8,$12000,7
Bismack Biyombo,ORL,$4200,18,$4000,18,$12,17,$8700,17,$7800,18
Myles Turner,IND,$6600,8,$6800,3,$29,5,$14350,4,$12700,3
Al Jefferson,IND,$4000,19,$3700,20,$10,19,$7650,19,$7300,20
Andrew Bogut,DAL,$4400,16,$4600,16,$15,15,$10050,15,$9100,16
A.J. Hammons,DAL,$3500,21,$3000,24,$10,19,$5000,27,$6000,24
Joakim Noah,NYK,$4700,14,$4600,16,$19,14,$5100,26,$9100,16
Kyle O'Quinn,NYK,$3500,21,$3000,24,$10,19,$6350,22,$6000,24
Steven Adams,OKC,$5100,12,$5300,12,$21,13,$10950,12,$10500,12
Joffrey Lauvergne,OKC,$3500,21,$3000,24,$10,19,$7300,20,$6000,24
Andre Drummond,DET,$8100,2,$8000,2,$38,2,$15100,3,$14700,2
Aron Baynes,DET,$3500,21,$3000,24,$10,19,$5000,27,$6000,24
Al Horford,BOS,$6700,7,$6100,7,$31,3,$14150,5,$12000,7
Kelly Olynyk,BOS,$4000,19,$4800,15,$10,19,$10400,14,$9500,15
Omer Asik,NOP,$3500,21,$3000,24,$10,19,$5550,24,$6000,24
Alexis Ajinca,NOP,$3500,21,$3000,24,$10,19,$5000,27,$6000,24
Joel Embiid,PHI,$5400,11,$6300,6,$24,11,$10850,13,$12600,4
Jahlil Okafor,PHI,$4800,13,$5200,13,$22,12,$9950,16,$10200,13
Clint Capela,HOU,$4600,15,$4900,14,$13,16,$13600,7,$9700,14
Nene Hilario,HOU,$3500,21,$3200,23,$10,19,$8400,18,$6300,23
Hassan Whiteside,MIA,$8400,1,$8100,1,$41,1,$15900,1,$15000,1
Willie Reed,MIA,$3500,21,$3600,21,$10,19,$5550,24,$7000,21
Pau Gasol,SAS,$6000,10,$5600,11,$25,9,$12600,9,$11200,11
Dewayne Dedmon,SAS,$3500,21,$3600,21,$10,19,$6650,21,$7000,21
Marc Gasol,MEM,$7100,3,$6500,5,$29,5,$12200,11,$12400,5
Rudy Gobert,UTA,$6600,8,$6100,7,$25,9,$12300,10,$12000,7
Jeff Withey,UTA,$3500,21,$3000,24,$10,19,$5000,27,$6000,24
Brook Lopez,BKN,$6800,6,$6000,10,$29,5,$13900,6,$11900,10
Justin Hamilton,BKN,$4400,16,$3900,19,$11,18,$6000,23,$7700,19
DeAndre Jordan,LAC,$6900,5,$6600,4,$29,5,$15350,2,$12300,6
