Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Dwight Howard,ATL,$7,600,5,$7,500,3,$29,8,$15,750,3,,
Walter Tavares,ATL,$3,500,29,$3,000,27,$10,26,$5,800,25,,
Joel Embiid,PHI,$4,800,16,$5,600,12,$18,15,$9,800,16,,
Jahlil Okafor,PHI,$6,000,10,$4,900,14,$26,10,$11,150,11,,
Al Horford,BOS,$6,900,7,$6,700,6,$31,6,$13,300,7,$12,600,5
Tyler Zeller,BOS,$3,900,24,$3,000,27,$11,22,$5,000,27,$6,000,21
Cody Zeller,CHA,$4,600,19,$4,100,19,$17,16,$10,300,14,$8,100,16
Spencer Hawes,CHA,$3,500,29,$3,000,27,$11,22,$5,000,27,$6,000,21
Marc Gasol,MEM,$7,200,6,$6,000,10,$29,8,$13,000,8,$11,900,9
Joakim Noah,NYK,$4,800,16,$5,200,13,$19,14,$5,000,27,$10,200,11
Kyle O'Quinn,NYK,$3,600,27,$3,100,24,$10,26,$6,450,23,$6,000,21
Nikola Vucevic,ORL,$7,800,3,$6,500,7,$34,4,$11,800,10,$12,300,7
Bismack Biyombo,ORL,$5,000,14,$4,500,17,$14,19,$8,400,19,$8,800,14
Tristan Thompson,CLE,$4,400,20,$4,700,16,$16,17,$10,700,12,$9,200,13
Chris Andersen,CLE,$3,500,29,$3,000,27,$10,26,$5,000,27,$6,000,21
Myles Turner,IND,$6,900,7,$7,200,4,$30,7,$14,850,4,$13,600,3
Al Jefferson,IND,$4,400,20,$4,000,20,$15,18,$8,000,20,$7,800,17
Robin Lopez,CHI,$5,600,12,$4,800,15,$21,13,$10,100,15,$9,500,12
Cristiano Da Silva Felicio,CHI,$3,500,29,$3,000,27,$10,26,$6,150,24,$6,000,21
Omer Asik,NOP,$3,500,29,$3,000,27,$10,26,$5,050,26,$6,000,21
Alexis Ajinca,NOP,$4,200,22,$3,000,27,$13,21,$5,000,27,$6,000,21
Pau Gasol,SAS,$6,800,9,$6,300,8,$35,3,$14,800,5,$12,600,5
Dewayne Dedmon,SAS,$4,100,23,$3,200,23,$10,26,$7,800,21,$6,300,20
Brook Lopez,BKN,$7,700,4,$6,900,5,$33,5,$14,550,6,$13,000,4
Justin Hamilton,BKN,$4,800,16,$3,600,21,$11,22,$5,000,27,$7,000,18
Miles Plumlee,MIL,$3,700,25,$3,100,24,$10,26,$7,500,22,$6,000,21
Greg Monroe,MIL,$5,900,11,$5,700,11,$24,11,$10,700,12,$11,200,10
Mason Plumlee,POR,$5,300,13,$4,500,17,$23,12,$9,400,17,$8,800,14
Jusuf Nurkic,DEN,$4,900,15,$6,100,9,$14,19,$12,750,9,$12,000,8
Karl-Anthony Towns,MIN,$8,700,2,$9,000,2,$46,2,$19,150,2,$16,500,2
Cole Aldrich,MIN,$3,700,25,$3,300,22,$11,22,$9,050,18,$6,400,19
DeMarcus Cousins,SAC,$9,800,1,$10,600,1,$52,1,$20,050,1,$18,900,1
Kosta Koufos,SAC,$3,600,27,$3,100,24,$10,26,$5,000,27,$6,000,21
