Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Kosta Koufos,SAC,$4000,17,$3900,16,$13,12,$6950,18,,
Dwight Howard,ATL,$7200,7,$6800,6,$25,7,$14450,6,$12700,6
Nikola Vucevic,ORL,$7300,6,$7400,5,$28,5,$14400,7,$14000,5
Bismack Biyombo,ORL,$3500,21,$3400,19,$10,15,$8600,16,$6700,18
Jahlil Okafor,PHI,$5400,11,$5500,11,$10,15,$9250,12,$10900,11
Joel Embiid,PHI,$8700,4,$7800,4,$34,4,$16650,4,$14400,4
Guillermo Hernangomez,NYK,$5900,10,$6500,8,$16,10,$10450,11,$12300,8
Kyle O'Quinn,NYK,$4700,14,$4300,14,$11,13,$8800,14,$8400,14
Myles Turner,IND,$6400,8,$5700,10,$22,8,$12950,8,$11200,10
Al Jefferson,IND,$3600,20,$3000,24,$10,15,$6650,20,$6000,23
Hassan Whiteside,MIA,$9300,3,$8000,3,$37,3,$17150,3,$14700,3
Willie Reed,MIA,$3500,21,$4000,15,$10,15,$6150,21,$7800,15
Robin Lopez,CHI,$4900,13,$4700,13,$11,13,$8800,14,$9200,13
Cristiano Da Silva Felicio,CHI,$3500,21,$3600,18,$10,15,$5000,25,$7000,17
Tristan Thompson,CLE,$6400,8,$6000,9,$14,11,$12500,9,$11900,9
DeMarcus Cousins,NOP,$10000,2,$10700,1,$58,1,$21750,1,$19300,1
Alexis Ajinca,NOP,$3800,19,$3000,24,$10,15,$5300,24,$6000,23
A.J. Hammons,DAL,$3500,21,$3000,24,$10,15,$5000,25,$6000,23
Salah Mejri,DAL,$3900,18,$3200,22,$10,15,$5900,22,$6300,21
Karl-Anthony Towns,MIN,$10300,1,$10500,2,$47,2,$19400,2,$18900,2
Cole Aldrich,MIN,$3500,21,$3000,24,$10,15,$5000,25,$6000,23
Clint Capela,HOU,$5100,12,$5300,12,$19,9,$11600,10,$10500,12
Nene Hilario,HOU,$4300,16,$3200,22,$10,15,$7600,17,$6300,21
Brook Lopez,BKN,$7700,5,$6800,6,$27,6,$15500,5,$12700,6
Justin Hamilton,BKN,$3500,21,$3400,19,$10,15,$6900,19,$6600,19
Zaza Pachulia,GSW,$4400,15,$3800,17,$10,15,$9000,13,$7400,16
JaVale McGee,GSW,$3500,21,$3300,21,$10,15,$5500,23,$6400,20
