Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Dwight Howard,ATL,$7700,3,$7300,3,$31,3,$14800,3,$13700,3
Bismack Biyombo,ORL,$4500,10,$4000,11,$15,9,$9400,10,$7800,11
Nikola Vucevic,ORL,$7000,5,$6300,5,$24,5,$13850,4,$12600,5
Steven Adams,OKC,$5600,7,$5300,7,$19,7,$11250,7,$10500,7
Joffrey Lauvergne,OKC,$3500,18,$3000,18,$10,14,$7300,15,$6000,18
Roy Hibbert,CHA,$3500,18,$3000,18,$10,14,$6150,16,$6000,18
Spencer Hawes,CHA,$3500,18,$3500,15,$10,14,$5000,19,$7000,15
John Henson,MIL,$3900,14,$3800,13,$11,11,$8500,12,$7400,13
Miles Plumlee,MIL,$3500,18,$3000,18,$10,14,$5000,19,$6000,18
Joakim Noah,NYK,$4900,8,$5000,8,$11,11,$9950,9,$9800,8
Kyle O'Quinn,NYK,$4100,12,$3600,14,$11,11,$8000,13,$7100,14
Robin Lopez,CHI,$4400,11,$4400,10,$15,9,$8650,11,$8800,9
Cristiano Da Silva Felicio,CHI,$3700,15,$3000,18,$10,14,$5000,19,$6000,18
Tristan Thompson,CLE,$4800,9,$4500,9,$18,8,$10650,8,$8800,9
Mason Plumlee,POR,$6300,6,$5700,6,$21,6,$11750,6,$11200,6
Zaza Pachulia,GSW,$3700,15,$3300,17,$10,14,$7900,14,$6400,17
Anderson Varejao,GSW,$3500,18,$3000,18,$10,14,$5000,19,$6000,18
Willie Reed,MIA,$4000,13,$3900,12,$10,14,$5750,17,$7700,12
DeMarcus Cousins,SAC,$11200,1,$11500,1,$55,1,$21100,1,$20500,1
Kosta Koufos,SAC,$3700,15,$3500,15,$10,14,$5650,18,$6900,16
Marc Gasol,MEM,$8500,2,$7800,2,$35,2,$15650,2,$14300,2
DeAndre Jordan,LAC,$7100,4,$7000,4,$27,4,$13850,4,$13300,4
