Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Jonas Valanciunas,TOR,$5700,10,$5700,9,$20,10,$12450,10,$11200,9
Jakob Poeltl,TOR,$3500,21,$3000,21,$10,14,$5000,24,$6000,20
Cody Zeller,CHA,$5000,11,$5000,11,$16,11,$9500,13,$9800,11
Spencer Hawes,CHA,$3900,15,$3500,14,$10,14,$5300,23,$6900,14
Mason Plumlee,POR,$6300,9,$5200,10,$25,8,$12850,9,$10200,10
Joel Embiid,PHI,$8400,2,$8400,2,$34,2,$16100,2,$15600,2
Jahlil Okafor,PHI,$4600,12,$4300,13,$12,13,$10550,11,$8400,13
John Henson,MIL,$3500,21,$3500,14,$10,14,$8600,15,$6900,14
Miles Plumlee,MIL,$3500,21,$3000,21,$10,14,$5000,24,$6000,20
Nikola Vucevic,ORL,$7400,5,$6700,8,$28,6,$13600,8,$12600,8
Bismack Biyombo,ORL,$3600,19,$3400,17,$10,14,$8950,14,$6700,17
DeMarcus Cousins,SAC,$10600,1,$10200,1,$54,1,$20050,1,$18300,1
Kosta Koufos,SAC,$3500,21,$3000,21,$10,14,$5450,22,$6000,20
Marc Gasol,MEM,$8200,3,$7200,3,$31,3,$16050,3,$13600,3
Zaza Pachulia,GSW,$4100,14,$3500,14,$10,14,$7750,16,$6900,14
Anderson Varejao,GSW,$3500,21,$3000,21,$10,14,$5000,24,$6000,20
Nene Hilario,HOU,$3600,19,$3000,21,$10,14,$7100,19,$6000,20
Robin Lopez,CHI,$4500,13,$4400,12,$13,12,$9950,12,$8700,12
Cristiano Da Silva Felicio,CHI,$3500,21,$3000,21,$10,14,$5850,21,$6000,20
Dwight Howard,ATL,$7000,7,$6900,5,$31,3,$14900,6,$13000,5
Brook Lopez,BKN,$7400,5,$6800,7,$25,8,$15700,4,$12700,7
Justin Hamilton,BKN,$3900,15,$3400,17,$10,14,$6850,20,$6600,18
Omer Asik,NOP,$3500,21,$3000,21,$10,14,$5000,24,$6000,20
Rudy Gobert,UTA,$7800,4,$7100,4,$27,7,$15200,5,$13300,4
Jeff Withey,UTA,$3500,21,$3000,21,$10,14,$5000,24,$6000,20
Salah Mejri,DAL,$3500,21,$3000,21,$10,14,$5000,24,$6000,20
Myles Turner,IND,$6700,8,$6900,5,$29,5,$14900,6,$13000,5
Al Jefferson,IND,$3700,18,$3100,20,$10,14,$7400,18,$6000,20
Timofey Mozgov,LAL,$3500,21,$3000,21,$10,14,$7450,17,$6000,20
Ivica Zubac,LAL,$3800,17,$3300,19,$10,14,$5000,24,$6400,19
