Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Thon Maker,MIL,$3500,15,$3000,15,$10,12,$5000,16,$6000,14
Greg Monroe,MIL,$5700,7,$4800,9,$18,7,$10700,8,$9400,9
Myles Turner,IND,$6200,6,$5500,6,$22,6,$13200,5,$10900,6
Rakeem Christmas,IND,$3500,15,$3000,15,$10,12,$5000,16,$6000,14
Robin Lopez,CHI,$4700,10,$4900,8,$11,11,$10500,9,$9700,8
Cristiano Da Silva Felicio,CHI,$3500,15,$3000,15,$10,12,$6550,14,$6000,14
Jahlil Okafor,PHI,$5000,9,$4000,13,$12,10,$9400,11,$7800,13
Shawn Long,PHI,$3900,13,$4200,11,$10,12,$5000,16,$8300,11
Brook Lopez,BKN,$7100,4,$7000,4,$27,4,$14850,3,$13300,4
Justin Hamilton,BKN,$3500,15,$3000,15,$10,12,$6250,15,$6000,14
Nikola Vucevic,ORL,$8100,2,$7400,3,$30,2,$15000,2,$14000,2
Bismack Biyombo,ORL,$4000,12,$4500,10,$10,12,$8800,12,$8800,10
Marcin Gortat,WAS,$4700,10,$4200,11,$13,9,$11000,7,$8300,11
Ian Mahinmi,WAS,$3600,14,$3100,14,$10,12,$6950,13,$6000,14
Guillermo Hernangomez,NYK,$5100,8,$5400,7,$16,8,$9550,10,$10600,7
Marshall Plumlee,NYK,$3500,15,$3000,15,$10,12,$5000,16,$6000,14
Al Horford,BOS,$7100,4,$6300,5,$27,4,$12950,6,$12500,5
Tyler Zeller,BOS,$3500,15,$3000,15,$10,12,$5000,16,$6000,14
Dwight Howard,ATL,$7500,3,$7500,2,$30,2,$14500,4,$13800,3
Karl-Anthony Towns,MIN,$10200,1,$10200,1,$51,1,$21450,1,$18300,1
Cole Aldrich,MIN,$3500,15,$3000,15,$10,12,$5000,16,$6000,14
