Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Andre Drummond,DET,$8000,2,$7600,2,$30,2,$13950,2,$13900,2
Aron Baynes,DET,$3500,12,$3500,12,$10,11,$5000,14,$7000,12
Tristan Thompson,CLE,$5600,7,$5100,8,$16,8,$10800,7,$10200,7
Larry Sanders,CLE,,,,,,,,,,
Myles Turner,IND,$6200,5,$5700,5,$22,5,$13100,5,$11200,5
Rakeem Christmas,IND,$3500,12,$3000,13,$10,11,$5000,14,$6000,13
Guillermo Hernangomez,NYK,$5700,6,$5300,6,$17,6,$9350,9,$10500,6
Kyle O'Quinn,NYK,$4200,11,$3700,11,$13,9,$7600,11,$7300,11
Steven Adams,OKC,$5300,8,$5000,9,$17,6,$11400,6,$9800,9
Brook Lopez,BKN,$7000,3,$6500,4,$25,3,$13550,4,$12300,4
Justin Hamilton,BKN,$3500,12,$3000,13,$10,11,$5750,12,$6000,13
Jusuf Nurkic,POR,$6600,4,$7000,3,$25,3,$13600,3,$13300,3
DeMarcus Cousins,NOP,$9000,1,$9600,1,$54,1,$21800,1,$17700,1
Alexis Ajinca,NOP,$3500,12,$3000,13,$10,11,$5500,13,$6000,13
Jahlil Okafor,PHI,$5200,9,$5200,7,$12,10,$9300,10,$10200,7
Tiago Splitter,PHI,$3500,12,$3000,13,$10,11,$5000,14,$6000,13
Zaza Pachulia,GSW,$4400,10,$3800,10,$10,11,$9650,8,$7400,10
JaVale McGee,GSW,$3500,12,$3000,13,$10,11,$5000,14,$6000,13
