Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Jahlil Okafor,PHI,$4900,5,$5000,4,$16,5,$9450,7,$9800,5
Andre Drummond,DET,$8400,2,$8000,2,$30,3,$17700,2,$14700,2
Boban Marjanovic,DET,$3500,14,$3000,13,$10,8,$5000,15,$6000,13
Al Horford,BOS,$7700,3,$6900,3,$31,2,$13550,3,$13000,3
Kelly Olynyk,BOS,$3600,11,$3600,9,$10,8,$7850,8,$7000,9
Steven Adams,OKC,$5100,4,$5000,4,$19,4,$10850,4,$9900,4
Joffrey Lauvergne,OKC,$3500,14,$3000,13,$10,8,$7300,12,$6000,13
Zaza Pachulia,GSW,$3500,14,$3300,11,$10,8,$7700,9,$6400,11
Anderson Varejao,GSW,$3500,14,$3000,13,$10,8,$5000,15,$6000,13
Karl-Anthony Towns,MIN,$8700,1,$8100,1,$41,1,$18800,1,$15000,1
Cole Aldrich,MIN,$3700,10,$3900,8,$10,8,$7100,13,$7700,8
Alexis Ajinca,NOP,$3500,14,$3000,13,$10,8,$5000,15,$6000,13
Omer Asik,NOP,$3600,11,$3000,13,$10,8,$5450,14,$6000,13
Tyson Chandler,PHO,$4900,5,$4500,6,$15,6,$10350,5,$8800,6
Alan Williams,PHO,$3800,9,$3000,13,$10,8,$5000,15,$6000,13
Joakim Noah,NYK,$4400,8,$3600,9,$11,7,$10350,5,$7000,9
Kyle O'Quinn,NYK,$4700,7,$4200,7,$10,8,$7550,11,$8400,7
Timofey Mozgov,LAL,$3600,11,$3200,12,$10,8,$7600,10,$6300,12
Ivica Zubac,LAL,$3500,14,$3000,13,$10,8,$5000,15,$6000,13
