Player,Team,FD,Rk,DK,Rk,Y!,Rk,DD,Rk,FDraft,Rk
Marc Gasol,MEM,$8900,1,$7900,2,$35,2,$13050,3,$14600,2
Tristan Thompson,CLE,$5000,8,$4900,7,$18,6,$9800,7,$9800,7
Chris Andersen,CLE,$3500,15,$3000,13,$10,11,$5000,15,$6000,13
Bismack Biyombo,ORL,$4800,9,$5200,6,$14,9,$9100,10,$10200,6
Dwight Howard,ATL,$7600,3,$6900,3,$29,3,$14500,2,$13000,3
Anderson Varejao,GSW,$3500,15,$3000,13,$10,11,$5000,15,$6000,13
JaVale McGee,GSW,$3500,15,$3000,13,$10,11,$5000,15,$6000,13
Alexis Ajinca,NOP,$3500,15,$3000,13,$10,11,$5000,15,$6000,13
Omer Asik,NOP,$3500,15,$3000,13,$10,11,$5500,14,$6000,13
Karl-Anthony Towns,MIN,$8800,2,$8600,1,$41,1,$19150,1,$15900,1
Cole Aldrich,MIN,$3700,13,$3900,11,$10,11,$7200,12,$7700,11
Robin Lopez,CHI,$5100,7,$4800,9,$17,7,$10000,6,$9500,9
Cristiano Da Silva Felicio,CHI,$3500,15,$3000,13,$10,11,$5000,15,$6000,13
Joakim Noah,NYK,$4400,11,$3900,11,$11,10,$9750,8,$7700,11
Kyle O'Quinn,NYK,$4700,10,$4400,10,$10,11,$7150,13,$8800,10
Tyson Chandler,PHO,$5300,5,$4900,7,$15,8,$9700,9,$9800,7
Alan Williams,PHO,$3800,12,$3000,13,$10,11,$5000,15,$6000,13
Steven Adams,OKC,$5300,5,$5300,5,$19,5,$11300,4,$10500,5
Joffrey Lauvergne,OKC,$3600,14,$3000,13,$10,11,$7300,11,$6000,13
Mason Plumlee,POR,$5900,4,$5500,4,$23,4,$10100,5,$10900,4
